 ;Image;Region;Area-B;Area-G;Mean-B;Mean-G;IntDen-B;IntDen-G
1;01-DAPI-1-40x-485ms.tif;NBL;0.0604;0.0604;103.7235;0.781;6.2689;0.0472
2;01-DAPI-1-40x-485ms.tif;NBL;0.0316;0.0316;109.1168;1.0241;3.4454;0.0323
3;01-DAPI-1-40x-485ms.tif;NBL;0.1121;0.1121;119.8364;0.9226;13.4322;0.1034
4;01-DAPI-1-40x-485ms.tif;NBL;0.0448;0.0448;123.0218;0.8523;5.513;0.0382
5;01-DAPI-1-40x-485ms.tif;NBL;0.0492;0.0492;115.3046;0.8985;5.6676;0.0442
6;01-DAPI-1-40x-485ms.tif;NBL;0.0482;0.0482;73.3041;1.1261;3.5316;0.0543
7;01-DAPI-1-40x-485ms.tif;NBL;0.0603;0.0603;58.1835;1.2626;3.5102;0.0762
8;01-DAPI-1-40x-485ms.tif;NBL;0.045;0.045;115.4145;1.2458;5.1972;0.0561
9;01-DAPI-1-40x-485ms.tif;NBL;0.0086;0.0086;114.3544;0.7089;0.9803;0.0061
10;01-DAPI-1-40x-485ms.tif;NBL;0.0089;0.0089;111.8293;0.7073;0.995;0.0063
11;01-DAPI-1-40x-485ms.tif;NBL;0.0372;0.0372;85.0641;0.6706;3.1659;0.025
12;01-DAPI-1-40x-485ms.tif;NBL;0.0596;0.0596;42.1585;0.5774;2.5114;0.0344
13;01-DAPI-1-40x-485ms.tif;NBL;0.0805;0.0805;51.0863;0.9313;4.1131;0.075
14;01-DAPI-1-40x-485ms.tif;NBL;0.0747;0.0747;115.9985;1.0916;8.6596;0.0815
15;01-DAPI-1-40x-485ms.tif;NBL;0.0252;0.0252;113.7371;1.2802;2.8632;0.0322
16;01-DAPI-1-40x-485ms.tif;NBL;0.0662;0.0662;91.7279;1.3049;6.0714;0.0864
17;01-DAPI-1-40x-485ms.tif;NBL;0.0707;0.0707;87.8865;1.6518;6.2177;0.1169
18;01-DAPI-1-40x-485ms.tif;NBL;0.0605;0.0605;106.905;1.7975;6.4728;0.1088
19;01-DAPI-1-40x-485ms.tif;NBL;0.05;0.05;97.744;1.872;4.8893;0.0936
20;01-DAPI-1-40x-485ms.tif;NBL;0.0854;0.0854;110.6722;2.4079;9.4508;0.2056
21;01-DAPI-1-40x-485ms.tif;NBL;0.1096;0.1096;52.3782;3.1396;5.7402;0.3441
22;01-DAPI-1-40x-485ms.tif;NBL;0.1335;0.1335;71.4407;2.2813;9.5347;0.3045
23;01-DAPI-1-40x-485ms.tif;NBL;0.0477;0.0477;55.7477;3.4932;2.6616;0.1668
24;01-DAPI-1-40x-485ms.tif;NBL;0.0089;0.0089;114.7073;3.1341;1.0206;0.0279
25;01-DAPI-1-40x-485ms.tif;NBL;0.0584;0.0584;116.3922;1.9851;6.7946;0.1159
26;01-DAPI-1-40x-485ms.tif;NBL;0.0728;0.0728;120.7973;2.6364;8.795;0.1919
27;01-DAPI-1-40x-485ms.tif;NBL;0.0612;0.0612;125.1241;2.0638;7.6573;0.1263
28;01-DAPI-1-40x-485ms.tif;NBL;0.0557;0.0557;68.5224;2.655;3.8142;0.1478
29;01-DAPI-1-40x-485ms.tif;NBL;0.0702;0.0702;102.5008;3.5193;7.196;0.2471
30;01-DAPI-1-40x-485ms.tif;NBL;0.052;0.052;112.5992;1.8956;5.8523;0.0985
31;01-DAPI-1-40x-485ms.tif;NBL;0.0456;0.0456;109.9357;2.1405;5.0101;0.0975
32;01-DAPI-1-40x-485ms.tif;NBL;0.0965;0.0965;67.1192;1.6445;6.4745;0.1586
33;01-DAPI-1-40x-485ms.tif;NBL;0.0611;0.0611;101.9574;1.5986;6.2285;0.0977
34;01-DAPI-1-40x-485ms.tif;NBL;0.1023;0.1023;101.7147;1.1177;10.4077;0.1144
35;01-DAPI-1-40x-485ms.tif;NBL;0.1002;0.1002;57.8007;3.5016;5.7888;0.3507
36;01-DAPI-1-40x-485ms.tif;NBL;0.0875;0.0875;76.4268;3.0037;6.684;0.2627
37;01-DAPI-1-40x-485ms.tif;NBL;0.0718;0.0718;109.0559;0.9985;7.8337;0.0717
38;01-DAPI-1-40x-485ms.tif;NBL;0.0948;0.0948;92.5732;1.4817;8.7792;0.1405
39;01-DAPI-1-40x-485ms.tif;NBL;0.0432;0.0432;62.3417;2.5452;2.6923;0.1099
40;01-DAPI-1-40x-485ms.tif;NBL;0.1496;0.1496;77.1922;2.1363;11.5503;0.3197
41;01-DAPI-1-40x-485ms.tif;NBL;0.0929;0.0929;90.5888;1.6811;8.4141;0.1561
42;01-DAPI-1-40x-485ms.tif;NBL;0.0792;0.0792;100.9849;1.2274;7.999;0.0972
43;01-DAPI-1-40x-485ms.tif;NBL;0.0893;0.0893;73.6452;1.2321;6.5766;0.11
44;01-DAPI-1-40x-485ms.tif;NBL;0.0856;0.0856;90.7161;1.0355;7.7664;0.0887
45;01-DAPI-1-40x-485ms.tif;NBL;0.0678;0.0678;80.3808;1.2608;5.4512;0.0855
46;01-DAPI-1-40x-485ms.tif;NBL;0.0687;0.0687;104.3112;1.3602;7.1646;0.0934
47;01-DAPI-1-40x-485ms.tif;NBL;0.0769;0.0769;88.3766;1.653;6.7989;0.1272
48;01-DAPI-1-40x-485ms.tif;NBL;0.0347;0.0347;95.85;1.4125;3.3281;0.049
49;01-DAPI-1-40x-485ms.tif;NBL;0.1138;0.1138;87.1392;1.918;9.9185;0.2183
50;01-DAPI-1-40x-485ms.tif;NBL;0.0893;0.0893;102.6015;1.4301;9.1624;0.1277
51;01-DAPI-1-40x-485ms.tif;NBL;0.0803;0.0803;106.7041;1.5432;8.5678;0.1239
52;01-DAPI-1-40x-485ms.tif;NBL;0.0793;0.0793;73.3529;2.1874;5.8183;0.1735
53;01-DAPI-1-40x-485ms.tif;NBL;0.0401;0.0401;94.3514;2.1054;3.788;0.0845
54;01-DAPI-1-40x-485ms.tif;NBL;0.0496;0.0496;111.3917;1.8775;5.5237;0.0931
55;01-DAPI-1-40x-485ms.tif;NBL;0.0686;0.0686;107.0285;1.8101;7.3396;0.1241
56;01-DAPI-1-40x-485ms.tif;NBL;0.069;0.069;84.0142;1.2925;5.7979;0.0892
57;01-DAPI-1-40x-485ms.tif;NBL;0.0747;0.0747;77.1148;1.5858;5.7568;0.1184
58;01-DAPI-1-40x-485ms.tif;NBL;0.0685;0.0685;113.5959;1.1506;7.7777;0.0788
59;01-DAPI-1-40x-485ms.tif;NBL;0.0625;0.0625;108.6771;1.4618;6.7923;0.0914
60;01-DAPI-1-40x-485ms.tif;NBL;0.0502;0.0502;61.6501;1.1836;3.0972;0.0595
61;01-DAPI-1-40x-485ms.tif;NBL;0.0545;0.0545;98.7171;1.8008;5.3772;0.0981
62;01-DAPI-1-40x-485ms.tif;NBL;0.0563;0.0563;113.1252;1.5703;6.3707;0.0884
63;01-DAPI-1-40x-485ms.tif;NBL;0.0442;0.0442;96.0123;1.6978;4.2401;0.075
64;01-DAPI-1-40x-485ms.tif;NBL;0.0485;0.0485;83.4362;1.5257;4.0469;0.074
65;01-DAPI-1-40x-485ms.tif;NBL;0.0717;0.0717;81.0605;1.4871;5.8139;0.1067
66;01-DAPI-1-40x-485ms.tif;NBL;0.1151;0.1151;67.8728;2.3327;7.8139;0.2686
67;01-DAPI-1-40x-485ms.tif;NBL;0.047;0.047;92.7714;1.7252;4.3587;0.0811
68;01-DAPI-1-40x-485ms.tif;NBL;0.1498;0.1498;87.2737;2.0406;13.0778;0.3058
69;01-DAPI-1-40x-485ms.tif;NBL;0.0522;0.0522;70.6985;1.6071;3.6899;0.0839
70;01-DAPI-1-40x-485ms.tif;NBL;0.0602;0.0602;94.6234;1.1982;5.6984;0.0722
71;01-DAPI-1-40x-485ms.tif;NBL;0.0597;0.0597;49.8709;1.18;2.9762;0.0704
72;01-DAPI-1-40x-485ms.tif;NBL;0.0766;0.0766;74.0014;1.4136;5.6689;0.1083
73;01-DAPI-1-40x-485ms.tif;NBL;0.0685;0.0685;52.6339;1.019;3.6037;0.0698
74;01-DAPI-1-40x-485ms.tif;NBL;0.1118;0.1118;81.8175;1.2864;9.1441;0.1438
