 ;Image;Region;Area-B;Area-G;Mean-B;Mean-G;IntDen-B;IntDen-G
1;01-DAPI-1-40x-402ms.tif;BL;0.0181;0.0181;86.6048;3.1916;1.5693;0.0578
2;01-DAPI-1-40x-402ms.tif;BL;0.0133;0.0133;108.2276;3.4146;1.4444;0.0456
3;01-DAPI-1-40x-402ms.tif;BL;0.0202;0.0202;62.2097;0.9946;1.2555;0.0201
4;01-DAPI-1-40x-402ms.tif;BL;0.1021;0.1021;68.8746;1.5367;7.0324;0.1569
5;01-DAPI-1-40x-402ms.tif;BL;0.0347;0.0347;62.0375;1.5688;2.1541;0.0545
6;01-DAPI-1-40x-402ms.tif;BL;0.0275;0.0275;43.5296;1.5059;1.195;0.0413
7;01-DAPI-1-40x-402ms.tif;BL;0.0584;0.0584;50.2286;1.5149;2.9322;0.0884
8;01-DAPI-1-40x-402ms.tif;BL;0.0297;0.0297;62.5985;2.0803;1.8611;0.0618
9;01-DAPI-1-40x-402ms.tif;BL;0.0221;0.0221;65.9069;2.1471;1.4589;0.0475
10;01-DAPI-1-40x-402ms.tif;BL;0.0256;0.0256;70.2797;1.8983;1.7997;0.0486
11;01-DAPI-1-40x-402ms.tif;BL;0.018;0.018;71.9217;1.3795;1.2955;0.0248
12;01-DAPI-1-40x-402ms.tif;BL;0.0353;0.0353;51.4462;1.5077;1.8142;0.0532
13;01-DAPI-1-40x-402ms.tif;BL;0.0271;0.0271;49.488;1.544;1.3424;0.0419
14;01-DAPI-1-40x-402ms.tif;BL;0.035;0.035;62.192;2.2848;2.1797;0.0801
15;01-DAPI-1-40x-402ms.tif;BL;0.0371;0.0371;85.4591;1.7982;3.1713;0.0667
16;01-DAPI-1-40x-402ms.tif;BL;0.0291;0.0291;57.5336;2.0709;1.6731;0.0602
17;01-DAPI-1-40x-402ms.tif;BL;0.0228;0.0228;67.1571;2.6714;1.5303;0.0609
18;01-DAPI-1-40x-402ms.tif;BL;0.0116;0.0116;96.4486;2.9159;1.1198;0.0339
19;01-DAPI-1-40x-402ms.tif;BL;0.0627;0.0627;56.9498;1.9135;3.5717;0.12
20;01-DAPI-1-40x-402ms.tif;BL;0.0186;0.0186;71.9591;1.7018;1.3352;0.0316
21;01-DAPI-1-40x-402ms.tif;BL;0.0537;0.0537;53.0768;1.3192;2.8508;0.0709
22;01-DAPI-1-40x-402ms.tif;BL;0.0795;0.0795;76.7531;2.3861;6.1046;0.1898
23;01-DAPI-1-40x-402ms.tif;BL;0.0378;0.0378;50.6264;2.1149;1.9117;0.0799
24;01-DAPI-1-40x-402ms.tif;BL;0.0278;0.0278;63.5195;2.4883;1.7644;0.0691
25;01-DAPI-1-40x-402ms.tif;BL;0.0674;0.0674;68.6409;2.3462;4.6252;0.1581
26;01-DAPI-1-40x-402ms.tif;BL;0.043;0.043;55.0581;1.7904;2.3658;0.0769
27;01-DAPI-1-40x-402ms.tif;BL;0.0335;0.0335;55.3463;1.5858;1.8557;0.0532
28;01-DAPI-1-40x-402ms.tif;BL;0.0388;0.0388;52.6341;1.7654;2.0446;0.0686
29;01-DAPI-1-40x-402ms.tif;BL;0.073;0.073;55.3165;1.5498;4.0395;0.1132
30;01-DAPI-1-40x-402ms.tif;BL;0.0407;0.0407;50.344;1.4027;2.0485;0.0571
31;01-DAPI-1-40x-402ms.tif;BL;0.0191;0.0191;45.1932;1.5227;0.8631;0.0291
32;01-DAPI-1-40x-402ms.tif;BL;0.022;0.022;60.7389;1.8424;1.3379;0.0406
33;01-DAPI-1-40x-402ms.tif;BL;0.0112;0.0112;60.6408;2.301;0.6777;0.0257
34;01-DAPI-1-40x-402ms.tif;BL;0.006;0.006;62.6545;1.7091;0.3739;0.0102
35;01-DAPI-1-40x-402ms.tif;BL;0.014;0.014;68.8062;2.2326;0.9631;0.0312
36;01-DAPI-1-40x-402ms.tif;BL;0.0571;0.0571;57.8973;1.5913;3.3045;0.0908
37;01-DAPI-1-40x-402ms.tif;BL;0.0381;0.0381;61.3618;1.7407;2.337;0.0663
38;01-DAPI-1-40x-402ms.tif;BL;0.0202;0.0202;56.8656;0.9462;1.1477;0.0191
39;01-DAPI-1-40x-402ms.tif;BL;0.0506;0.0506;49.9742;1.6674;2.5269;0.0843
40;01-DAPI-1-40x-402ms.tif;BL;0.0174;0.0174;52.7938;1.0188;0.9166;0.0177
41;01-DAPI-1-40x-402ms.tif;BL;0.0242;0.0242;66.704;1.6323;1.614;0.0395
42;01-DAPI-1-40x-402ms.tif;BL;0.0268;0.0268;65.6154;1.7287;1.7586;0.0463
43;01-DAPI-1-40x-402ms.tif;BL;0.0169;0.0169;47.5577;1.5962;0.805;0.027
44;01-DAPI-1-40x-402ms.tif;BL;0.0158;0.0158;53.6301;1.4589;0.8496;0.0231
45;01-DAPI-1-40x-402ms.tif;BL;0.0211;0.0211;65.7784;1.5412;1.3847;0.0324
46;02-DAPI-1-40x-402ms.tif;BL;0.049;0.049;47.4823;3.5465;2.3288;0.1739
47;02-DAPI-1-40x-402ms.tif;BL;0.0227;0.0227;72.244;2.6124;1.6383;0.0592
48;02-DAPI-1-40x-402ms.tif;BL;0.0151;0.0151;77.5899;11.554;1.1702;0.1743
49;02-DAPI-1-40x-402ms.tif;BL;0.0165;0.0165;71.7434;2.2566;1.1833;0.0372
