 ;Image;Region;Area-B;Area-G;Mean-B;Mean-G;IntDen-B;IntDen-G
1;01-DAPI-1-40x-402ms.tif;BL;0.0363;0.0363;114.9313;0.8478;4.1777;0.0308
2;01-DAPI-1-40x-402ms.tif;BL;0.0352;0.0352;111.9815;0.8148;3.9368;0.0286
3;01-DAPI-1-40x-402ms.tif;BL;0.0268;0.0268;89.8138;1.3806;2.4071;0.037
4;01-DAPI-1-40x-402ms.tif;BL;0.0347;0.0347;110.3719;1.4438;3.8324;0.0501
5;01-DAPI-1-40x-402ms.tif;BL;0.0394;0.0394;65.0193;1.9587;2.561;0.0771
6;01-DAPI-1-40x-402ms.tif;BL;0.0573;0.0573;109.197;0.8314;6.2561;0.0476
7;01-DAPI-1-40x-402ms.tif;BL;0.031;0.031;90.7413;1.1783;2.816;0.0366
8;01-DAPI-1-40x-402ms.tif;BL;0.0387;0.0387;102.2437;1.1765;3.9606;0.0456
9;01-DAPI-1-40x-402ms.tif;BL;0.0374;0.0374;104.7536;1.342;3.9214;0.0502
10;01-DAPI-1-40x-402ms.tif;BL;0.0166;0.0166;110.8693;1.3595;1.8406;0.0226
11;01-DAPI-1-40x-402ms.tif;BL;0.0552;0.0552;103.3694;1.2633;5.7091;0.0698
12;01-DAPI-1-40x-402ms.tif;BL;0.0279;0.0279;113.9416;1.0661;3.1774;0.0297
13;01-DAPI-1-40x-402ms.tif;BL;0.031;0.031;103.7552;1.0524;3.2198;0.0327
14;01-DAPI-1-40x-402ms.tif;BL;0.0309;0.0309;96.3614;1.0351;2.9799;0.032
15;01-DAPI-1-40x-402ms.tif;BL;0.0321;0.0321;112.4324;1.1351;3.6111;0.0365
16;01-DAPI-1-40x-402ms.tif;BL;0.0366;0.0366;102.546;1.4866;3.7498;0.0544
17;01-DAPI-1-40x-402ms.tif;BL;0.0431;0.0431;106.005;1.3854;4.5664;0.0597
18;01-DAPI-1-40x-402ms.tif;BL;0.0662;0.0662;103.2115;1.3967;6.8315;0.0924
19;01-DAPI-1-40x-402ms.tif;BL;0.0671;0.0671;66.2443;0.979;4.4422;0.0656
20;01-DAPI-1-40x-402ms.tif;BL;0.0488;0.0488;103.9911;0.8956;5.0777;0.0437
21;01-DAPI-1-40x-402ms.tif;BL;0.0399;0.0399;101.0815;1.1739;4.0362;0.0469
22;01-DAPI-1-40x-402ms.tif;BL;0.0372;0.0372;101.8892;0.9009;3.7921;0.0335
23;01-DAPI-1-40x-402ms.tif;BL;0.0184;0.0184;86.7118;1.1118;1.5995;0.0205
24;01-DAPI-1-40x-402ms.tif;BL;0.0403;0.0403;115.7574;1.4367;4.6599;0.0578
25;01-DAPI-1-40x-402ms.tif;BL;0.064;0.064;85.6915;1.1203;5.4859;0.0717
26;01-DAPI-1-40x-402ms.tif;BL;0.0412;0.0412;102.4842;1.1789;4.2257;0.0486
27;01-DAPI-1-40x-402ms.tif;BL;0.041;0.041;106.0397;0.9603;4.3493;0.0394
28;01-DAPI-1-40x-402ms.tif;BL;0.0214;0.0214;63.467;0.797;1.3567;0.017
29;01-DAPI-1-40x-402ms.tif;BL;0.039;0.039;82.9415;1.507;3.2309;0.0587
30;01-DAPI-1-40x-402ms.tif;BL;0.0707;0.0707;108.204;1.2669;7.6551;0.0896
31;01-DAPI-1-40x-402ms.tif;BL;0.0288;0.0288;94.3925;1.8566;2.7142;0.0534
32;01-DAPI-1-40x-402ms.tif;BL;0.0235;0.0235;114.9078;1.1889;2.7056;0.028
33;01-DAPI-1-40x-402ms.tif;BL;0.0438;0.0438;108.3911;1.0569;4.7515;0.0463
34;01-DAPI-1-40x-402ms.tif;BL;0.0259;0.0259;66.5649;2.5607;1.7262;0.0664
35;01-DAPI-1-40x-402ms.tif;BL;0.0167;0.0167;85.461;2.1948;1.4281;0.0367
36;01-DAPI-1-40x-402ms.tif;BL;0.0255;0.0255;95.2213;2.017;2.4281;0.0514
37;01-DAPI-1-40x-402ms.tif;BL;0.0464;0.0464;77.722;1.8435;3.6095;0.0856
38;01-DAPI-1-40x-402ms.tif;BL;0.0344;0.0344;96.9905;1.4322;3.3362;0.0493
39;01-DAPI-1-40x-402ms.tif;BL;0.0391;0.0391;87.1389;1.3583;3.4039;0.0531
40;01-DAPI-1-40x-402ms.tif;BL;0.0381;0.0381;88.8319;1.584;3.3832;0.0603
41;01-DAPI-1-40x-402ms.tif;BL;0.0281;0.0281;84.0579;1.1622;2.3623;0.0327
42;01-DAPI-1-40x-402ms.tif;BL;0.0347;0.0347;71.8781;1.575;2.4958;0.0547
43;01-DAPI-1-40x-402ms.tif;BL;0.0385;0.0385;94.3437;1.6254;3.6341;0.0626
44;01-DAPI-1-40x-402ms.tif;BL;0.0425;0.0425;75.9413;1.1071;3.2301;0.0471
45;01-DAPI-1-40x-402ms.tif;BL;0.0681;0.0681;77.7962;1.4841;5.3012;0.1011
46;01-DAPI-1-40x-402ms.tif;BL;0.0505;0.0505;68.4989;1.4323;3.4562;0.0723
47;01-DAPI-1-40x-402ms.tif;BL;0.038;0.038;85.6171;1.5114;3.2515;0.0574
48;01-DAPI-1-40x-402ms.tif;BL;0.0578;0.0578;76.7167;1.4278;4.4368;0.0826
49;01-DAPI-1-40x-402ms.tif;BL;0.0513;0.0513;66.871;1.093;3.4321;0.0561
50;01-DAPI-1-40x-402ms.tif;BL;0.0197;0.0197;96.3736;0.8297;1.9032;0.0164
51;01-DAPI-1-40x-402ms.tif;BL;0.0361;0.0361;79.8619;0.994;2.8856;0.0359
52;01-DAPI-1-40x-402ms.tif;BL;0.0421;0.0421;91.518;1.6057;3.853;0.0676
53;01-DAPI-1-40x-402ms.tif;BL;0.0315;0.0315;101.4276;1.2828;3.1916;0.0404
54;01-DAPI-1-40x-402ms.tif;BL;0.0317;0.0317;94.5685;1.1884;2.9963;0.0377
