 ;Image;Region;Area-B;Area-G;Mean-B;Mean-G;IntDen-B;IntDen-G
1;01-DAPI-1-40x-402ms.tif;BL;0.0426;0.0426;105.9033;1.0178;4.5161;0.0434
2;01-DAPI-1-40x-402ms.tif;BL;0.0485;0.0485;93.6018;1.0425;4.5399;0.0506
3;01-DAPI-1-40x-402ms.tif;BL;0.0715;0.0715;106.1381;1.003;7.5895;0.0717
4;01-DAPI-1-40x-402ms.tif;BL;0.0683;0.0683;101.9014;1.3784;6.9549;0.0941
5;01-DAPI-1-40x-402ms.tif;BL;0.0562;0.0562;117.3764;1.4807;6.5973;0.0832
6;01-DAPI-1-40x-402ms.tif;BL;0.0283;0.0283;111.9425;1.5632;3.1702;0.0443
7;01-DAPI-1-40x-402ms.tif;BL;0.0469;0.0469;115.9491;1.4167;5.4351;0.0664
8;01-DAPI-1-40x-402ms.tif;BL;0.0651;0.0651;100.6217;1.3367;6.5509;0.087
9;01-DAPI-1-40x-402ms.tif;BL;0.039;0.039;106.4234;1.5042;4.1456;0.0586
10;01-DAPI-1-40x-402ms.tif;BL;0.0279;0.0279;108.9339;1.5992;3.0378;0.0446
11;01-DAPI-1-40x-402ms.tif;BL;0.0421;0.0421;118.7732;1.5155;5.0004;0.0638
12;01-DAPI-1-40x-402ms.tif;BL;0.0295;0.0295;111.3235;1.7132;3.2856;0.0506
13;01-DAPI-1-40x-402ms.tif;BL;0.0503;0.0503;110.8966;1.0711;5.5833;0.0539
14;01-DAPI-1-40x-402ms.tif;BL;0.0384;0.0384;111.2373;1.4859;4.2728;0.0571
15;01-DAPI-1-40x-402ms.tif;BL;0.0407;0.0407;118.168;1.384;4.8083;0.0563
16;01-DAPI-1-40x-402ms.tif;BL;0.0369;0.0369;97.7618;1.4941;3.6067;0.0551
17;01-DAPI-1-40x-402ms.tif;BL;0.0125;0.0125;107.7652;1.6174;1.3447;0.0202
18;01-DAPI-1-40x-402ms.tif;BL;0.0214;0.0214;117.3553;1.2132;2.5086;0.0259
19;01-DAPI-1-40x-402ms.tif;BL;0.0188;0.0188;116.5549;1.5434;2.1879;0.029
20;01-DAPI-1-40x-402ms.tif;BL;0.0283;0.0283;109.7241;1.433;3.1074;0.0406
21;01-DAPI-1-40x-402ms.tif;BL;0.0187;0.0187;121.1105;1.5523;2.2603;0.029
22;01-DAPI-1-40x-402ms.tif;BL;0.0248;0.0248;112.4236;1.31;2.7935;0.0326
23;01-DAPI-1-40x-402ms.tif;BL;0.0267;0.0267;116.0366;1.3252;3.0973;0.0354
24;01-DAPI-1-40x-402ms.tif;BL;0.0599;0.0599;117.3478;0.9203;7.0286;0.0551
25;01-DAPI-1-40x-402ms.tif;BL;0.0146;0.0146;107.8667;0.9185;1.5801;0.0135
26;01-DAPI-1-40x-402ms.tif;BL;0.0297;0.0297;110.208;0.7445;3.2766;0.0221
27;01-DAPI-1-40x-402ms.tif;BL;0.0263;0.0263;111.0909;0.9793;2.9171;0.0257
28;01-DAPI-1-40x-402ms.tif;BL;0.0327;0.0327;112.1395;0.7076;3.6625;0.0231
29;01-DAPI-1-40x-402ms.tif;BL;0.024;0.024;109.5747;0.7421;2.6276;0.0178
30;01-DAPI-1-40x-402ms.tif;BL;0.0213;0.0213;130.7092;0.3724;2.7798;0.0079
31;01-DAPI-1-40x-402ms.tif;BL;0.018;0.018;105.4217;0.6084;1.8989;0.011
32;01-DAPI-1-40x-402ms.tif;BL;0.0218;0.0218;126.7512;0.602;2.7644;0.0131
33;01-DAPI-1-40x-402ms.tif;BL;0.0252;0.0252;119.1336;0.4224;2.999;0.0106
34;01-DAPI-1-40x-402ms.tif;BL;0.0292;0.0292;103.6877;1.171;3.0265;0.0342
35;01-DAPI-1-40x-402ms.tif;BL;0.0314;0.0314;107.3391;1.3945;3.366;0.0437
36;01-DAPI-1-40x-402ms.tif;BL;0.0727;0.0727;107.103;1.4791;7.7863;0.1075
37;01-DAPI-1-40x-402ms.tif;BL;0.0362;0.0362;95.1856;1.1647;3.4497;0.0422
38;01-DAPI-1-40x-402ms.tif;BL;0.0148;0.0148;95.7206;1.5074;1.4125;0.0222
39;01-DAPI-1-40x-402ms.tif;BL;0.0495;0.0495;119.25;1.7544;5.9004;0.0868
40;01-DAPI-1-40x-402ms.tif;BL;0.0273;0.0273;123.5238;1.5794;3.3776;0.0432
41;01-DAPI-1-40x-402ms.tif;BL;0.0187;0.0187;117.4477;1.5291;2.1919;0.0285
42;01-DAPI-1-40x-402ms.tif;BL;0.0483;0.0483;114.2315;0.8112;5.5157;0.0392
43;01-DAPI-1-40x-402ms.tif;BL;0.0205;0.0205;99.8413;1.3757;2.0475;0.0282
44;01-DAPI-1-40x-402ms.tif;BL;0.0348;0.0348;108.7508;1.2368;3.7879;0.0431
45;01-DAPI-1-40x-402ms.tif;BL;0.0176;0.0176;113.821;1.5679;2.0008;0.0276
46;01-DAPI-1-40x-402ms.tif;BL;0.0237;0.0237;111.0459;1.2385;2.6267;0.0293
47;01-DAPI-1-40x-402ms.tif;BL;0.0333;0.0333;118.1726;1.4397;3.9365;0.048
48;01-DAPI-1-40x-402ms.tif;BL;0.0275;0.0275;117.7708;1.5652;3.2331;0.043
49;01-DAPI-1-40x-402ms.tif;BL;0.0426;0.0426;102.5318;0.8601;4.3723;0.0367
50;01-DAPI-1-40x-402ms.tif;BL;0.0472;0.0472;101.7241;0.7632;4.8014;0.036
51;01-DAPI-1-40x-402ms.tif;BL;0.0205;0.0205;111.4021;1.4603;2.2846;0.0299
52;01-DAPI-1-40x-402ms.tif;BL;0.0095;0.0095;113.2614;1.5227;1.0815;0.0145
53;02-DAPI-1-40x-402ms.tif;BL;0.0515;0.0515;100.56;0.6884;5.1829;0.0355
54;02-DAPI-1-40x-402ms.tif;BL;0.0462;0.0462;119.0751;0.784;5.5041;0.0362
55;02-DAPI-1-40x-402ms.tif;BL;0.0463;0.0463;108.0937;0.7775;5.0082;0.036
56;02-DAPI-1-40x-402ms.tif;BL;0.0668;0.0668;116.099;0.8653;7.7601;0.0578
57;02-DAPI-1-40x-402ms.tif;BL;0.0769;0.0769;87.536;0.9944;6.7343;0.0765
58;02-DAPI-1-40x-402ms.tif;BL;0.0506;0.0506;115.4421;1.1567;5.8372;0.0585
59;02-DAPI-1-40x-402ms.tif;BL;0.0513;0.0513;97.3023;1.0846;4.9939;0.0557
60;02-DAPI-1-40x-402ms.tif;BL;0.0286;0.0286;78.9545;0.9318;2.2617;0.0267
61;02-DAPI-1-40x-402ms.tif;BL;0.0409;0.0409;95.4562;0.8621;3.9048;0.0353
62;02-DAPI-1-40x-402ms.tif;BL;0.0643;0.0643;80.4098;0.8415;5.1739;0.0541
63;02-DAPI-1-40x-402ms.tif;BL;0.0405;0.0405;109.2091;1.0054;4.42;0.0407
64;02-DAPI-1-40x-402ms.tif;BL;0.0475;0.0475;101.7466;1.3037;4.8356;0.062
65;02-DAPI-1-40x-402ms.tif;BL;0.0411;0.0411;115.7995;1.4723;4.7622;0.0605
