 ;Image;Region;Area-B;Area-G;Mean-B;Mean-G;IntDen-B;IntDen-G;positiv;;;
1418;07-DAPI-1-40x-402ms.tif;NBL;0.0426;0.0426;24.6005;0.916;1.049;0.0391;0;;;
540;03-DAPI-1-40x-402ms.tif;NBL;0.0547;0.0547;42.627;0.9167;2.3312;0.0501;0;;;
937;04-DAPI-1-40x-402ms.tif;NBL;0.0273;0.0273;35.0317;0.9167;0.9579;0.0251;0;;;
1476;07-DAPI-1-40x-402ms.tif;NBL;0.0525;0.0525;15.9835;0.9174;0.8394;0.0482;0;;;
491;02-DAPI-1-40x-402ms.tif;NBL;0.0382;0.0382;25.8352;0.9176;0.9868;0.035;0;;;
1755;09-DAPI-1-40x-402ms.tif;NBL;0.02;0.02;80.7174;0.9185;1.6115;0.0183;0;;;
2068;14-DAPI-1-40x-402ms.tif;NBL;0.06;0.06;29.5714;0.9186;1.7744;0.0551;0;;;
141;01-DAPI-1-40x-402ms.tif;NBL;0.0703;0.0703;46.7207;0.9198;3.285;0.0647;0;;;
2128;15-DAPI-1-40x-402ms.tif;NBL;0.0344;0.0344;41.1073;0.9211;1.414;0.0317;0;;;
972;04-DAPI-1-40x-402ms.tif;NBL;0.0649;0.0649;39.2676;0.9214;2.548;0.0598;0;;;
1907;09-DAPI-1-40x-402ms.tif;NBL;0.0332;0.0332;63.5719;0.9216;2.1108;0.0306;0;;;
253;02-DAPI-1-40x-402ms.tif;NBL;0.0383;0.0383;53.6941;0.9235;2.0566;0.0354;0;;;
1118;05-DAPI-1-40x-402ms.tif;NBL;0.0854;0.0854;32.4867;0.925;2.7742;0.079;0;;;
1066;05-DAPI-1-40x-402ms.tif;NBL;0.0551;0.0551;26.685;0.9252;1.4709;0.051;0;;;
301;02-DAPI-1-40x-402ms.tif;NBL;0.0278;0.0278;70.793;0.9258;1.9665;0.0257;0;;;
2044;14-DAPI-1-40x-402ms.tif;NBL;0.0761;0.0761;71.0428;0.9258;5.4038;0.0704;0;;;
298;02-DAPI-1-40x-402ms.tif;NBL;0.059;0.059;52.5147;0.9265;3.0998;0.0547;0;;;
874;04-DAPI-1-40x-402ms.tif;NBL;0.0669;0.0669;41.6207;0.9271;2.7865;0.0621;0;;;
357;02-DAPI-1-40x-402ms.tif;NBL;0.0188;0.0188;40.3642;0.9306;0.7577;0.0175;0;;;
2378;16-DAPI-1-40x-402ms.tif;NBL;0.052;0.052;104.8184;0.9311;5.4479;0.0484;0;;;
2468;16-DAPI-1-40x-402ms.tif;NBL;0.0336;0.0336;88.4452;0.9323;2.975;0.0314;0;;;
745;03-DAPI-1-40x-402ms.tif;NBL;0.0331;0.0331;38.1049;0.9344;1.2611;0.0309;0;;;
838;04-DAPI-1-40x-402ms.tif;NBL;0.068;0.068;36.8533;0.9378;2.5073;0.0638;0;;;
292;02-DAPI-1-40x-402ms.tif;NBL;0.0742;0.0742;39.5409;0.9386;2.9347;0.0697;0;;;
1696;08-DAPI-1-40x-402ms.tif;NBL;0.016;0.016;34.5442;0.9388;0.551;0.015;0;;;
1372;07-DAPI-1-40x-402ms.tif;NBL;0.0553;0.0553;22.7686;0.9392;1.26;0.052;0;;;
628;03-DAPI-1-40x-402ms.tif;NBL;0.0815;0.0815;33.1278;0.9401;2.6995;0.0766;0;;;
631;03-DAPI-1-40x-402ms.tif;NBL;0.0167;0.0167;46.6494;0.9416;0.7795;0.0157;0;;;
1369;06-DAPI-1-40x-402ms.tif;NBL;0.0224;0.0224;28.7136;0.9417;0.6418;0.0211;0;;;
1103;05-DAPI-1-40x-402ms.tif;NBL;0.0188;0.0188;36.8439;0.9422;0.6916;0.0177;0;;;
1513;07-DAPI-1-40x-402ms.tif;NBL;0.0266;0.0266;30.3714;0.9429;0.8074;0.0251;0;;;
1968;14-DAPI-1-40x-402ms.tif;NBL;0.0363;0.0363;68.8388;0.9433;2.5023;0.0343;0;;;
1122;05-DAPI-1-40x-402ms.tif;NBL;0.0585;0.0585;38.3599;0.9443;2.2435;0.0552;0;;;
1046;05-DAPI-1-40x-402ms.tif;NBL;0.0406;0.0406;29.5053;0.9465;1.1974;0.0384;0;;;
1226;06-DAPI-1-40x-402ms.tif;NBL;0.0933;0.0933;21.107;0.9465;1.9696;0.0883;0;;;
190;01-DAPI-1-40x-402ms.tif;NBL;0.0327;0.0327;42.7176;0.9468;1.3952;0.0309;0;;;
445;02-DAPI-1-40x-402ms.tif;NBL;0.0286;0.0286;67.4545;0.947;1.9323;0.0271;0;;;
2084;14-DAPI-1-40x-402ms.tif;NBL;0.0585;0.0585;49.9481;0.9499;2.9212;0.0556;0;;;
1149;05-DAPI-1-40x-402ms.tif;NBL;0.0304;0.0304;39.2821;0.95;1.1935;0.0289;0;;;
1360;06-DAPI-1-40x-402ms.tif;NBL;0.0444;0.0444;19.5232;0.9535;0.8664;0.0423;0;;;
1883;09-DAPI-1-40x-402ms.tif;NBL;0.026;0.026;91.2625;0.9542;2.3766;0.0248;0;;;
1991;14-DAPI-1-40x-402ms.tif;NBL;0.0285;0.0285;61.924;0.9544;1.7671;0.0272;0;;;
711;03-DAPI-1-40x-402ms.tif;NBL;0.0167;0.0167;39.7143;0.9545;0.6636;0.016;0;;;
1364;06-DAPI-1-40x-402ms.tif;NBL;0.0623;0.0623;19.3397;0.9547;1.2045;0.0595;0;;;
715;03-DAPI-1-40x-402ms.tif;NBL;0.0295;0.0295;45.2132;0.9559;1.3344;0.0282;0;;;
393;02-DAPI-1-40x-402ms.tif;NBL;0.0698;0.0698;39.3966;0.9565;2.7487;0.0667;0;;;
633;03-DAPI-1-40x-402ms.tif;NBL;0.0251;0.0251;50.9177;0.9567;1.2763;0.024;0;;;
1159;05-DAPI-1-40x-402ms.tif;NBL;0.0562;0.0562;35.6911;0.9575;2.0061;0.0538;0;;;
1767;09-DAPI-1-40x-402ms.tif;NBL;0.054;0.054;90.1486;0.9578;4.8713;0.0518;0;;;
686;03-DAPI-1-40x-402ms.tif;NBL;0.0416;0.0416;45.295;0.9582;1.8824;0.0398;0;;;
1093;05-DAPI-1-40x-402ms.tif;NBL;0.0551;0.0551;33.6102;0.9587;1.8526;0.0528;0;;;
2108;15-DAPI-1-40x-402ms.tif;NBL;0.0423;0.0423;46.9641;0.959;1.9874;0.0406;0;;;
1905;09-DAPI-1-40x-402ms.tif;NBL;0.041;0.041;78.2407;0.9603;3.2091;0.0394;0;;;
928;04-DAPI-1-40x-402ms.tif;NBL;0.0318;0.0318;36.7645;0.9625;1.1688;0.0306;0;;;
71;01-DAPI-1-40x-402ms.tif;NBL;0.0481;0.0481;45.763;0.9639;2.1998;0.0463;0;;;
2291;16-DAPI-1-40x-402ms.tif;NBL;0.0481;0.0481;70.2709;0.9639;3.3778;0.0463;0;;;
502;02-DAPI-1-40x-402ms.tif;NBL;0.0131;0.0131;37.6281;0.9669;0.494;0.0127;0;;;
1821;09-DAPI-1-40x-402ms.tif;NBL;0.0328;0.0328;74.6854;0.9669;2.4474;0.0317;0;;;
400;02-DAPI-1-40x-402ms.tif;NBL;0.0254;0.0254;50.4658;0.9701;1.2814;0.0246;0;;;
1977;14-DAPI-1-40x-402ms.tif;NBL;0.0436;0.0436;77.7139;0.9701;3.3899;0.0423;0;;;
738;03-DAPI-1-40x-402ms.tif;NBL;0.0526;0.0526;30.9897;0.9732;1.6309;0.0512;0;;;
580;03-DAPI-1-40x-402ms.tif;NBL;0.0499;0.0499;47.9739;0.9739;2.3945;0.0486;0;;;
659;03-DAPI-1-40x-402ms.tif;NBL;0.0378;0.0378;47.2615;0.9741;1.7846;0.0368;0;;;
1601;08-DAPI-1-40x-402ms.tif;NBL;0.037;0.037;30.4897;0.9765;1.1281;0.0361;0;;;
475;02-DAPI-1-40x-402ms.tif;NBL;0.0282;0.0282;36.7846;0.9769;1.0378;0.0276;0;;;
1529;07-DAPI-1-40x-402ms.tif;NBL;0.1045;0.1045;16.3915;0.9782;1.7128;0.1022;0;;;
828;04-DAPI-1-40x-402ms.tif;NBL;0.0401;0.0401;39.2892;0.9784;1.5774;0.0393;0;;;
1514;07-DAPI-1-40x-402ms.tif;NBL;0.0269;0.0269;19.3831;0.9798;0.5216;0.0264;0;;;
1603;08-DAPI-1-40x-402ms.tif;NBL;0.0219;0.0219;39.1287;0.9802;0.8576;0.0215;0;;;
2306;16-DAPI-1-40x-402ms.tif;NBL;0.0842;0.0842;75.5026;0.9807;6.3574;0.0826;0;;;
1675;08-DAPI-1-40x-402ms.tif;NBL;0.0233;0.0233;28.4837;0.9814;0.6645;0.0229;0;;;
1437;07-DAPI-1-40x-402ms.tif;NBL;0.0456;0.0456;21.2548;0.9833;0.9686;0.0448;0;;;
