 ;Image;Region;Area-B;Area-G;Mean-B;Mean-G;IntDen-B;IntDen-G;positiv;;;
2273;15-DAPI-1-40x-402ms.tif;NBL;0.0246;0.0246;80.4581;1.0396;1.9818;0.0256;0;;;
399;02-DAPI-1-40x-402ms.tif;NBL;0.0524;0.0524;48.1925;1.0414;2.5257;0.0546;0;;;
404;02-DAPI-1-40x-402ms.tif;NBL;0.0419;0.0419;48.6632;1.0415;2.0382;0.0436;0;;;
1739;09-DAPI-1-40x-402ms.tif;NBL;0.0416;0.0416;72.8773;1.0418;3.0286;0.0433;0;;;
1505;07-DAPI-1-40x-402ms.tif;NBL;0.0349;0.0349;22.0683;1.0435;0.7711;0.0365;0;;;
2047;14-DAPI-1-40x-402ms.tif;NBL;0.0786;0.0786;45.1202;1.0456;3.5446;0.0821;0;;;
1347;06-DAPI-1-40x-402ms.tif;NBL;0.0734;0.0734;24.7012;1.0459;1.8118;0.0767;0;;;
2197;15-DAPI-1-40x-402ms.tif;NBL;0.04;0.04;58.9621;1.0461;2.3608;0.0419;0;;;
1790;09-DAPI-1-40x-402ms.tif;NBL;0.0349;0.0349;77.3323;1.0466;2.7019;0.0366;0;;;
1931;09-DAPI-1-40x-402ms.tif;NBL;0.0321;0.0321;70.2703;1.0473;2.2569;0.0336;0;;;
629;03-DAPI-1-40x-402ms.tif;NBL;0.0174;0.0174;55.5625;1.05;0.9646;0.0182;0;;;
1944;09-DAPI-1-40x-402ms.tif;NBL;0.0192;0.0192;79.8023;1.0508;1.5327;0.0202;0;;;
1370;06-DAPI-1-40x-402ms.tif;NBL;0.0213;0.0213;20.1429;1.051;0.4284;0.0224;0;;;
2372;16-DAPI-1-40x-402ms.tif;NBL;0.0552;0.0552;49.888;1.0511;2.7553;0.0581;0;;;
1348;06-DAPI-1-40x-402ms.tif;NBL;0.0717;0.0717;24.1452;1.0514;1.7318;0.0754;0;;;
925;04-DAPI-1-40x-402ms.tif;NBL;0.0503;0.0503;34.0862;1.0517;1.7161;0.053;0;;;
1985;14-DAPI-1-40x-402ms.tif;NBL;0.0473;0.0473;54.5;1.0528;2.5783;0.0498;0;;;
611;03-DAPI-1-40x-402ms.tif;NBL;0.0378;0.0378;53.3448;1.0546;2.0143;0.0398;0;;;
1886;09-DAPI-1-40x-402ms.tif;NBL;0.0256;0.0256;94.0381;1.0551;2.4081;0.027;0;;;
2010;14-DAPI-1-40x-402ms.tif;NBL;0.0489;0.0489;52.031;1.0554;2.5462;0.0516;0;;;
2177;15-DAPI-1-40x-402ms.tif;NBL;0.0184;0.0184;72.0412;1.0588;1.3289;0.0195;0;;;
1356;06-DAPI-1-40x-402ms.tif;NBL;0.0331;0.0331;30.4393;1.059;1.0074;0.035;0;;;
709;03-DAPI-1-40x-402ms.tif;NBL;0.05;0.05;32.8764;1.0607;1.6445;0.0531;0;;;
2075;14-DAPI-1-40x-402ms.tif;NBL;0.0599;0.0599;55.2319;1.0616;3.3082;0.0636;0;;;
1415;07-DAPI-1-40x-402ms.tif;NBL;0.0722;0.0722;16.3489;1.0632;1.1797;0.0767;0;;;
1346;06-DAPI-1-40x-402ms.tif;NBL;0.1179;0.1179;17.7902;1.0635;2.0983;0.1254;0;;;
1389;07-DAPI-1-40x-402ms.tif;NBL;0.0437;0.0437;23.1836;1.0645;1.0138;0.0465;0;;;
1612;08-DAPI-1-40x-402ms.tif;NBL;0.0329;0.0329;28.736;1.066;0.9448;0.035;0;;;
2180;15-DAPI-1-40x-402ms.tif;NBL;0.0469;0.0469;55.2963;1.0671;2.592;0.05;0;;;
473;02-DAPI-1-40x-402ms.tif;NBL;0.0432;0.0432;42.5126;1.0678;1.8359;0.0461;0;;;
514;02-DAPI-1-40x-402ms.tif;NBL;0.0315;0.0315;37.8;1.069;1.1895;0.0336;0;;;
1531;07-DAPI-1-40x-402ms.tif;NBL;0.0322;0.0322;15.7946;1.0707;0.509;0.0345;0;;;
1904;09-DAPI-1-40x-402ms.tif;NBL;0.0258;0.0258;87.4118;1.0714;2.2574;0.0277;0;;;
2190;15-DAPI-1-40x-402ms.tif;NBL;0.0304;0.0304;66.2143;1.0714;2.0117;0.0326;0;;;
1864;09-DAPI-1-40x-402ms.tif;NBL;0.0393;0.0393;58.2624;1.0718;2.2885;0.0421;0;;;
1039;05-DAPI-1-40x-402ms.tif;NBL;0.0526;0.0526;39.3031;1.0722;2.0684;0.0564;0;;;
1107;05-DAPI-1-40x-402ms.tif;NBL;0.0255;0.0255;34.3277;1.0723;0.8753;0.0273;0;;;
2196;15-DAPI-1-40x-402ms.tif;NBL;0.036;0.036;83.1175;1.0723;2.9942;0.0386;0;;;
2339;16-DAPI-1-40x-402ms.tif;NBL;0.018;0.018;71.3554;1.0723;1.2853;0.0193;0;;;
2179;15-DAPI-1-40x-402ms.tif;NBL;0.0512;0.0512;56.6314;1.0742;2.9004;0.055;0;;;
101;01-DAPI-1-40x-402ms.tif;NBL;0.0394;0.0394;55.4242;1.0744;2.1831;0.0423;0;;;
1970;14-DAPI-1-40x-402ms.tif;NBL;0.0393;0.0393;67.0166;1.0746;2.6324;0.0422;0;;;
321;02-DAPI-1-40x-402ms.tif;NBL;0.0346;0.0346;47.6238;1.0752;1.6484;0.0372;0;;;
1996;14-DAPI-1-40x-402ms.tif;NBL;0.049;0.049;59.0022;1.0752;2.8938;0.0527;0;;;
941;04-DAPI-1-40x-402ms.tif;NBL;0.0271;0.0271;47.08;1.076;1.2771;0.0292;0;;;
2219;15-DAPI-1-40x-402ms.tif;NBL;0.0781;0.0781;68.4042;1.0792;5.3441;0.0843;0;;;
2477;16-DAPI-1-40x-402ms.tif;NBL;0.0668;0.0668;76.8766;1.0795;5.1385;0.0722;0;;;
1419;07-DAPI-1-40x-402ms.tif;NBL;0.0272;0.0272;29.1514;1.0797;0.7939;0.0294;0;;;
1860;09-DAPI-1-40x-402ms.tif;NBL;0.0485;0.0485;65.0604;1.0805;3.1556;0.0524;0;;;
1092;05-DAPI-1-40x-402ms.tif;NBL;0.024;0.024;33.1991;1.0814;0.7961;0.0259;0;;;
708;03-DAPI-1-40x-402ms.tif;NBL;0.0716;0.0716;41.0864;1.0818;2.9424;0.0775;0;;;
2271;15-DAPI-1-40x-402ms.tif;NBL;0.0164;0.0164;66.2185;1.0861;1.085;0.0178;0;;;
478;02-DAPI-1-40x-402ms.tif;NBL;0.0314;0.0314;24.5052;1.0865;0.7684;0.0341;0;;;
401;02-DAPI-1-40x-402ms.tif;NBL;0.0488;0.0488;46.6889;1.0867;2.2797;0.0531;0;;;
226;02-DAPI-1-40x-402ms.tif;NBL;0.0238;0.0238;49.2694;1.0868;1.1708;0.0258;0;;;
1901;09-DAPI-1-40x-402ms.tif;NBL;0.0382;0.0382;77.5057;1.0881;2.9603;0.0416;0;;;
2308;16-DAPI-1-40x-402ms.tif;NBL;0.06;0.06;84.9367;1.0886;5.0966;0.0653;0;;;
370;02-DAPI-1-40x-402ms.tif;NBL;0.0654;0.0654;32.2653;1.0896;2.1111;0.0713;0;;;
1914;09-DAPI-1-40x-402ms.tif;NBL;0.0567;0.0567;81.6616;1.0899;4.6342;0.0618;0;;;
618;03-DAPI-1-40x-402ms.tif;NBL;0.072;0.072;44.256;1.0904;3.1886;0.0786;0;;;
1233;06-DAPI-1-40x-402ms.tif;NBL;0.0523;0.0523;25.7967;1.0913;1.3492;0.0571;0;;;
322;02-DAPI-1-40x-402ms.tif;NBL;0.039;0.039;51.3175;1.0919;1.999;0.0425;0;;;
1155;05-DAPI-1-40x-402ms.tif;NBL;0.06;0.06;20.1971;1.0922;1.2119;0.0655;0;;;
1801;09-DAPI-1-40x-402ms.tif;NBL;0.0575;0.0575;99.3396;1.0925;5.7129;0.0628;0;;;
68;01-DAPI-1-40x-402ms.tif;NBL;0.0488;0.0488;43.7978;1.0933;2.1386;0.0534;0;;;
70;01-DAPI-1-40x-402ms.tif;NBL;0.0279;0.0279;33.8132;1.0934;0.9429;0.0305;0;;;
597;03-DAPI-1-40x-402ms.tif;NBL;0.0393;0.0393;52.7403;1.0939;2.0716;0.043;0;;;
332;02-DAPI-1-40x-402ms.tif;NBL;0.0318;0.0318;54.2116;1.0956;1.7235;0.0348;0;;;
1571;08-DAPI-1-40x-402ms.tif;NBL;0.0408;0.0408;29.242;1.0957;1.193;0.0447;0;;;
885;04-DAPI-1-40x-402ms.tif;NBL;0.046;0.046;45.7476;1.0967;2.1047;0.0505;0;;;
1614;08-DAPI-1-40x-402ms.tif;NBL;0.0569;0.0569;22.6966;1.0973;1.2905;0.0624;0;;;
1142;05-DAPI-1-40x-402ms.tif;NBL;0.0267;0.0267;38.878;1.0976;1.0378;0.0293;0;;;
1077;05-DAPI-1-40x-402ms.tif;NBL;0.0752;0.0752;27.5411;1.0981;2.071;0.0826;0;;;
386;02-DAPI-1-40x-402ms.tif;NBL;0.0479;0.0479;47.5805;1.0998;2.2768;0.0526;0;;;
1823;09-DAPI-1-40x-402ms.tif;NBL;0.04;0.04;68.206;1.1003;2.7309;0.0441;0;;;
2192;15-DAPI-1-40x-402ms.tif;NBL;0.0334;0.0334;56.724;1.1006;1.8957;0.0368;0;;;
2096;14-DAPI-1-40x-402ms.tif;NBL;0.0204;0.0204;61.4255;1.1011;1.253;0.0225;0;;;
1150;05-DAPI-1-40x-402ms.tif;NBL;0.0365;0.0365;22.9018;1.1012;0.835;0.0401;0;;;
2066;14-DAPI-1-40x-402ms.tif;NBL;0.0182;0.0182;35.119;1.1012;0.6402;0.0201;0;;;
902;04-DAPI-1-40x-402ms.tif;NBL;0.0457;0.0457;41.1639;1.1021;1.8804;0.0503;0;;;
2270;15-DAPI-1-40x-402ms.tif;NBL;0.0499;0.0499;64.8478;1.1022;3.2368;0.055;0;;;
1516;07-DAPI-1-40x-402ms.tif;NBL;0.0272;0.0272;29.1235;1.1036;0.7932;0.0301;0;;;
2412;16-DAPI-1-40x-402ms.tif;NBL;0.0262;0.0262;82.4315;1.1037;2.1556;0.0289;0;;;
1136;05-DAPI-1-40x-402ms.tif;NBL;0.0645;0.0645;41.1886;1.1044;2.6547;0.0712;0;;;
1720;08-DAPI-1-40x-402ms.tif;NBL;0.0259;0.0259;25.0921;1.1046;0.6507;0.0286;0;;;
1035;05-DAPI-1-40x-402ms.tif;NBL;0.0527;0.0527;38.9444;1.1049;2.0537;0.0583;0;;;
953;04-DAPI-1-40x-402ms.tif;NBL;0.0195;0.0195;43.4;1.1056;0.8477;0.0216;0;;;
1537;08-DAPI-1-40x-402ms.tif;NBL;0.0339;0.0339;27.1026;1.1058;0.9175;0.0374;0;;;
2052;14-DAPI-1-40x-402ms.tif;NBL;0.0451;0.0451;46.7404;1.1082;2.1098;0.05;0;;;
1503;07-DAPI-1-40x-402ms.tif;NBL;0.0636;0.0636;18;1.1092;1.1445;0.0705;0;;;
1816;09-DAPI-1-40x-402ms.tif;NBL;0.0297;0.0297;60.4124;1.1095;1.7961;0.033;0;;;
642;03-DAPI-1-40x-402ms.tif;NBL;0.0327;0.0327;40.0498;1.1096;1.3081;0.0362;0;;;
1504;07-DAPI-1-40x-402ms.tif;NBL;0.0475;0.0475;23.3607;1.1096;1.1102;0.0527;0;;;
2377;16-DAPI-1-40x-402ms.tif;NBL;0.0625;0.0625;54.1111;1.1111;3.3819;0.0694;0;;;
810;04-DAPI-1-40x-402ms.tif;NBL;0.0447;0.0447;39.6456;1.1117;1.7724;0.0497;0;;;
866;04-DAPI-1-40x-402ms.tif;NBL;0.0434;0.0434;43.9825;1.1125;1.909;0.0483;0;;;
391;02-DAPI-1-40x-402ms.tif;NBL;0.0336;0.0336;61.6387;1.1129;2.0734;0.0374;0;;;
1366;06-DAPI-1-40x-402ms.tif;NBL;0.0586;0.0586;21.1519;1.113;1.2394;0.0652;0;;;
2107;15-DAPI-1-40x-402ms.tif;NBL;0.0641;0.0641;50.8765;1.1134;3.2626;0.0714;0;;;
676;03-DAPI-1-40x-402ms.tif;NBL;0.0353;0.0353;34.9446;1.1138;1.2323;0.0393;0;;;
917;04-DAPI-1-40x-402ms.tif;NBL;0.0162;0.0162;62.0805;1.1141;1.0037;0.018;0;;;
395;02-DAPI-1-40x-402ms.tif;NBL;0.0503;0.0503;38.8082;1.1142;1.9539;0.0561;0;;;
1240;06-DAPI-1-40x-402ms.tif;NBL;0.0499;0.0499;26.437;1.1152;1.3196;0.0557;0;;;
2000;14-DAPI-1-40x-402ms.tif;NBL;0.0262;0.0262;60.5726;1.1162;1.584;0.0292;0;;;
1152;05-DAPI-1-40x-402ms.tif;NBL;0.0603;0.0603;23.4874;1.1169;1.417;0.0674;0;;;
782;04-DAPI-1-40x-402ms.tif;NBL;0.0636;0.0636;47.5068;1.1195;3.0207;0.0712;0;;;
1993;14-DAPI-1-40x-402ms.tif;NBL;0.0668;0.0668;63.6445;1.1201;4.254;0.0749;0;;;
645;03-DAPI-1-40x-402ms.tif;NBL;0.027;0.027;56.008;1.1205;1.5132;0.0303;0;;;
1600;08-DAPI-1-40x-402ms.tif;NBL;0.0233;0.0233;35.2698;1.1209;0.8228;0.0262;0;;;
1999;14-DAPI-1-40x-402ms.tif;NBL;0.032;0.032;69.0373;1.122;2.2099;0.0359;0;;;
2046;14-DAPI-1-40x-402ms.tif;NBL;0.0194;0.0194;97.2793;1.1229;1.8894;0.0218;0;;;
1866;09-DAPI-1-40x-402ms.tif;NBL;0.0551;0.0551;73.7717;1.124;4.0664;0.062;0;;;
2475;16-DAPI-1-40x-402ms.tif;NBL;0.028;0.028;84.5155;1.124;2.366;0.0315;0;;;
1900;09-DAPI-1-40x-402ms.tif;NBL;0.0183;0.0183;91.5858;1.1243;1.6795;0.0206;0;;;
527;03-DAPI-1-40x-402ms.tif;NBL;0.026;0.026;45.65;1.125;1.1888;0.0293;0;;;
2175;15-DAPI-1-40x-402ms.tif;NBL;0.0292;0.0292;68.4647;1.1264;1.9984;0.0329;0;;;
855;04-DAPI-1-40x-402ms.tif;NBL;0.0659;0.0659;44.2372;1.1269;2.9136;0.0742;0;;;
1794;09-DAPI-1-40x-402ms.tif;NBL;0.0435;0.0435;80.9975;1.1272;3.5243;0.049;0;;;
1789;09-DAPI-1-40x-402ms.tif;NBL;0.068;0.068;73.2536;1.1276;4.9837;0.0767;0;;;
1496;07-DAPI-1-40x-402ms.tif;NBL;0.0493;0.0493;15.7753;1.1278;0.7771;0.0556;0;;;
2276;15-DAPI-1-40x-402ms.tif;NBL;0.0371;0.0371;56.4035;1.1287;2.0931;0.0419;0;;;
588;03-DAPI-1-40x-402ms.tif;NBL;0.046;0.046;48.0189;1.1297;2.2092;0.052;0;;;
1579;08-DAPI-1-40x-402ms.tif;NBL;0.0282;0.0282;30.5615;1.1308;0.8622;0.0319;0;;;
1398;07-DAPI-1-40x-402ms.tif;NBL;0.0322;0.0322;29.8316;1.1313;0.9614;0.0365;0;;;
1104;05-DAPI-1-40x-402ms.tif;NBL;0.019;0.019;49.7486;1.1314;0.9447;0.0215;0;;;
1456;07-DAPI-1-40x-402ms.tif;NBL;0.0889;0.0889;18.5641;1.1319;1.6497;0.1006;0;;;
2330;16-DAPI-1-40x-402ms.tif;NBL;0.0342;0.0342;77.2508;1.1333;2.6404;0.0387;0;;;
1932;09-DAPI-1-40x-402ms.tif;NBL;0.0291;0.0291;85.153;1.1343;2.4762;0.033;0;;;
1742;09-DAPI-1-40x-402ms.tif;NBL;0.0778;0.0778;84.5021;1.1353;6.5742;0.0883;0;;;
1947;14-DAPI-1-40x-402ms.tif;NBL;0.0409;0.0409;83.4403;1.1379;3.4133;0.0465;0;;;
1121;05-DAPI-1-40x-402ms.tif;NBL;0.0367;0.0367;45.4467;1.1391;1.6668;0.0418;0;;;
387;02-DAPI-1-40x-402ms.tif;NBL;0.0318;0.0318;41.6689;1.1399;1.3248;0.0362;0;;;
1146;05-DAPI-1-40x-402ms.tif;NBL;0.0262;0.0262;29.7718;1.1411;0.7785;0.0298;0;;;
1976;14-DAPI-1-40x-402ms.tif;NBL;0.0615;0.0615;62.1358;1.1411;3.8228;0.0702;0;;;
210;02-DAPI-1-40x-402ms.tif;NBL;0.0199;0.0199;49.224;1.1421;0.9774;0.0227;0;;;
97;01-DAPI-1-40x-402ms.tif;NBL;0.045;0.045;58.1542;1.1422;2.6187;0.0514;0;;;
673;03-DAPI-1-40x-402ms.tif;NBL;0.0297;0.0297;42.4088;1.1423;1.2609;0.034;0;;;
1610;08-DAPI-1-40x-402ms.tif;NBL;0.028;0.028;24.1938;1.1434;0.6773;0.032;0;;;
914;04-DAPI-1-40x-402ms.tif;NBL;0.0514;0.0514;20.2447;1.1435;1.0412;0.0588;0;;;
2059;14-DAPI-1-40x-402ms.tif;NBL;0.0397;0.0397;33.6503;1.1448;1.3364;0.0455;0;;;
1748;09-DAPI-1-40x-402ms.tif;NBL;0.0374;0.0374;78.5362;1.1449;2.94;0.0429;0;;;
1872;09-DAPI-1-40x-402ms.tif;NBL;0.0486;0.0486;69.721;1.1451;3.3892;0.0557;0;;;
685;03-DAPI-1-40x-402ms.tif;NBL;0.0419;0.0419;43.4456;1.1477;1.8197;0.0481;0;;;
1148;05-DAPI-1-40x-402ms.tif;NBL;0.0263;0.0263;39.0124;1.1488;1.0244;0.0302;0;;;
1397;07-DAPI-1-40x-402ms.tif;NBL;0.0551;0.0551;22.3484;1.1496;1.2319;0.0634;0;;;
614;03-DAPI-1-40x-402ms.tif;NBL;0.0318;0.0318;45.884;1.1502;1.4588;0.0366;0;;;
2088;14-DAPI-1-40x-402ms.tif;NBL;0.0144;0.0144;61.5113;1.1504;0.8877;0.0166;0;;;
1387;07-DAPI-1-40x-402ms.tif;NBL;0.0511;0.0511;15.6263;1.1507;0.7986;0.0588;0;;;
1455;07-DAPI-1-40x-402ms.tif;NBL;0.0416;0.0416;16.235;1.1514;0.6747;0.0479;0;;;
637;03-DAPI-1-40x-402ms.tif;NBL;0.0496;0.0496;37.8315;1.1532;1.876;0.0572;0;;;
2474;16-DAPI-1-40x-402ms.tif;NBL;0.0485;0.0485;71.4385;1.1544;3.465;0.056;0;;;
154;01-DAPI-1-40x-402ms.tif;NBL;0.04;0.04;29.0298;1.1545;1.1623;0.0462;0;;;
1396;07-DAPI-1-40x-402ms.tif;NBL;0.0575;0.0575;22.3925;1.1547;1.2878;0.0664;0;;;
218;02-DAPI-1-40x-402ms.tif;NBL;0.0342;0.0342;50.0444;1.1556;1.7105;0.0395;0;;;
1105;05-DAPI-1-40x-402ms.tif;NBL;0.0314;0.0314;40.0381;1.1557;1.2555;0.0362;0;;;
669;03-DAPI-1-40x-402ms.tif;NBL;0.0919;0.0919;45.4451;1.1558;4.1766;0.1062;0;;;
647;03-DAPI-1-40x-402ms.tif;NBL;0.0457;0.0457;56.5226;1.1568;2.582;0.0528;0;;;
1085;05-DAPI-1-40x-402ms.tif;NBL;0.0283;0.0283;39.8697;1.1571;1.1291;0.0328;0;;;
1262;06-DAPI-1-40x-402ms.tif;NBL;0.042;0.042;27.5271;1.1576;1.1559;0.0486;0;;;
1399;07-DAPI-1-40x-402ms.tif;NBL;0.0583;0.0583;20.2439;1.1583;1.1796;0.0675;0;;;
735;03-DAPI-1-40x-402ms.tif;NBL;0.05;0.05;45.3189;1.1584;2.2669;0.0579;0;;;
2023;14-DAPI-1-40x-402ms.tif;NBL;0.1067;0.1067;58.3042;1.1587;6.2189;0.1236;0;;;
382;02-DAPI-1-40x-402ms.tif;NBL;0.0818;0.0818;40.4178;1.1592;3.3067;0.0948;0;;;
356;02-DAPI-1-40x-402ms.tif;NBL;0.015;0.015;37.7319;1.1594;0.565;0.0174;0;;;
1575;08-DAPI-1-40x-402ms.tif;NBL;0.0406;0.0406;27.0027;1.1604;1.0958;0.0471;0;;;
1615;08-DAPI-1-40x-402ms.tif;NBL;0.0348;0.0348;25.9938;1.162;0.9054;0.0405;0;;;
2089;14-DAPI-1-40x-402ms.tif;NBL;0.026;0.026;68.1417;1.1625;1.7745;0.0303;0;;;
1158;05-DAPI-1-40x-402ms.tif;NBL;0.0297;0.0297;37.3723;1.1642;1.1111;0.0346;0;;;
1899;09-DAPI-1-40x-402ms.tif;NBL;0.0297;0.0297;68.427;1.1642;2.0344;0.0346;0;;;
1081;05-DAPI-1-40x-402ms.tif;NBL;0.0152;0.0152;43.5357;1.1643;0.6613;0.0177;0;;;
2203;15-DAPI-1-40x-402ms.tif;NBL;0.0686;0.0686;80.6361;1.1646;5.5297;0.0799;0;;;
1365;06-DAPI-1-40x-402ms.tif;NBL;0.0725;0.0725;21.5614;1.1647;1.5628;0.0844;0;;;
2417;16-DAPI-1-40x-402ms.tif;NBL;0.0546;0.0546;91.5447;1.165;4.9964;0.0636;0;;;
532;03-DAPI-1-40x-402ms.tif;NBL;0.0538;0.0538;47.2077;1.1653;2.5407;0.0627;0;;;
1255;06-DAPI-1-40x-402ms.tif;NBL;0.0694;0.0694;17.4719;1.1656;1.2133;0.0809;0;;;
2237;15-DAPI-1-40x-402ms.tif;NBL;0.0747;0.0747;86.9113;1.1657;6.4882;0.087;0;;;
826;04-DAPI-1-40x-402ms.tif;NBL;0.0312;0.0312;42.184;1.1667;1.3183;0.0365;0;;;
1373;07-DAPI-1-40x-402ms.tif;NBL;0.0599;0.0599;21.1196;1.1667;1.265;0.0699;0;;;
1542;08-DAPI-1-40x-402ms.tif;NBL;0.0111;0.0111;29.2255;1.1667;0.3235;0.0129;0;;;
1992;14-DAPI-1-40x-402ms.tif;NBL;0.0352;0.0352;54.463;1.1667;1.9147;0.041;0;;;
1909;09-DAPI-1-40x-402ms.tif;NBL;0.0648;0.0648;50.8191;1.1675;3.292;0.0756;0;;;
2243;15-DAPI-1-40x-402ms.tif;NBL;0.0361;0.0361;82.2613;1.1682;2.9723;0.0422;0;;;
423;02-DAPI-1-40x-402ms.tif;NBL;0.0506;0.0506;53.2361;1.1695;2.6918;0.0591;0;;;
1662;08-DAPI-1-40x-402ms.tif;NBL;0.025;0.025;28.3957;1.1696;0.7087;0.0292;0;;;
2409;16-DAPI-1-40x-402ms.tif;NBL;0.0371;0.0371;86.7895;1.1696;3.2207;0.0434;0;;;
1040;05-DAPI-1-40x-402ms.tif;NBL;0.0509;0.0509;38.3006;1.1706;1.9491;0.0596;0;;;
2319;16-DAPI-1-40x-402ms.tif;NBL;0.0526;0.0526;96.9093;1.1711;5.0999;0.0616;0;;;
286;02-DAPI-1-40x-402ms.tif;NBL;0.0723;0.0723;47.1201;1.1712;3.4052;0.0846;0;;;
2101;14-DAPI-1-40x-402ms.tif;NBL;0.0375;0.0375;47.2543;1.1734;1.7741;0.0441;0;;;
1353;06-DAPI-1-40x-402ms.tif;NBL;0.0876;0.0876;21.1871;1.1735;1.8553;0.1028;0;;;
121;01-DAPI-1-40x-402ms.tif;NBL;0.0442;0.0442;36.887;1.1744;1.629;0.0519;0;;;
1971;14-DAPI-1-40x-402ms.tif;NBL;0.0451;0.0451;82.524;1.1755;3.725;0.0531;0;;;
585;03-DAPI-1-40x-402ms.tif;NBL;0.0788;0.0788;40.7011;1.1763;3.2063;0.0927;0;;;
1191;05-DAPI-1-40x-402ms.tif;NBL;0.024;0.024;40.638;1.1765;0.9745;0.0282;0;;;
875;04-DAPI-1-40x-402ms.tif;NBL;0.0564;0.0564;44.6692;1.1769;2.5204;0.0664;0;;;
2164;15-DAPI-1-40x-402ms.tif;NBL;0.0312;0.0312;86.5938;1.1771;2.7061;0.0368;0;;;
543;03-DAPI-1-40x-402ms.tif;NBL;0.0813;0.0813;40.8999;1.1776;3.324;0.0957;0;;;
1990;14-DAPI-1-40x-402ms.tif;NBL;0.0335;0.0335;76.0259;1.178;2.549;0.0395;0;;;
413;02-DAPI-1-40x-402ms.tif;NBL;0.0426;0.0426;58.7557;1.1781;2.5055;0.0502;0;;;
375;02-DAPI-1-40x-402ms.tif;NBL;0.037;0.037;36.1261;1.1789;1.3367;0.0436;0;;;
1946;09-DAPI-1-40x-402ms.tif;NBL;0.0267;0.0267;49.5813;1.1789;1.3235;0.0315;0;;;
856;04-DAPI-1-40x-402ms.tif;NBL;0.0604;0.0604;43.6535;1.1795;2.6383;0.0713;0;;;
1480;07-DAPI-1-40x-402ms.tif;NBL;0.0524;0.0524;21.8986;1.1801;1.1477;0.0618;0;;;
2230;15-DAPI-1-40x-402ms.tif;NBL;0.0283;0.0283;80.9847;1.1801;2.2935;0.0334;0;;;
927;04-DAPI-1-40x-402ms.tif;NBL;0.0858;0.0858;33.5651;1.1808;2.8809;0.1013;0;;;
1730;09-DAPI-1-40x-402ms.tif;NBL;0.0306;0.0306;94.6206;1.1809;2.8953;0.0361;0;;;
741;03-DAPI-1-40x-402ms.tif;NBL;0.0227;0.0227;52.134;1.1818;1.1823;0.0268;0;;;
1388;07-DAPI-1-40x-402ms.tif;NBL;0.0464;0.0464;23.764;1.1822;1.1036;0.0549;0;;;
233;02-DAPI-1-40x-402ms.tif;NBL;0.0381;0.0381;45.0171;1.1823;1.7145;0.045;0;;;
497;02-DAPI-1-40x-402ms.tif;NBL;0.041;0.041;48.3677;1.1825;1.9838;0.0485;0;;;
643;03-DAPI-1-40x-402ms.tif;NBL;0.0449;0.0449;44.4324;1.1836;1.996;0.0532;0;;;
852;04-DAPI-1-40x-402ms.tif;NBL;0.0254;0.0254;39.5256;1.1838;1.0036;0.0301;0;;;
2208;15-DAPI-1-40x-402ms.tif;NBL;0.0728;0.0728;66.6855;1.1848;4.8553;0.0863;0;;;
1140;05-DAPI-1-40x-402ms.tif;NBL;0.0316;0.0316;36.0344;1.1856;1.1378;0.0374;0;;;
1930;09-DAPI-1-40x-402ms.tif;NBL;0.0456;0.0456;64.2595;1.1857;2.9285;0.054;0;;;
1613;08-DAPI-1-40x-402ms.tif;NBL;0.022;0.022;25.2365;1.1872;0.5559;0.0262;0;;;
73;01-DAPI-1-40x-402ms.tif;NBL;0.0515;0.0515;50.8505;1.1874;2.6209;0.0612;0;;;
468;02-DAPI-1-40x-402ms.tif;NBL;0.0422;0.0422;41.0334;1.1877;1.732;0.0501;0;;;
2239;15-DAPI-1-40x-402ms.tif;NBL;0.0398;0.0398;74.9428;1.188;2.9844;0.0473;0;;;
1710;08-DAPI-1-40x-402ms.tif;NBL;0.0224;0.0224;29.0291;1.1893;0.6489;0.0266;0;;;
1154;05-DAPI-1-40x-402ms.tif;NBL;0.0206;0.0206;32.7053;1.1895;0.6743;0.0245;0;;;
703;03-DAPI-1-40x-402ms.tif;NBL;0.0263;0.0263;33.4215;1.1901;0.8776;0.0312;0;;;
1351;06-DAPI-1-40x-402ms.tif;NBL;0.0957;0.0957;21.2018;1.1905;2.0291;0.1139;0;;;
1072;05-DAPI-1-40x-402ms.tif;NBL;0.0643;0.0643;28.0017;1.1906;1.8018;0.0766;0;;;
1702;08-DAPI-1-40x-402ms.tif;NBL;0.0449;0.0449;17.843;1.1908;0.8015;0.0535;0;;;
547;03-DAPI-1-40x-402ms.tif;NBL;0.0477;0.0477;48.1409;1.1909;2.2984;0.0569;0;;;
1865;09-DAPI-1-40x-402ms.tif;NBL;0.0483;0.0483;68.8067;1.191;3.3224;0.0575;0;;;
1924;09-DAPI-1-40x-402ms.tif;NBL;0.0323;0.0323;83.6577;1.1913;2.7051;0.0385;0;;;
2062;14-DAPI-1-40x-402ms.tif;NBL;0.0698;0.0698;40.6392;1.1913;2.8354;0.0831;0;;;
712;03-DAPI-1-40x-402ms.tif;NBL;0.0225;0.0225;57.4251;1.1932;1.2898;0.0268;0;;;
2129;15-DAPI-1-40x-402ms.tif;NBL;0.0354;0.0354;57.2209;1.1933;2.0241;0.0422;0;;;
349;02-DAPI-1-40x-402ms.tif;NBL;0.0303;0.0303;53.8674;1.1935;1.6308;0.0361;0;;;
