 ;Image;Region;Area-B;Area-G;Mean-B;Mean-G;IntDen-B;IntDen-G
1;01-DAPI-1-40x-485ms.tif;BL;0.0449;0.0449;87.5386;0.5314;3.9324;0.0239
2;01-DAPI-1-40x-485ms.tif;BL;0.0354;0.0354;86.2546;0.4663;3.0511;0.0165
3;01-DAPI-1-40x-485ms.tif;BL;0.0296;0.0296;115.663;0.5055;3.4262;0.015
4;01-DAPI-1-40x-485ms.tif;BL;0.0192;0.0192;92.2373;0.8136;1.7715;0.0156
5;01-DAPI-1-40x-485ms.tif;BL;0.0472;0.0472;98.7517;0.6023;4.6611;0.0284
6;01-DAPI-1-40x-485ms.tif;BL;0.043;0.043;114.2197;0.7475;4.9079;0.0321
7;01-DAPI-1-40x-485ms.tif;BL;0.0216;0.0216;97.0854;0.809;2.0964;0.0175
8;01-DAPI-1-40x-485ms.tif;BL;0.0168;0.0168;115.7032;0.6387;1.946;0.0107
9;01-DAPI-1-40x-485ms.tif;BL;0.0266;0.0266;117.4286;1.1347;3.1217;0.0302
10;01-DAPI-1-40x-485ms.tif;BL;0.0143;0.0143;119.0152;0.947;1.7046;0.0136
11;01-DAPI-1-40x-485ms.tif;BL;0.0105;0.0105;114.7938;1.1237;1.2082;0.0118
12;01-DAPI-1-40x-485ms.tif;BL;0.0263;0.0263;114.2769;1.0124;3.0008;0.0266
13;01-DAPI-1-40x-485ms.tif;BL;0.0289;0.0289;117.8947;0.9699;3.4028;0.028
14;01-DAPI-1-40x-485ms.tif;BL;0.0188;0.0188;117.2601;1.4277;2.2012;0.0268
15;01-DAPI-1-40x-485ms.tif;BL;0.0301;0.0301;113.0325;1.1516;3.3974;0.0346
16;01-DAPI-1-40x-485ms.tif;BL;0.0217;0.0217;116.35;1.07;2.525;0.0232
17;01-DAPI-1-40x-485ms.tif;BL;0.0232;0.0232;113.8551;0.9393;2.6438;0.0218
18;01-DAPI-1-40x-485ms.tif;BL;0.0284;0.0284;116.4198;1.0573;3.3097;0.0301
19;01-DAPI-1-40x-485ms.tif;BL;0.0556;0.0556;116.2363;0.9922;6.4576;0.0551
20;01-DAPI-1-40x-485ms.tif;BL;0.0232;0.0232;110.028;1.0327;2.5549;0.024
21;01-DAPI-1-40x-485ms.tif;BL;0.0345;0.0345;107.3522;0.9465;3.7042;0.0327
22;01-DAPI-1-40x-485ms.tif;BL;0.0319;0.0319;118.2381;1.4218;3.7719;0.0454
23;01-DAPI-1-40x-485ms.tif;BL;0.0201;0.0201;117.1946;1.5243;2.3525;0.0306
24;01-DAPI-1-40x-485ms.tif;BL;0.0583;0.0583;112.5028;1.3426;6.5553;0.0782
25;01-DAPI-1-40x-485ms.tif;BL;0.052;0.052;112.0397;1.4864;5.8232;0.0773
26;01-DAPI-1-40x-485ms.tif;BL;0.0467;0.0467;112.7372;1.4884;5.2601;0.0694
27;01-DAPI-1-40x-485ms.tif;BL;0.0404;0.0404;112.4032;1.4919;4.5371;0.0602
28;01-DAPI-1-40x-485ms.tif;BL;0.0924;0.0924;109.9613;1.5153;10.1657;0.1401
29;01-DAPI-1-40x-485ms.tif;BL;0.0543;0.0543;112.092;1.506;6.0814;0.0817
30;01-DAPI-1-40x-485ms.tif;BL;0.031;0.031;105.3427;1.5385;3.2691;0.0477
31;01-DAPI-1-40x-485ms.tif;BL;0.0579;0.0579;114.1273;1.7547;6.6128;0.1017
32;01-DAPI-1-40x-485ms.tif;BL;0.0369;0.0369;97.0147;1.5912;3.5791;0.0587
33;01-DAPI-1-40x-485ms.tif;BL;0.0675;0.0675;92.8071;1.4277;6.2637;0.0964
34;01-DAPI-1-40x-485ms.tif;BL;0.086;0.086;105.1375;1.5776;9.0467;0.1357
35;01-DAPI-1-40x-485ms.tif;BL;0.07;0.07;114.9876;1.0047;8.0476;0.0703
36;01-DAPI-1-40x-485ms.tif;BL;0.0284;0.0284;112.8473;0.9695;3.2081;0.0276
37;01-DAPI-1-40x-485ms.tif;BL;0.0304;0.0304;81.4071;1.3857;2.4733;0.0421
38;01-DAPI-1-40x-485ms.tif;BL;0.0316;0.0316;112.1787;2.4708;3.5421;0.078
39;01-DAPI-1-40x-485ms.tif;BL;0.0599;0.0599;106.221;1.4293;6.3622;0.0856
40;01-DAPI-1-40x-485ms.tif;BL;0.0633;0.0633;110.7341;1.4889;7.005;0.0942
41;01-DAPI-1-40x-485ms.tif;BL;0.0235;0.0235;116.1659;1.6406;2.7352;0.0386
42;01-DAPI-1-40x-485ms.tif;BL;0.0808;0.0808;114.902;1.2483;9.2884;0.1009
43;01-DAPI-1-40x-485ms.tif;BL;0.0231;0.0231;111.0469;0.9061;2.5665;0.0209
44;01-DAPI-1-40x-485ms.tif;BL;0.0435;0.0435;114.4638;1.1621;4.9805;0.0506
45;01-DAPI-1-40x-485ms.tif;BL;0.0358;0.0358;74.7424;1.8697;2.6763;0.0669
46;01-DAPI-1-40x-485ms.tif;BL;0.0444;0.0444;112.2787;1.6748;4.9829;0.0743
47;01-DAPI-1-40x-485ms.tif;BL;0.034;0.034;84.5974;1.7188;2.8732;0.0584
