"","x"
"1","TIMP1"
"2","SERPINH1"
"3","MSMO1"
"4","ANKRD1"
"5","IFITM3"
"6","COL15A1"
"7","RPL23"
"8","HMGCS1"
"9","RPL38"
"10","RPL36"
"11","INSIG1"
"12","RPL15"
"13","EEF1A1"
"14","RPS12"
"15","HSPA1B"
"16","GPX3"
"17","RPL35"
"18","RPL41"
"19","RPL11"
"20","PTMS"
"21","MOB4"
"22","RPS18"
"23","RPL6"
"24","MT-ND4L"
"25","RPS6"
"26","RPS24"
"27","NR2F1"
"28","HSPB1"
"29","IGFBP4"
"30","HSP90AB1"
"31","HSPA8"
"32","RPL28"
"33","CAVIN1"
"34","MT2A"
"35","ITGA2"
"36","TMSB4X"
"37","ACTG1"
"38","TMSB10"
"39","RPS27"
"40","RPL27A"
"41","ENPP2"
"42","MGP"
"43","LUM"
"44","S100A11"
"45","UBC"
"46","MTRNR2L12"
"47","ELOVL5"
"48","FDFT1"
"49","RPLP1"
"50","RPLP2"
"51","DNAJA1"
"52","ACTB"
"53","RPL37"
"54","RPS8"
"55","HMOX1"
"56","MTRNR2L8"
"57","TPT1"
"58","RPL13"
"59","COL4A1"
"60","MARCKS"
"61","HSP90AA1"
"62","RPL13A"
"63","HSPA5"
"64","BAG3"
"65","RPL17"
"66","TMEM30A"
"67","PTMA"
"68","JUNB"
"69","RPS2"
"70","CDKN1A"
"71","MT-ND4"
"72","S100A6"
"73","RPL21"
"74","MT-ATP8"
"75","CD59"
"76","CALR"
"77","MYL6"
"78","RPS28"
"79","HSPA1A"
"80","RACK1"
"81","JUND"
"82","SPARC"
"83","COL3A1"
"84","MT-ND6"
"85","MT-ND5"
"86","KCNQ3"
"87","TRAM1"
"88","HSPH1"
"89","MMP14"
"90","RPS27A"
"91","A2M"
"92","NPC2"
"93","RPL37A"
"94","RPLP0"
"95","RPS19"
"96","HSPD1"
"97","RPL7A"
"98","KRT7"
"99","CANX"
"100","DNAJB1"
"101","RPL3"
"102","SFTPA1"
"103","DYSF"
"104","RPS3"
"105","MXD1"
"106","ZFP36L1"
"107","CEBPD"
"108","CNN3"
"109","SLC34A2"
"110","NORAD"
"111","SQSTM1"
"112","HSPE1"
"113","MT-CO1"
"114","PPP1R15A"
"115","HOPX"
"116","ATF3"
"117","TGM2"
"118","SELENOP"
"119","NCL"
"120","DCN"
"121","YWHAG"
"122","CD81"
"123","ACSL3"
"124","LMAN1"
"125","SLCO2A1"
"126","RPL5"
"127","LAPTM4A"
"128","ADAMTS9"
"129","IGFBP7"
"130","RPSA"
"131","STOM"
"132","EFEMP1"
"133","EEF2"
"134","LTBP2"
"135","HS3ST2"
"136","KITLG"
"137","JUN"
"138","MT-ND2"
"139","FN1"
"140","COL6A3"
"141","THBS2"
"142","COL1A2"
"143","CD63"
"144","MORF4L2"
"145","TNC"
"146","EIF4A1"
"147","FSTL1"
"148","MT-ND1"
"149","CEBPB"
"150","SDC4"
"151","ACSS2"
"152","CALU"
"153","TMBIM6"
"154","CTSL"
"155","C1R"
"156","P4HB"
"157","CCN1"
"158","MACROD2"
"159","MT-CO2"
"160","PKM"
"161","MT-ATP6"
"162","LAMP1"
"163","ADAM10"
"164","PRSS23"
"165","CALM2"
"166","IL1R1"
"167","COL6A2"
"168","ENAH"
"169","NFIX"
"170","FLNA"
"171","RPS9"
"172","PLOD2"
"173","COL5A2"
"174","SPON1"
"175","WWC1"
"176","APLP2"
