"","x"
"1","F13A1"
"2","CD163L1"
"3","MS4A4E"
"4","STAB1"
"5","MS4A6A"
"6","PLTP"
"7","LILRB5"
"8","MS4A4A"
"9","LNCAROD"
"10","RBPJ"
"11","CR1"
"12","SIGLEC1"
"13","CSF1R"
"14","CD163"
"15","IL2RA"
"16","NFAM1"
"17","MERTK"
"18","FPR3"
"19","CSF2RA"
"20","CMKLR1"
"21","CD86"
"22","CPVL"
"23","SLCO2B1"
"24","FGL2"
"25","TRPM2"
"26","ATP8B4"
"27","MAFB"
"28","FPR1"
"29","FCGR2A"
"30","ADAP2"
"31","SLC1A3"
"32","SIRPB2"
"33","HLA-DMB"
"34","CLEC7A"
"35","CIITA"
"36","SDC3"
"37","RASSF4"
"38","SLC16A10"
"39","KCNMA1"
"40","CD14"
"41","HLA-DQA1"
"42","GPR183"
"43","RTN1"
"44","SRGN"
"45","TLR4"
"46","MRC1"
"47","OLFML2B"
"48","CREG1"
"49","NPL"
"50","TGFBI"
"51","TLR2"
"52","ARHGAP22"
"53","C1QC"
"54","DIRC3"
"55","PDE4B"
"56","MS4A7"
"57","PILRA"
"58","FES"
"59","HLA-DQB1"
"60","TFRC"
"61","TLR1"
"62","HLA-DRB1"
"63","HLA-DPB1"
"64","MARCH1"
"65","CTSB"
"66","RNF144B"
"67","EPB41L3"
"68","LAIR1"
"69","DMXL2"
"70","MFSD1"
"71","HLA-DMA"
"72","FMN1"
"73","SLC8A1"
"74","PDGFC"
"75","THEMIS2"
"76","TTYH3"
"77","ZNF331"
"78","LGMN"
"79","PLA2G7"
"80","C1QA"
"81","FGD2"
"82","LY86"
"83","AP1B1"
"84","C5AR1"
"85","TFEC"
"86","HLA-DRB5"
"87","ATP1B3"
"88","MSR1"
"89","RGL1"
"90","TBC1D14"
"91","EMILIN2"
"92","SLC8A1-AS1"
"93","HLA-DPA1"
"94","TYMP"
"95","VSIG4"
"96","LY96"
"97","MNDA"
"98","FAM49A"
"99","FCGR3A"
"100","FRMD4A"
"101","KYNU"
"102","TNFSF13B"
"103","KMO"
"104","SLC18B1"
"105","MPP1"
"106","TBXAS1"
"107","SLC2A9"
"108","NAIP"
"109","CTSA"
"110","ME1"
"111","HLA-DRA"
"112","FCGRT"
"113","PDK4"
"114","TYROBP"
"115","CTSC"
"116","PTAFR"
"117","RGS2"
"118","HCK"
"119","AP2A2"
"120","RAB20"
"121","ACSL1"
"122","AMPD3"
"123","RGS1"
"124","RNASET2"
"125","RAB31"
"126","ARRB2"
"127","CD74"
"128","SH3TC1"
"129","C1QB"
"130","C9orf72"
"131","SGPL1"
