"","x"
"1","SFTPA2"
"2","SFTPA1"
"3","SFTPC"
"4","SFN"
"5","NAPSA"
"6","SLC34A2"
"7","SFTA2"
"8","SFTPD"
"9","FASN"
"10","PLD5"
"11","S100A14"
"12","CTSE"
"13","MUC1"
"14","DHCR24"
"15","SCTR"
"16","LAMP3"
"17","C8orf34-AS1"
"18","SLC22A31"
"19","MALL"
"20","SLC6A14"
"21","AQP1"
"22","CXCL17"
"23","SLC22A3"
"24","STK32A"
"25","ITGB6"
"26","SUSD2"
"27","SLC5A8"
"28","AQP3"
"29","ROS1"
"30","CCND1"
"31","NRGN"
"32","MPZL2"
"33","KRT18"
"34","C4BPA"
"35","AQP4"
"36","MACROD2"
"37","PIGR"
"38","PGC"
"39","RND1"
"40","SFTPB"
"41","KCNQ3"
"42","SDR16C5"
"43","KRT8"
"44","WFDC2"
"45","KRT7"
"46","LMO3"
"47","HHIP"
"48","MFSD2A"
"49","HS6ST2"
"50","DSG2"
"51","RHOBTB2"
"52","LPCAT1"
"53","LRP2"
"54","IRX3"
"55","SLPI"
"56","SLCO4C1"
"57","HPN"
"58","MSMO1"
"59","FRMD5"
"60","PEBP4"
"61","SCD"
"62","LRRK2"
"63","ADGRF1"
"64","CDH3"
"65","HOPX"
"66","ABCA3"
"67","NPC2"
"68","CD24"
"69","RASGRF1"
"70","KCNJ15"
"71","ALPL"
"72","ARHGEF38"
"73","CTSH"
"74","BCAM"
"75","PLA2G4F"
"76","CLDN1"
"77","TMEM63B"
"78","GPC4"
"79","PARM1"
"80","MMP28"
"81","NDNF"
"82","SDC4"
"83","SCN1A"
"84","FLRT3"
"85","DMBT1"
"86","TMEM125"
"87","ERC2"
"88","PRTG"
"89","NKX2-1"
"90","MT-ND1"
"91","EFNA1"
"92","PTCHD1-AS"
"93","HMGCS1"
"94","SDC1"
"95","F3"
"96","IRX2"
"97","CDKL2"
"98","SLC26A9"
"99","CEACAM6"
"100","CFTR"
"101","ACSS2"
"102","ALOX15B"
"103","CCNJL"
"104","CKB"
"105","SERPINA1"
"106","DUOXA1"
"107","KRT19"
"108","ZNF385B"
"109","WWC1"
"110","CAPN8"
"111","AGR2"
"112","C1orf116"
"113","EHF"
"114","ETV1"
"115","AGPAT2"
"116","SFTA3"
"117","MAL2"
"118","LAMB3"
"119","SCNN1A"
"120","NTN4"
"121","GALNTL6"
"122","FHDC1"
"123","GDF15"
"124","C8orf34"
"125","VEPH1"
"126","MTRNR2L8"
"127","MGST1"
"128","RPS5"
"129","SPINT2"
"130","RAB27B"
"131","CACNA2D2"
"132","FREM2"
"133","CYB5A"
"134","LAMC2"
"135","C4orf19"
"136","TMEM163"
"137","SLC35F3"
"138","CREB3L1"
"139","GSTP1"
"140","GSTA4"
"141","PPP4R4"
"142","VSTM2L"
"143","PTGFR"
"144","SELENBP1"
"145","CEP70"
"146","ABCC6"
"147","LDHB"
"148","CLDN4"
"149","ADGRF5"
"150","DPP4"
"151","TACC2"
"152","TBC1D24"
"153","MBIP"
"154","PRRT2"
"155","RPS17"
"156","LHFPL3-AS2"
"157","ATP1B1"
"158","CACHD1"
"159","MTRNR2L12"
"160","ITGA3"
"161","MET"
"162","PDE4C"
"163","DMKN"
"164","DUOX1"
"165","TFCP2L1"
"166","MTUS1"
"167","ACOXL"
"168","MLPH"
"169","RPL29"
"170","MALRD1"
"171","TCIM"
"172","LACTB2"
"173","SPINT1"
"174","ERBB4"
"175","ESYT3"
"176","RPS27"
"177","SQLE"
"178","SIAE"
"179","RNASE1"
"180","PCDH9"
"181","PLCH1"
"182","AGR3"
"183","RMST"
"184","MECOM"
"185","PFKFB2"
"186","PPP1R14C"
"187","S100A6"
"188","MRPL14"
"189","STEAP4"
"190","KCNK1"
"191","PTCHD4"
"192","ARHGAP44"
"193","DANT2"
"194","AASS"
"195","EFNA5"
"196","SHC3"
"197","RPL28"
"198","ESRP1"
"199","TTC6"
"200","TMPRSS2"
"201","CCDC141"
"202","GPR39"
"203","PTPN13"
"204","CSF3R"
"205","RNF43"
"206","EEF1A1"
"207","DLGAP1"
"208","GPR160"
"209","CDH1"
"210","RPL36"
"211","MT-ATP8"
"212","RPS12"
"213","MAP7"
"214","SPTSSA"
"215","WIF1"
"216","MYO5C"
"217","RPL8"
"218","NLGN1"
"219","PCLO"
"220","PTPRF"
"221","ERBB3"
"222","TM4SF1"
"223","GRHL2"
"224","TKT"
"225","CRNDE"
"226","RPL27"
"227","MAST4"
"228","PRDM16"
"229","OCLN"
"230","RPL24"
"231","PON2"
"232","TTN"
"233","MT-ND4L"
"234","ATP13A4"
"235","RANBP17"
"236","MT-CO3"
"237","PTPN3"
"238","RPL26"
"239","LNX2"
"240","RPS21"
"241","SGPP2"
"242","MT-ND2"
"243","ATP2C2"
"244","MT-ND4"
"245","MEGF9"
"246","EPCAM"
"247","PRRG4"
"248","TSPAN13"
"249","SELENOW"
