"","x"
"1","CLNK"
"2","CLEC9A"
"3","CCDC26"
"4","IDO2"
"5","FLT3"
"6","SLCO5A1"
"7","ENPP1"
"8","WDFY4"
"9","IDO1"
"10","ZNF366"
"11","SLC24A4"
"12","MIR924HG"
"13","HDAC9"
"14","IRF8"
"15","TSPAN33"
"16","GNAO1"
"17","CCR7"
"18","P2RY14"
"19","CCSER1"
"20","ENOX1"
"21","MED12L"
"22","DUSP4"
"23","ZBTB46-AS1"
"24","CSF2RA"
"25","RAB7B"
"26","IRF4"
"27","P2RY6"
"28","GPR157"
"29","CPVL"
"30","ZBTB46"
"31","DAPP1"
"32","TTYH2"
"33","CBFA2T3"
"34","BCL11A"
"35","RUBCNL"
"36","HLA-DPB1"
"37","CD80"
"38","ANKRD33B"
"39","CD83"
"40","SULF2"
"41","NAAA"
"42","MCOLN2"
"43","RHEX"
"44","LY75"
"45","SLC9A7"
"46","BID"
"47","HLA-DQB1"
"48","HLA-DQA1"
"49","BIRC3"
"50","VAC14"
"51","ID2"
"52","STX17-AS1"
"53","NET1"
"54","CIITA"
"55","ETV3"
"56","KCNK13"
"57","CLIC2"
"58","FGL2"
"59","DUSP5"
"60","SPECC1"
"61","TRAF1"
"62","CD226"
"63","HPS5"
"64","IRAK2"
"65","SLC41A2"
"66","SERPINB9"
"67","IPO9-AS1"
"68","VDR"
"69","ENO4"
"70","ST18"
"71","NEGR1"
"72","HLA-DPA1"
"73","SLAMF7"
"74","C1orf54"
"75","PPM1H"
"76","PLEK"
"77","CERS6"
"78","GPR137B"
"79","IL15"
"80","PRKAR2B"
"81","PAK1"
"82","TMCC3"
"83","SNX8"
"84","ADAM19"
"85","NAV1"
"86","NR1H2"
"87","SH3BP4"
"88","KDM2B"
"89","PALD1"
"90","LSP1"
"91","GRASP"
"92","BCL2L11"
"93","SLC15A4"
"94","GPR132"
"95","NR4A3"
"96","GNA15"
"97","APBA1"
"98","BCL6"
"99","WNT5B"
"100","CD74"
"101","CPNE3"
"102","SHTN1"
"103","UVRAG"
"104","KIF2A"
"105","NFKBID"
"106","HLA-DRB5"
"107","TIMMDC1"
"108","KCNK6"
"109","TAP2"
"110","VASH1"
"111","HLA-DRB1"
"112","NUBPL"
"113","RASSF4"
"114","LRRK1"
"115","LDLRAD3"
"116","VOPP1"
"117","BASP1"
"118","MARCH1"
"119","AUTS2"
"120","TBC1D8"
"121","ADAM28"
"122","CCNG2"
"123","TXN"
"124","RASSF2"
"125","ATG3"
"126","ETV6"
"127","IL21R"
"128","SUB1"
"129","KIF16B"
"130","ANPEP"
"131","RGS10"
"132","ZNF516"
"133","MAP3K14"
"134","GRSF1"
"135","DENND1B"
"136","PLEKHM3"
"137","FOXN2"
"138","ENTPD1"
"139","NUB1"
"140","TSPOAP1-AS1"
"141","INPP5F"
"142","SLC8A1-AS1"
"143","ST8SIA4"
"144","ST3GAL2"
"145","GNG7"
"146","AFF3"
"147","BTN2A2"
"148","LY86"
"149","ST3GAL5"
"150","FGD2"
"151","SEPTIN6"
"152","CCDC126"
"153","FNBP1"
"154","ST3GAL6"
"155","CCDC6"
"156","MIR181A1HG"
"157","DIPK2A"
"158","SLC22A23"
"159","MOB1B"
"160","COTL1"
"161","KAT2B"
"162","SH3TC1"
"163","SLC9A9"
"164","PPA1"
"165","ARHGAP22"
"166","PLEKHO1"
"167","FCHSD2"
"168","MBNL1-AS1"
"169","GRAMD1B"
"170","LAMP3"
"171","GPR183"
"172","HCK"
"173","FARP2"
"174","FAM160A1"
"175","ITGA4"
"176","NCALD"
"177","MICAL1"
"178","SNX3"
"179","HSH2D"
"180","SH2B3"
"181","CORO7"
"182","VAV3"
"183","B3GNTL1"
"184","RFTN1"
"185","CMTM6"
"186","TCOF1"
"187","RAB30"
"188","LDLRAD4"
"189","SERTAD2"
"190","SLC20A1"
"191","DOCK10"
"192","PTPN2"
"193","RAB11FIP1"
"194","NFKB1"
"195","PIK3CB"
"196","TENM4"
"197","CCDC88A"
"198","UBE2F"
"199","ATP6V0A2"
"200","CYTH4"
"201","SIPA1L3"
"202","STK17B"
"203","ATP2B1"
"204","MTMR10"
"205","CCDC88B"
"206","MYBL1"
"207","CNOT10"
"208","DYSF"
"209","SPPL3"
"210","PFKFB3"
"211","PIK3CG"
"212","ZFAT"
"213","MAP2K6"
"214","DSE"
"215","NBEAL2"
"216","CDH23"
"217","HLA-DMA"
"218","PDE4A"
"219","HLA-DMB"
"220","GRK3"
"221","ZNF710"
"222","LCP1"
"223","DBNL"
"224","NABP1"
"225","RELB"
"226","SOGA1"
"227","REL"
"228","ERICH1"
"229","FAM118A"
"230","NLRC5"
"231","KIAA1958"
"232","CDYL"
"233","EHBP1L1"
"234","ASAP1"
"235","TRERF1"
"236","KCND3"
"237","TRABD"
"238","SDK1"
"239","ZDHHC17"
"240","CRYBG1"
"241","HIVEP1"
"242","SMCO4"
"243","CLEC7A"
"244","FAM117B"
"245","NIBAN1"
"246","PARVG"
"247","OXSR1"
"248","CARD11"
"249","TBC1D9"
"250","CBL"
"251","GAS7"
"252","UGCG"
"253","DCLRE1C"
"254","ZEB1"
"255","ADA2"
"256","ZNF846"
"257","TAP1"
"258","PRCP"
"259","ENTPD1-AS1"
"260","SINHCAF"
"261","UPF2"
"262","VSIR"
"263","SLC8A1"
"264","JARID2"
"265","SRGAP2"
"266","SFT2D2"
"267","FMNL1"
"268","INSYN2B"
"269","IL3RA"
"270","TNFAIP2"
"271","MBOAT2"
"272","DYNC1LI1"
"273","CYFIP2"
"274","N4BP2"
"275","RUFY3"
"276","TOX"
"277","SYK"
"278","ZC3HAV1"
"279","THRB"
"280","CD84"
"281","NDEL1"
"282","CD86"
"283","RAB8B"
"284","ST7"
"285","MIS18BP1"
"286","LIPE-AS1"
"287","ADAMTSL4-AS1"
"288","ZNF124"
"289","FAM49B"
"290","RGS1"
"291","MALT1"
"292","PSMB9"
"293","HAVCR2"
"294","FAM135A"
"295","CADM1"
"296","KDM1B"
"297","L3MBTL4"
"298","STARD7"
"299","HTT"
"300","CPB2-AS1"
"301","INPP5D"
"302","MTMR1"
"303","C22orf34"
"304","EZH2"
"305","MIR4435-2HG"
"306","FAM53B"
"307","USP12"
"308","HIP1"
"309","RNF144B"
"310","ADCY7"
"311","TTF2"
"312","LONRF1"
"313","RAP1GAP2"
"314","IFNGR2"
"315","MAN2B1"
"316","MAPK9"
"317","SLC25A29"
"318","LRMP"
"319","SLC25A25"
"320","ARHGAP31"
"321","RABGAP1L"
"322","MARCH8"
"323","DIPK1A"
"324","ARSB"
"325","KLHL22"
"326","GNA13"
"327","MVB12B"
"328","CCDC200"
"329","DLGAP4"
"330","ELOVL5"
"331","NUP210"
"332","PREX1"
"333","JAK2"
"334","NFATC2"
"335","CEP152"
"336","ANP32A"
"337","FBRSL1"
"338","SRGAP2C"
"339","TARBP1"
"340","FARS2"
"341","RNASET2"
"342","RUBCN"
"343","OSBPL3"
"344","CTTNBP2NL"
"345","PTPRJ"
"346","AMZ1"
"347","RUNX2"
"348","PTPN1"
"349","SEL1L3"
"350","LYRM4"
"351","FAM49A"
"352","PELI1"
"353","AIDA"
"354","KDM2A"
"355","TRIM22"
"356","ATAD2B"
"357","CXCR4"
"358","MYO18A"
"359","AHR"
"360","ZMIZ2"
"361","RUNX1"
"362","TMEM131"
"363","PACS1"
"364","STIM2"
"365","ACOT9"
"366","DOCK2"
"367","AP1S3"
"368","DISC1"
"369","STK4"
"370","EDEM1"
"371","ANTXR2"
"372","SYMPK"
"373","VRK2"
"374","WARS"
"375","ABCC4"
"376","N4BP2L1"
"377","TMEM260"
"378","FANCL"
"379","ACER3"
"380","KLHL6"
"381","ADAM12"
"382","NMT1"
"383","SAMHD1"
"384","CCDC12"
"385","GDI2"
"386","SRGAP2B"
"387","ASMTL"
"388","SRSF7"
"389","OTULINL"
"390","PDE4B"
"391","TBC1D22A"
"392","MCL1"
"393","CLASRP"
"394","NHLRC2"
"395","PRMT2"
"396","BLOC1S6"
"397","SELENOO"
"398","KLHL2"
"399","BRF1"
"400","CRLF3"
"401","TET2"
"402","MAP3K13"
"403","NCKAP1L"
"404","LYN"
"405","ANKRD44"
"406","ARHGAP4"
"407","AMFR"
"408","GPAT4"
"409","RAC1"
"410","APAF1"
"411","SPI1"
"412","CAMK2D"
"413","PTEN"
"414","PPP1R16B"
"415","BCR"
"416","LPGAT1"
"417","EIF2AK4"
"418","GNA12"
"419","IL13RA1"
"420","CFLAR-AS1"
"421","KLHL5"
"422","NAP1L1"
"423","PICALM"
"424","DCP2"
"425","ATP11C"
"426","MEF2A"
"427","GALNT7"
"428","GRAMD4"
"429","AKNA"
"430","EPSTI1"
"431","TPK1"
"432","APPL1"
"433","PLXNC1"
"434","CKLF"
"435","TENT4A"
"436","MOB1A"
"437","TCF4"
"438","NAA25"
"439","BMP2K"
"440","CD58"
"441","CEP350"
"442","G3BP2"
"443","CFLAR"
"444","RPS6KC1"
"445","PTP4A2"
"446","AHCYL2"
"447","ERAP2"
"448","TLE3"
"449","TGFBR1"
"450","RAPGEF1"
"451","SUSD6"
"452","NSMAF"
"453","HSPA1B"
"454","PLCL1"
"455","TRAK1"
"456","PTTG1IP"
"457","PIK3R5"
"458","STRBP"
"459","TSIX"
"460","TRPS1"
"461","ERO1B"
"462","CDC42SE2"
"463","SGK3"
"464","ELMO1"
"465","MEF2C"
"466","SPOPL"
"467","TUBB6"
"468","SUMF1"
"469","CTNNBL1"
"470","SNX9"
"471","PPP3R1"
"472","INPP4A"
"473","TES"
"474","TRIM5"
"475","MED13L"
"476","STX12"
"477","TFCP2"
"478","PTPRE"
"479","WDR41"
"480","AGPAT3"
"481","PACS2"
