"","x"
"1","BPIFB1"
"2","MIR205HG"
"3","RIMS1"
"4","SCGB1A1"
"5","SCGB3A1"
"6","LCN2"
"7","WNK2"
"8","CAPN13"
"9","SCGB3A2"
"10","BMPR1B"
"11","KLK11"
"12","SCNN1G"
"13","SLPI"
"14","CP"
"15","CXCL1"
"16","PLEKHS1"
"17","KIAA1324"
"18","MUC5B"
"19","TMEM45A"
"20","CCDC144NL-AS1"
"21","CHST9"
"22","PIGR"
"23","WFDC2"
"24","MUC4"
"25","PTPRZ1"
"26","TMPRSS4"
"27","NTN1"
"28","AGR2"
"29","HES1"
"30","EHF"
"31","SUSD4"
"32","EYA2"
"33","ERN2"
"34","AQP4-AS1"
"35","CDH26"
"36","SLC4A4"
"37","TOX3"
"38","EYA1"
"39","HS6ST2"
"40","MFSD4A"
"41","SCNN1B"
"42","CLIC6"
"43","CFTR"
"44","GRIP1"
"45","GRHL1"
"46","RASSF9"
"47","TTC6"
"48","HS3ST1"
"49","CDH3"
"50","CA8"
"51","MET"
"52","MIR31HG"
"53","CXCL17"
"54","CHL1"
"55","PROM1"
"56","FGFR2"
"57","IRX3"
"58","CYB5A"
"59","HOMER2"
"60","CELSR1"
"61","C12orf74"
"62","TRPV4"
"63","ABCA13"
"64","TACR1"
"65","NEXMIF"
"66","GRAMD2B"
"67","DSP"
"68","ELF3"
"69","CEACAM6"
"70","TRIM2"
"71","KIAA1217"
"72","BICDL2"
"73","CLDN1"
"74","CNTN3"
"75","PRKAA2"
"76","CACHD1"
"77","AQP3"
"78","DTX4"
"79","RDH10"
"80","VSTM2L"
"81","KRT19"
"82","CYP4X1"
"83","GRHL2"
"84","SPINT1"
"85","MGST1"
"86","FHOD3"
"87","CCNJL"
"88","GALNTL6"
"89","TMC5"
"90","DHCR24"
"91","NHS"
"92","CAPN8"
"93","ATP1B1"
"94","CRNDE"
"95","ARFGEF3"
"96","ITGB4"
"97","FYB2"
"98","SRGAP3"
"99","PTPN3"
"100","HOOK1"
"101","B4GALNT3"
"102","MUC16"
"103","ARHGEF38"
"104","SCNN1A"
"105","MACROD2"
"106","ERBB2"
"107","NRXN3"
"108","F3"
"109","KLF5"
"110","SFTPB"
"111","ERBB3"
"112","NEDD4L"
"113","ESRP1"
"114","SGPP2"
"115","CCND1"
"116","ABO"
"117","FAM160A1"
"118","CA3"
"119","KIAA1522"
"120","DNAH5"
"121","NBEA"
"122","ZNF608"
"123","URB1"
"124","SAMD12-AS1"
"125","GPRC5A"
"126","EFNA5"
"127","MAP7"
"128","JUP"
"129","FRK"
"130","FGF13"
"131","ARHGAP8"
"132","SLC4A5"
"133","TMC4"
"134","ATP2C2"
"135","LMO3"
"136","SYBU"
"137","MUC1"
"138","SDC1"
"139","KCTD1"
"140","DHRS3"
"141","GLIS3"
"142","MYH14"
"143","MECOM"
"144","SEMA4B"
"145","ADGRV1"
"146","CATSPERB"
"147","KCNQ3"
"148","SNCAIP"
"149","NOS1AP"
"150","ERBB4"
"151","LIPH"
"152","SDK1"
"153","ERRFI1"
"154","LURAP1L-AS1"
"155","SLC34A2"
"156","TNFRSF19"
"157","STEAP4"
"158","FAT1"
"159","FNBP1L"
"160","ARHGAP42"
"161","PCLO"
"162","RAI14"
"163","SLC22A3"
"164","GPR39"
"165","SORCS2"
"166","PLEKHA7"
"167","TCEA3"
"168","MAP3K9"
"169","FAM149A"
"170","DANT2"
"171","CNTN4"
"172","PTCHD4"
"173","BACE2"
"174","MAL2"
"175","EGFR"
"176","SPINT2"
"177","LGR4"
"178","BAIAP2L1"
"179","TOM1L1"
"180","PTPRD"
"181","FDFT1"
"182","EFNA1"
"183","PPL"
"184","DTX2"
"185","CASZ1"
"186","LRP5"
"187","GOLM1"
"188","MACC1"
"189","SOX4"
"190","CXADR"
"191","INSR"
"192","SH3BP4"
"193","MYO5C"
"194","AGR3"
"195","SDC4"
"196","BHLHE40"
"197","PLXNB1"
"198","ABHD17C"
"199","PPP1R14C"
"200","PER2"
"201","PPP1R13L"
"202","SHANK2"
"203","ECE1"
"204","KRT8"
"205","TRPC6"
"206","WWC1"
"207","SOBP"
"208","EVA1C"
"209","DUOXA1"
"210","MAST4"
"211","CORO2A"
"212","ADAM28"
"213","CDON"
"214","CLDN7"
"215","AHR"
"216","RARB"
"217","RASEF"
"218","PRDM16"
"219","EPS8L2"
"220","SHB"
"221","PTPRF"
"222","OCLN"
"223","CMTM4"
"224","HMGCS1"
"225","LRIG1"
"226","TNFSF10"
"227","SAMD12"
"228","SFTPA2"
"229","ZNRF3"
"230","KITLG"
"231","CYP4B1"
"232","ALCAM"
"233","SLC15A2"
"234","RNF145"
"235","FMO2"
"236","SCD5"
"237","PPP1R9A"
"238","KRT7"
"239","PATJ"
"240","LRIG3"
"241","SLC25A29"
"242","FAAH2"
"243","EXPH5"
"244","CDH1"
"245","MID1"
"246","FOXP2"
"247","SLC22A23"
"248","EPS8"
"249","ARHGEF28"
"250","SNHG25"
"251","CERS4"
"252","PAWR"
"253","SOCS7"
"254","TFCP2L1"
"255","MTUS1"
"256","EZR"
"257","MAGI3"
"258","PPM1H"
"259","MYO5B"
"260","MIPOL1"
"261","SFTA3"
"262","HOOK2"
"263","KCNK1"
"264","CD9"
"265","ATP13A4"
"266","GNA14-AS1"
"267","MSMO1"
"268","TCF7L1"
"269","CMTM8"
"270","COL4A5"
"271","PTPN13"
"272","ITGA3"
"273","ZBTB7C"
"274","DLG5"
"275","KSR1"
"276","ADGRA3"
"277","FRMD5"
"278","PLEKHA5"
"279","PTK2"
"280","RAI1"
"281","CD99L2"
"282","HNMT"
"283","FLNB"
"284","HRH1"
"285","BAIAP2"
"286","MRPS25"
"287","GNA14"
"288","RAB40C"
"289","EPB41L4A"
"290","WWTR1"
"291","MTRNR2L8"
"292","ALDH1A1"
"293","TMEM63B"
"294","RBBP8"
"295","MAP3K13"
"296","ZNF552"
"297","CCSER1"
"298","ABCC5"
"299","MCF2L"
"300","FARP1"
"301","XPR1"
"302","NKX2-1"
"303","PARM1"
"304","ST5"
"305","MTHFD2L"
"306","GAREM1"
"307","CDC14B"
"308","ANXA2"
"309","DTWD2"
"310","ICA1"
"311","KCNJ15"
"312","KIAA1671"
"313","CCDC146"
"314","TNFRSF21"
"315","AGAP1"
"316","NFIA"
"317","ITGA9-AS1"
"318","PRSS23"
"319","RAD51B"
"320","ASAP3"
"321","ACSS2"
"322","ST14"
"323","ZDHHC13"
"324","SORBS2"
"325","USP54"
"326","RPL31"
"327","DUOX1"
"328","ITGA9"
"329","MRTFB"
"330","TEX9"
"331","LNX2"
"332","XBP1"
"333","PTPRK"
"334","RBPMS"
"335","NPAS2"
"336","LURAP1L"
"337","TMPRSS2"
"338","CPD"
"339","PTPN14"
"340","FBXL18"
"341","STOX2"
"342","GOLPH3L"
"343","LRP11"
"344","ALDH3A2"
"345","GCNT2"
