"","x"
"1","COMP"
"2","HPSE2"
"3","HECW1"
"4","FGF14"
"5","ITGBL1"
"6","TMEM132C"
"7","WNT5A"
"8","BRINP3"
"9","NALCN"
"10","ITGA11"
"11","LTBP2"
"12","IGFBP5"
"13","HS3ST3A1"
"14","ISM1"
"15","COL24A1"
"16","GALNT17"
"17","LUZP2"
"18","MRVI1"
"19","LTBP1"
"20","PRDM6"
"21","PPFIA2"
"22","PTCH1"
"23","SULF1"
"24","BMP5"
"25","SUGCT"
"26","NOX4"
"27","CARMN"
"28","NOVA1"
"29","CASC15"
"30","LAMA2"
"31","DKK3"
"32","C1QTNF7"
"33","TBX5"
"34","ENC1"
"35","ELN"
"36","LMOD1"
"37","TBX2"
"38","BOC"
"39","TENM4"
"40","CFH"
"41","MYH11"
"42","ROBO2"
"43","ZEB1-AS1"
"44","RERG"
"45","IRS1"
"46","FAT4"
"47","MEG8"
"48","SGCD"
"49","CHN1"
"50","SYNPO2"
"51","NR2F1-AS1"
"52","SPON1"
"53","TNFRSF19"
"54","NEGR1"
"55","NKD1"
"56","AEBP1"
"57","EPHA3"
"58","MAMDC2"
"59","NR2F1"
"60","DAAM2"
"61","SCN7A"
"62","LAMB1"
"63","FBN1"
"64","ANTXR1"
"65","EDNRA"
"66","TWIST2"
"67","PDZRN3"
"68","HOXB3"
"69","ANGPT1"
"70","CALD1"
"71","BGN"
"72","DENND2A"
"73","KIAA1211"
"74","MEG3"
"75","MAMDC2-AS1"
"76","PRELP"
"77","TAGLN"
"78","PAPPA"
"79","HMCN1"
"80","ACTA2"
"81","ZFPM2"
"82","ROBO1"
"83","ITIH5"
"84","PDLIM7"
"85","KCNS3"
"86","NBL1"
"87","MARK1"
"88","PHLDB1"
"89","NRCAM"
"90","CCN2"
"91","LRCH2"
"92","ASPN"
"93","PODN"
"94","ENOX1"
"95","FHL2"
"96","PRR16"
"97","ITGA8"
"98","RUNX1T1"
"99","DOK6"
"100","LRFN5"
"101","IL16"
"102","ABCA9-AS1"
"103","CACNA1C"
"104","MYLK"
"105","GLI2"
"106","NAV3"
"107","PBX1"
"108","ABCA6"
"109","TLN2"
"110","LAMA4"
"111","GASK1A"
"112","CDH11"
"113","ZNF521"
"114","COL8A1"
"115","PCDH7"
"116","MEIS1"
"117","EYA4"
"118","KAZN"
"119","ABCA8"
"120","PLEKHH2"
"121","MGP"
"122","FBXL7"
"123","FBLN1"
"124","TPM2"
"125","COL15A1"
"126","NPAS3"
"127","MAGI2-AS3"
"128","LEPR"
"129","SH3RF3"
"130","RBMS3"
"131","SGIP1"
"132","SOBP"
"133","TNXB"
"134","ZFPM2-AS1"
"135","GLI3"
"136","TEX41"
"137","NHS"
"138","MAP1B"
"139","KCNT2"
"140","C2orf27A"
"141","INHBA"
"142","PLXNA4"
"143","ITGA1"
"144","LPAR1"
"145","DNM1"
"146","CLMP"
"147","PDGFRA"
"148","BICC1"
"149","CACNA2D1"
"150","NHSL2"
"151","SOX5"
"152","CRISPLD2"
"153","CAB39L"
"154","PMEPA1"
"155","RARB"
"156","GEM"
"157","BNC2"
"158","ADAMTSL3"
"159","COL6A3"
"160","COL16A1"
