"","x"
"1","ZNF367"
"2","NEIL3"
"3","MKI67"
"4","ASPM"
"5","MELK"
"6","TOP2A"
"7","RRM2"
"8","GTSE1"
"9","KIF18B"
"10","KNL1"
"11","KIF14"
"12","CENPF"
"13","DLGAP5"
"14","KIF15"
"15","CDCA2"
"16","HJURP"
"17","KIF4A"
"18","ANLN"
"19","E2F2"
"20","DTL"
"21","TPX2"
"22","KIFC1"
"23","TTK"
"24","CENPE"
"25","BUB1B"
"26","CLSPN"
"27","CDCA8"
"28","NCAPG"
"29","CDC25C"
"30","POLQ"
"31","DEPDC1B"
"32","PCLAF"
"33","NCAPH"
"34","NDC80"
"35","HMMR"
"36","PRR11"
"37","KIF23"
"38","BUB1"
"39","STIL"
"40","KIF11"
"41","STMN1"
"42","CCNF"
"43","PRC1"
"44","BRIP1"
"45","CDK1"
"46","CENPI"
"47","ARHGAP11A"
"48","KIF2C"
"49","FOXM1"
"50","GZMB"
"51","SGO2"
"52","CIP2A"
"53","FANCI"
"54","NUSAP1"
"55","ARHGAP11B"
"56","PIF1"
"57","KIF18A"
"58","NCAPG2"
"59","CIT"
"60","WDR62"
"61","CHEK1"
"62","GZMA"
"63","INCENP"
"64","CENPU"
"65","WDR76"
"66","EZH2"
"67","CENPK"
"68","GNLY"
"69","GINS1"
"70","SMC2"
"71","TACC3"
"72","SHCBP1"
"73","KIF20B"
"74","POLE2"
"75","HELLS"
"76","TRAC"
"77","PARPBP"
"78","FANCD2"
"79","NUF2"
"80","BLM"
"81","CD3G"
"82","DPF3"
"83","DNA2"
"84","C12orf75"
"85","C21orf58"
"86","HMGB2"
"87","KIF22"
"88","CCDC150"
"89","DIAPH3"
"90","KCNQ5"
"91","WDHD1"
"92","NKG7"
"93","LMNB1"
"94","APOLD1"
"95","IL2RB"
"96","CCL5"
"97","MCM3"
"98","FANCA"
"99","IL2RG"
"100","CORO1A"
"101","ATAD2"
"102","ZGRF1"
"103","CHAF1A"
"104","NCAPD3"
"105","RABL6"
"106","RACGAP1"
"107","SPN"
"108","SLC27A2"
"109","ST8SIA1"
"110","RNF157"
"111","LRP8"
"112","CDC7"
"113","KNTC1"
"114","PTPN7"
"115","Z94721.1"
"116","PRF1"
"117","ECT2"
"118","SLFN12L"
"119","TUBB"
"120","MCM8"
"121","CD3E"
"122","ATAD5"
"123","RUNX3"
"124","CENPP"
"125","IL12RB2"
"126","LIG1"
"127","BRCA2"
"128","TMPO"
"129","THEMIS"
"130","GRAMD1B"
"131","SMC4"
"132","KIF21B"
"133","POLE"
"134","CEP152"
"135","LMNB2"
"136","CKAP2"
"137","RRM1"
"138","RFWD3"
"139","ICOS"
"140","BRCA1"
"141","SASS6"
"142","C1orf112"
"143","CD2"
"144","BICDL1"
"145","GIMAP7"
"146","MCM6"
"147","CALM3"
"148","BCL11B"
"149","GPR174"
"150","ANP32E"
"151","LCK"
"152","TBC1D10C"
"153","NSD2"
"154","RFC3"
"155","MMS22L"
"156","IL32"
"157","UHRF1"
"158","BARD1"
"159","ITGA4"
"160","SAMD3"
"161","BTBD11"
"162","DDX11"
"163","OGN"
"164","TRG-AS1"
"165","HIST1H1E"
"166","SPC25"
"167","ZAP70"
"168","RAC2"
"169","RBL1"
"170","MIAT"
"171","HS3ST3B1"
"172","COX10-AS1"
"173","SKA2"
"174","USP1"
"175","TTF2"
"176","NUP210"
"177","ARL6IP1"
"178","MAP4K1"
"179","NLRC3"
"180","ARHGAP19"
"181","TOPBP1"
"182","CD6"
"183","GRAP2"
"184","CD247"
"185","IKZF3"
"186","PTPN22"
"187","NDC1"
"188","SEMA4D"
"189","NCAPD2"
"190","VRK1"
"191","SLAMF1"
"192","SKAP1"
"193","PSTPIP1"
"194","LBR"
"195","TUBA1B"
"196","CAMK4"
"197","PIK3CD"
"198","HCFC1"
"199","MPHOSPH9"
"200","MAZ"
"201","G2E3-AS1"
"202","DBF4"
"203","KLRK1"
"204","TBC1D31"
"205","RASAL3"
"206","RAD18"
"207","DEF6"
"208","DNMT1"
"209","ODF2"
"210","PRKCQ"
"211","CD226"
"212","ARF6"
"213","CKAP5"
"214","ATP2A3"
"215","ACAP1"
"216","TRAF3IP3"
"217","EMB"
"218","GNG2"
"219","JAK3"
"220","TSPAN5"
"221","CCDC88B"
"222","SPOCK2"
"223","UHRF2"
"224","SET"
"225","TFDP1"
"226","SUN2"
"227","FANCM"
"228","ARL4C"
"229","RASGRP1"
"230","PRIM2"
"231","MASTL"
"232","SLF1"
"233","LSP1"
"234","NETO2"
"235","ADAM19"
"236","SP140"
"237","POLA1"
"238","OPRM1"
"239","NCALD"
"240","LIN54"
"241","GEN1"
"242","ZNF831"
"243","RBM15"
"244","CD96"
"245","POLH"
"246","MYO1G"
"247","COTL1"
"248","CCDC18"
"249","ETS1"
"250","CARD11"
"251","MSH2"
"252","CENPJ"
"253","DPP4"
"254","OXCT1"
"255","PYHIN1"
"256","ITGAL"
"257","ITK"
"258","CBX5"
"259","GRK2"
"260","MCOLN2"
"261","DDX39A"
"262","BUB3"
"263","CEP78"
"264","SMC1A"
"265","SP4"
"266","PBX4"
"267","SASH3"
"268","CHEK2"
"269","PCNT"
"270","DGKZ"
"271","RECQL"
"272","PTMA"
"273","TSPOAP1-AS1"
"274","SFI1"
"275","TRAF1"
"276","PPP2R2B"
"277","CRACR2A"
"278","FAM102A"
"279","CDC25B"
"280","G2E3"
"281","P2RY8"
"282","KATNAL1"
"283","NFATC2"
"284","POLA2"
"285","CYTOR"
"286","TATDN2"
"287","ARHGAP15"
"288","ANP32B"
"289","SMC3"
"290","ECM2"
"291","CEP97"
"292","SEPTIN6"
"293","CSK"
"294","PSD4"
"295","PRKCH"
"296","GPRIN3"
"297","H2AFV"
"298","LAMTOR5-AS1"
"299","PPP1R18"
"300","FUT8"
"301","CLEC2D"
"302","EED"
"303","HMGN2"
"304","GBP4"
"305","CEP128"
"306","SLAMF6"
"307","IL21R"
"308","KMT5A"
"309","TDP1"
"310","NUDT21"
"311","CSE1L"
"312","TMEM156"
"313","ZFPM1"
"314","SAE1"
"315","ADCY3"
"316","ARHGAP30"
"317","TOX2"
"318","DEK"
"319","TRERF1"
"320","HAUS6"
"321","CYFIP2"
"322","ARID3B"
"323","CNTRL"
"324","GBP5"
"325","MTHFD1"
"326","IDH2"
"327","PPP6R1"
"328","ARHGAP45"
"329","SUPT16H"
"330","CKLF"
"331","IKZF1"
"332","CEP295"
"333","SCML4"
"334","FAM111A"
"335","PSMB9"
"336","E2F3"
"337","TMC8"
"338","GLMN"
"339","CDK5RAP2"
"340","SFXN1"
"341","TAP1"
"342","SSBP4"
"343","CEP192"
"344","CCDC88C"
"345","PTPRJ"
"346","SYNJ2"
"347","PRKDC"
"348","SLC7A1"
