"","x"
"1","SEMA3E"
"2","IGHA2"
"3","C6orf118"
"4","TSPAN19"
"5","ERICH3-AS1"
"6","CSRP3"
"7","LDLRAD1"
"8","USP2-AS1"
"9","TMEM212-AS1"
"10","C20orf85"
"11","C1orf158"
"12","CAPSL"
"13","MORN5"
"14","C11orf88"
"15","LRRC46"
"16","LRRC71"
"17","DYDC1"
"18","TTLL10-AS1"
"19","DYDC2"
"20","DNAAF3"
"21","ALOX15"
"22","BTG4"
"23","RGS21"
"24","TEKT2"
"25","GNAT3"
"26","ARHGEF4"
"27","REG4"
"28","MUC17"
"29","TFF1"
"30","PADI1"
"31","CDHR2"
"32","OLFM4"
"33","ONECUT2"
"34","SSTR5-AS1"
"35","TRIM31"
"36","MYO1A"
"37","TPSB2"
"38","SIGLEC6"
"39","SLC4A1"
"40","EPB42"
"41","HEMGN"
"42","CR1L"
"43","HBM"
"44","HBD"
"45","AHSP"
"46","BEST3"
"47","GYPA"
"48","TRIM10"
"49","RBFOX1"
"50","BNC1"
"51","RNFT2"
"52","SERPINA9"
"53","CDH18"
"54","RALYL"
"55","SPTA1"
"56","DNAH9"
"57","CFAP47"
"58","ZBBX"
"59","LMNTD1"
"60","ARMC3"
"61","ERICH3"
"62","DNAAF1"
"63","CPA3"
"64","DNAI1"
"65","VWA3B"
"66","WDR66"
"67","TTC29"
"68","HBA1"
"69","ALAS2"
"70","RELN"
"71","DNAI2"
"72","JCHAIN"
"73","IGHG1"
"74","TEKT1"
"75","ANK1"
"76","CFAP73"
"77","FRMPD2"
"78","MS4A2"
"79","MYBPC1"
"80","CDHR4"
"81","TTC34"
"82","MUC3A"
"83","CCDC190"
"84","MZB1"
"85","IGHG3"
"86","TMEM212"
"87","NRAD1"
"88","SNTN"
"89","AK7"
"90","SLC22A16"
"91","DRC1"
"92","FABP6"
"93","CCDC187"
"94","C1orf87"
"95","ROPN1L"
"96","CCL21"
"97","C9orf135"
"98","EFCAB1"
"99","HBA2"
"100","HDC"
"101","ARMC4"
"102","HBB"
"103","DYNLRB2"
"104","SPAG6"
"105","CFAP65"
"106","SLC8A3"
"107","KIT"
"108","SGCZ"
"109","ONECUT3"
"110","TMEM190"
"111","MGAT4C"
"112","IGHGP"
"113","IGLC3"
"114","C11orf16"
"115","CFAP61"
"116","RHAG"
"117","RSPH1"
"118","NRXN1"
"119","CTNNA2"
"120","TTLL10"
"121","KIAA2012"
"122","PTPRT"
"123","KIAA2012-AS1"
"124","B3GALT5"
