"","x"
"1","IGHG1"
"2","IGHGP"
"3","IGLC3"
"4","JCHAIN"
"5","IGHG3"
"6","IGHG4"
"7","IGKC"
"8","IGLC2"
"9","IGHA1"
"10","MZB1"
"11","IGHA2"
"12","IGHM"
"13","IGLC1"
"14","TXNDC5"
"15","FCRL5"
"16","DERL3"
"17","FAM30A"
"18","PIM2"
"19","POU2AF1"
"20","GLDC"
"21","ZNF215"
"22","TENT5C"
"23","HIST1H2BJ"
"24","MEI1"
"25","ITM2C"
"26","XBP1"
"27","TMC3-AS1"
"28","IFNG-AS1"
"29","NUGGC"
"30","IRF4"
"31","PDK1"
"32","CCR2"
"33","DCC"
"34","TNFRSF13B"
"35","WNT5B"
"36","MYBL2"
"37","TP53INP1"
"38","LAX1"
"39","CEP128"
"40","SLAMF7"
"41","SSR4"
"42","RAB30"
"43","BTG2"
"44","RHEX"
"45","BMP6"
"46","SEC11C"
"47","KCNN3"
"48","H1FX"
"49","GNG7"
"50","CPNE5"
"51","DENND5B"
"52","MANEA"
"53","C16orf74"
"54","CHODL"
"55","ZBP1"
"56","HSP90B1"
"57","EAF2"
"58","TSHR"
"59","SHCBP1"
"60","CREB3L2"
"61","BUB1"
"62","P2RX1"
"63","PRDM1"
"64","BLNK"
"65","NXPE3"
"66","HSH2D"
"67","POLQ"
"68","SDF2L1"
"69","TPD52"
"70","SSPN"
"71","SLC17A9"
"72","EML6"
"73","MANF"
"74","SLC7A5"
"75","ALDH1L2"
"76","TOR3A"
"77","SEL1L3"
"78","RRM2"
"79","HIST1H1D"
"80","UBE2J1"
"81","TRAM2"
"82","RASSF6"
"83","EIF2AK3"
"84","CD38"
"85","GLCCI1"
"86","SYVN1"
"87","HERPUD1"
"88","RALGPS2"
"89","SEL1L"
"90","SPATS2"
"91","TAF4B"
"92","ITGA6"
"93","NDUFAF6"
"94","SPCS2"
"95","COL24A1"
"96","TXNDC11"
"97","ST6GAL1"
"98","FBXW7"
"99","CLPTM1L"
"100","PARPBP"
"101","PIK3CG"
"102","SDC1"
"103","FKBP11"
"104","SEC24A"
"105","SLC15A2"
"106","CHST15"
"107","FBXL14"
"108","TBCEL"
"109","HYOU1"
"110","SLC1A4"
"111","ISG20"
"112","ASPM"
"113","ESR1"
"114","C11orf80"
"115","PDIA4"
"116","CASP3"
"117","EDEM1"
"118","NCF1"
"119","HELLPAR"
"120","SELENOS"
"121","PLPP5"
"122","BCL2L11"
"123","VOPP1"
"124","TCF3"
"125","FUT8"
"126","SSR3"
"127","KNTC1"
"128","CPEB4"
"129","HMCES"
"130","MYDGF"
"131","PRDM15"
"132","MCEE"
"133","ALDH18A1"
"134","CBFA2T3"
"135","SEC61B"
"136","MSI2"
"137","SSR2"
"138","ATP2A3"
"139","DIAPH3"
"140","GEN1"
"141","SPCS3"
"142","CASP10"
"143","FANCA"
"144","CEP97"
"145","ERN1"
"146","SEC61A1"
"147","TMEM156"
"148","LMAN1"
"149","C12orf45"
"150","SLC25A42"
"151","FBH1"
"152","PGM3"
"153","BRCA2"
"154","ORAI2"
"155","DIPK1A"
"156","PDIA5"
"157","POU2F2"
"158","ZFAT"
"159","KNL1"
"160","GAS6"
"161","CENPJ"
"162","RASGRP3"
"163","MKI67"
"164","MEF2C"
"165","RRBP1"
"166","RHBDD1"
"167","ERLEC1"
"168","LRRK1"
"169","SUB1"
"170","LARP1B"
"171","PPIB"
"172","GAB1"
"173","CYTOR"
"174","TXNDC15"
"175","SAR1B"
"176","NCOA3"
"177","CCND2"
"178","SSR1"
"179","KCNQ5"
"180","SP140"
"181","ARID3B"
"182","LRMP"
"183","MAN1A1"
"184","FNDC3A"
"185","EIF2AK4"
"186","OSTC"
"187","LIN52"
"188","HM13"
"189","DERL1"
"190","ACSS1"
"191","USP48"
"192","STT3A"
"193","MARS"
"194","TMED9"
"195","PPCDC"
"196","TMED3"
"197","ANKRD28"
"198","FAM214A"
"199","HIST1H2AC"
"200","DAPP1"
"201","CDK14"
"202","COPE"
"203","AARS"
"204","GMDS"
"205","P4HB"
"206","CENPE"
"207","HIPK2"
"208","SYNE3"
"209","SND1"
"210","MIAT"
"211","TMEM39A"
"212","BX284613.2"
"213","RPN2"
"214","CDRT4"
"215","FNDC3B"
"216","FAM3C"
"217","UBE2G1"
"218","LSP1"
"219","ATP8B2"
"220","SLC7A1"
"221","SEC14L1"
"222","PLCG2"
"223","IQCB1"
"224","SMARCB1"
"225","NUP210"
"226","HDLBP"
"227","CCDC32"
"228","MAN1A2"
"229","ARID3A"
"230","SEC24D"
"231","CABLES1"
"232","KLHL6"
"233","EPRS"
"234","CCDC69"
"235","MYO1D"
"236","ADAM19"
"237","ADAM28"
"238","ATF4"
"239","CCDC88C"
"240","PMM2"
"241","VRK1"
"242","ANXA6"
"243","BICD1"
"244","KIF20B"
"245","MIR4435-2HG"
"246","DAP"
"247","TPST2"
"248","PAPSS1"
"249","UBA5"
"250","GTF2A1"
"251","FAM171A1"
"252","RPS4X"
"253","HDAC9"
"254","KCNK6"
"255","NCAPG2"
"256","LMAN2"
"257","EEF2"
"258","NGLY1"
"259","RUVBL1"
"260","IQSEC1"
"261","P2RY8"
"262","SRP72"
"263","PARP1"
"264","ALG5"
"265","SLC33A1"
"266","BTD"
"267","BIRC3"
"268","PELI1"
"269","CDKN1B"
"270","MBTPS1"
"271","UFM1"
"272","PDIA6"
"273","SLC44A1"
"274","RTTN"
"275","DENND1B"
"276","FANCI"
"277","CDV3"
"278","HSPA5"
"279","PLEKHA8"
"280","CDK6"
"281","FCHSD2"
"282","ARMCX3"
"283","MEF2C-AS1"
"284","ZNF107"
"285","SRP54"
"286","TMEM184B"
"287","MLEC"
"288","GNL3"
"289","PRCP"
"290","CEP152"
"291","RPL7A"
"292","TRAF3"
"293","RPL3"
"294","RAD17"
"295","RPN1"
"296","GOLGA3"
"297","EFHC1"
"298","ACOXL"
"299","TVP23C"
"300","SEC23B"
"301","DUSP22"
"302","GOSR2"
"303","STRBP"
"304","TESK2"
"305","SCFD1"
"306","CYBC1"
"307","LPIN1"
"308","PRRC1"
"309","DNAJC1"
"310","PRPSAP2"
"311","TRABD"
"312","COPG1"
"313","SMC4"
"314","COPB2"
"315","RFC3"
"316","RUBCN"
"317","MPP6"
"318","C22orf34"
"319","AVEN"
"320","TRAM1"
"321","ERGIC2"
"322","FAR2"
"323","AKAP17A"
"324","SERP1"
"325","SEC63"
"326","KDM5D"
"327","GORASP2"
"328","DNAJC3"
"329","GALNT2"
"330","TLE1"
"331","TMEM140"
"332","GBF1"
"333","GANAB"
"334","ATG5"
"335","PPFIBP2"
"336","CD99L2"
"337","LCORL"
"338","IDE"
"339","CLIC4"
"340","SRSF2"
"341","XRN1"
"342","NCAPD2"
"343","ANKRD36B"
"344","UBE2O"
"345","SLC38A10"
"346","MEF2D"
"347","PABPC4"
"348","ENTPD4"
"349","ZNF706"
"350","INSIG2"
"351","PRKD3"
"352","APOLD1"
"353","SLC10A7"
"354","CCNC"
"355","IKZF3"
"356","CARHSP1"
"357","SELENOT"
"358","GARS"
"359","RPS8"
"360","RHOH"
"361","TBC1D9"
"362","XKR6"
"363","ARF4"
"364","CYTIP"
"365","RALY"
"366","CKAP4"
"367","OS9"
"368","NFXL1"
"369","OGT"
"370","OSBPL3"
"371","OTUD5"
"372","KLHDC4"
