"","x"
"1","CD5L"
"2","MOGAT1"
"3","FFAR4"
"4","IQSEC3"
"5","FABP4"
"6","C17orf64"
"7","SEPTIN9-DT"
"8","OVCH1"
"9","INHBA-AS1"
"10","STAC"
"11","INHBA"
"12","OVCH1-AS1"
"13","MCEMP1"
"14","CXCL5"
"15","ANO5"
"16","PPARG"
"17","LPL"
"18","KCNA2"
"19","MME"
"20","TREM1"
"21","GLDN"
"22","SPOCD1"
"23","PCOLCE2"
"24","SLC19A3"
"25","ADTRP"
"26","MMP2-AS1"
"27","ACSM3"
"28","OLR1"
"29","ABCG1"
"30","MGAT3"
"31","MARCO"
"32","FBP1"
"33","SLC47A1"
"34","FAM89A"
"35","TRHDE"
"36","LYZ"
"37","AMIGO2"
"38","CXCL3"
"39","SMIM25"
"40","CRIP1"
"41","GLIPR2"
"42","TIAM1"
"43","LSAMP"
"44","ALOX5"
"45","ARRDC4"
"46","SLC11A1"
"47","PRAM1"
"48","OSCAR"
"49","ALOX5AP"
"50","ATP6AP1L"
"51","MSR1"
"52","LTA4H"
"53","PKP2"
"54","TCF7L2"
"55","BHLHE41"
"56","PTPRO"
"57","MMP19"
"58","ABHD5"
"59","PNPLA6"
"60","ADAMTSL4"
"61","EMC10"
"62","FCRL1"
"63","OPN3"
"64","CD300LF"
"65","ZBED3-AS1"
"66","HCK"
"67","APOC1"
"68","RASGEF1B"
"69","ALDH1A2"
"70","VSIG4"
"71","RMDN3"
"72","CLEC12A"
"73","B3GNT5"
"74","ALPK3"
"75","MRC1"
"76","PAQR5"
"77","MOB3B"
"78","PLA2G15"
"79","TNFSF13"
"80","FLVCR2"
"81","C1QB"
"82","HLA-DRA"
"83","IL1RAP"
"84","CYP27A1"
"85","KMO"
"86","MS4A7"
"87","GAS2L3"
"88","MKRN2OS"
"89","RAB37"
"90","LST1"
"91","PLBD1"
"92","ALDH2"
"93","TSEN2"
"94","HK3"
"95","RTN1"
"96","SLC31A2"
"97","GPCPD1"
"98","SNX10"
"99","WDR49"
"100","OSBPL11"
"101","GPATCH11"
"102","ATP10A"
"103","MT-ND2"
"104","ITGB8"
"105","MS4A14"
"106","MCF2L2"
"107","C1QA"
"108","FRMD4A"
"109","SIRPB2"
"110","CES1"
"111","MACC1"
"112","AQP9"
"113","SLC8A1-AS1"
"114","GRN"
"115","CD74"
"116","KLHL29"
"117","HLA-DRB1"
"118","FTCDNL1"
"119","HEATR5B"
"120","ANPEP"
"121","FGD5"
"122","NCEH1"
"123","SPI1"
"124","ACER3"
"125","SVIL"
"126","CYBB"
"127","CD83"
"128","SLC31A1"
"129","FHAD1"
"130","LPCAT2"
"131","S100A4"
"132","RHBDD2"
"133","CCDC88A"
"134","NLRC4"
"135","CXCL16"
"136","TRPV2"
"137","VASP"
"138","MFSD14C"
"139","UBXN11"
"140","SERPINA1"
"141","AVPI1"
"142","SPN"
"143","NCF2"
"144","TPRG1"
"145","TMEM170B"
"146","ARL4A"
"147","GP6"
"148","MT-CO1"
"149","CLEC7A"
"150","SLC2A9"
"151","CORO2A"
"152","ATL1"
"153","ARHGEF10L"
"154","KCNE1"
"155","SCD"
"156","LGALS9"
"157","HLA-DPA1"
"158","CDCP1"
"159","LY86"
"160","RAB7B"
"161","ZNF589"
"162","CD68"
"163","FIG4"
"164","MT-CO3"
"165","MT-CYB"
"166","CHRM3"
"167","TFRC"
"168","RARA"
"169","DDX60L"
"170","VPS37C"
"171","SNTB1"
"172","ADGRE5"
"173","ACP5"
