"","x"
"1","RELN"
"2","GNAT3"
"3","MGAT4C"
"4","CCL21"
"5","PROX1"
"6","STAB2"
"7","MMRN1"
"8","SCN3B"
"9","HOXD3"
"10","PROX1-AS1"
"11","PKHD1L1"
"12","TSPEAR"
"13","SEMA3A"
"14","FLT4"
"15","SV2B"
"16","DLGAP2"
"17","SMOC1"
"18","TBX1"
"19","KLHL4"
"20","ADGRG3"
"21","GRIN2B"
"22","PARD6G"
"23","DIPK2B"
"24","C6orf141"
"25","SEMA3D"
"26","STK32B"
"27","PGM5"
"28","DTX1"
"29","DOC2B"
"30","AFAP1L1"
"31","SMAD1"
"32","KBTBD11"
"33","SCN3A"
"34","RHOJ"
"35","TLL1"
"36","CNTNAP3B"
"37","MMP16"
"38","PDE2A"
"39","PCSK6"
"40","ECSCR"
"41","GPRC5B"
"42","SNTG2"
"43","TIE1"
"44","TSPAN18"
"45","CALCRL"
"46","KDR"
"47","SEMA6A"
"48","MYCT1"
"49","ART4"
"50","ADCY4"
"51","DYNC1I1"
"52","KALRN"
"53","LAYN"
"54","PEAR1"
"55","ANGPT2"
"56","EPHB1"
"57","TSPAN11"
"58","PPFIBP1"
"59","FLRT2"
"60","CNKSR3"
"61","KLHL3"
"62","CD36"
"63","KANK3"
"64","PCAT19"
"65","CAVIN2"
"66","NOVA2"
"67","CLDN5"
"68","STOX2"
"69","PDE7B"
"70","SYNM"
"71","DMTN"
"72","HYAL2"
"73","STON2"
"74","REEP1"
"75","NR5A2"
"76","ST6GALNAC3"
"77","NR2F2"
"78","ZNF521"
"79","CD200"
"80","PARD6G-AS1"
"81","OAF"
"82","COL23A1"
"83","KCNIP1"
"84","DHODH"
"85","AKAP12"
"86","ITGA9"
"87","RGS17"
"88","SNCAIP"
"89","PALM"
"90","RASGRP3"
"91","LYVE1"
"92","NTN1"
"93","TMEM255B"
"94","THSD1"
"95","EGFL7"
"96","EPHB4"
"97","EFCC1"
"98","EFNA5"
"99","PDE1A"
"100","TXNL4B"
"101","FSCN1"
"102","SHE"
"103","ARHGAP29"
"104","LDB2"
"105","PDPN"
"106","DNAJC18"
"107","ZNF385D"
"108","KIF3C"
"109","ROBO4"
"110","LRRC1"
"111","SMAD9"
"112","GNG12-AS1"
"113","HECW2"
"114","OSBP2"
"115","PALD1"
"116","SCN9A"
"117","SHC1"
"118","SH3BGRL2"
"119","ABLIM2"
"120","FABP4"
"121","FRMD6"
"122","RASIP1"
"123","PRKAA2"
"124","UNC5B"
"125","SHANK3"
"126","ZFPM2"
"127","RNF165"
"128","F8"
"129","FXYD6"
"130","TRMT9B"
"131","ADAM10"
"132","ARL4A"
"133","TFPI"
"134","ADAMTSL3"
"135","UHRF2"
"136","SNCA"
"137","ABHD17B"
"138","LRCH2"
"139","SGIP1"
"140","CDH5"
"141","ADAMTS9"
"142","PRXL2A"
"143","MAP1B"
"144","PODXL"
"145","ACKR3"
"146","ERG"
"147","PLEKHG3"
"148","ZFPM2-AS1"
"149","EDNRB"
"150","IGFBP5"
"151","ITGA9-AS1"
"152","LMO2"
"153","THSD7A"
"154","FGF13"
"155","PRKAR1B"
"156","RPGR"
"157","USP31"
"158","ARAP3"
"159","KIAA1671"
"160","TEK"
"161","ARHGAP23"
"162","MID2"
"163","ZNF423"
"164","BACE2"
"165","PLEKHG1"
"166","GABRE"
"167","APP"
"168","CATSPERB"
"169","RALGAPA2"
"170","FBXL7"
"171","RAB11FIP5"
"172","SASH1"
"173","DOCK6"
"174","GJA1"
"175","ELK3"
"176","NPAS3"
"177","LAMA4"
"178","ZDHHC14"
"179","EMID1"
"180","FAM171A1"
"181","DSP"
"182","FGD5"
"183","ABLIM3"
"184","SEMA6A-AS1"
"185","PLSCR4"
"186","PIEZO2"
"187","WFS1"
"188","NRP2"
"189","SULF2"
"190","TP53I11"
"191","SCN1A-AS1"
"192","DENND2A"
"193","THBD"
"194","TMTC1"
"195","SGSM1"
"196","NR2F1"
"197","NR2F2-AS1"
"198","PTPN14"
"199","VAV3"
"200","IL7"
"201","PTPRB"
"202","DSCAML1"
"203","CEACAM1"
"204","PTPRE"
"205","FZD4"
"206","NRXN3"
"207","SPRY1"
"208","SELENON"
"209","PLD1"
"210","RAI14"
"211","BCAR1"
"212","TMOD1"
"213","DYSF"
"214","KCNN3"
"215","PPM1F"
"216","CHN1"
"217","PTPN3"
"218","PLCB4"
"219","WWTR1"
"220","NRG3"
"221","NR2F1-AS1"
"222","THSD4"
"223","MAGI1"
"224","MPP7"
"225","KLF2"
"226","TLE1"
"227","SLC7A1"
"228","DOCK9"
"229","RNF144A"
"230","NTAN1"
"231","NID1"
"232","GPM6A"
"233","SH2D3C"
"234","PGM2L1"
"235","MAGI1-AS1"
"236","MCF2L"
"237","DOCK5"
"238","GALNT18"
"239","MAP4K2"
"240","SMTN"
"241","MARCH3"
"242","CHST15"
"243","TSHZ2"
"244","HIF3A"
"245","PLA2G4C"
"246","TNFAIP8L1"
"247","ITGA1"
"248","MFAP3"
"249","ADAM19"
"250","ZBTB46"
"251","CHSY3"
"252","EMCN"
"253","IGFBP7"
"254","ST3GAL6"
"255","PLCE1"
"256","TSPAN9"
"257","TEAD4"
"258","CREB5"
"259","NFIB"
"260","TCF4"
"261","RAPGEF5"
"262","TSPAN5"
"263","NECTIN3"
"264","GIMAP8"
"265","SLC39A14"
"266","CSGALNACT1"
"267","PPP1R2"
"268","IQCK"
"269","SCNN1B"
"270","PRRG1"
"271","RAPGEF4"
"272","GNG12"
"273","DNMBP"
"274","PXDN"
"275","RNF152"
"276","MAF"
"277","SMYD2"
"278","NXN"
"279","NHSL1"
"280","PLPP1"
"281","PRR5"
"282","USP13"
"283","PRPSAP1"
"284","LRP5"
"285","MARK1"
"286","LHFPL6"
"287","ALPK3"
"288","EFEMP1"
"289","RPS6KA2"
"290","MSRB3"
"291","JCAD"
"292","PCLO"
"293","FAM102A"
"294","EPB41L2"
"295","SRGAP3"
"296","TMEM44"
"297","RGS3"
"298","FABP5"
"299","TMOD2"
"300","C9orf85"
"301","EPB41L4A"
"302","JAG1"
"303","JUP"
"304","CDKL1"
"305","OSBPL6"
"306","ABO"
"307","PLCB1"
"308","SLC35G2"
"309","YES1"
"310","CCDC149"
"311","APBA1"
"312","C17orf67"
"313","NOTCH1"
"314","HSPG2"
"315","TCF7L1"
"316","IQSEC1"
"317","PRUNE2"
"318","PRSS23"
"319","CAVIN1"
"320","TIMP3"
"321","SLC22A23"
"322","IRAK2"
"323","MGST2"
"324","MICAL3"
"325","MPDZ"
"326","MAP4K5"
"327","NINL"
"328","TNXB"
"329","MEGF6"
"330","EBF1"
"331","SPTBN1"
"332","PIK3C2B"
"333","CRIM1"
"334","CFI"
"335","HDGFL3"
"336","MTUS1"
"337","LIMK2"
"338","CD59"
"339","PTCHD4"
"340","NEDD4"
"341","BTBD3"
"342","ADD3"
"343","RECK"
"344","DAB2IP"
"345","FAM155A"
"346","EFNB2"
"347","PREX2"
"348","SNTB2"
"349","TDRP"
"350","UBTD1"
"351","ANKDD1A"
"352","SH3RF3"
"353","GPR173"
"354","AGPAT5"
"355","FBLIM1"
"356","ABLIM1"
"357","FMNL3"
"358","ACTN1"
"359","NOX4"
"360","CDC25B"
"361","TGFBRAP1"
"362","CGNL1"
"363","PDIA5"
"364","CAMKK2"
"365","ASAP1"
"366","DEPTOR"
"367","FAM126A"
"368","FRMD4B"
"369","TGFBR3"
"370","TANC1"
"371","ATP9A"
"372","KANK2"
"373","MEIS2"
"374","CEP112"
"375","IPO11"
"376","TUBB6"
"377","GRB10"
"378","SLC38A2"
"379","ARHGEF12"
"380","ICA1"
"381","PXN"
"382","FAM241A"
"383","TSPAN15"
"384","UACA"
"385","EVC2"
"386","PTK2"
"387","KIAA0355"
"388","ASAP2"
"389","NFIA"
"390","LAMC1"
"391","SIN3B"
"392","FLNB"
"393","MEF2C"
"394","GLIS3"
"395","FKBP1A"
"396","PTMS"
"397","CNN3"
"398","TBC1D22B"
"399","TGFBR2"
"400","EXOC6"
"401","RASGRF2"
"402","NARF"
"403","SYN3"
"404","AFDN"
"405","CPEB2"
"406","NADK2"
"407","ITPRIP"
"408","MARCKS"
"409","P4HA3"
"410","PIEZO1"
"411","IFT43"
"412","BMERB1"
"413","CTDSPL"
"414","NCKAP1"
"415","SLC9A9"
"416","TBCD"
"417","COLEC12"
"418","TRPC6"
"419","MEF2C-AS1"
"420","CFAP54"
"421","ITGA5"
"422","CDC42BPA"
"423","HTRA1"
"424","FZD6"
"425","ADAMTS9-AS2"
"426","IGF1"
"427","TUSC3"
"428","ZDHHC17"
"429","MIR99AHG"
"430","NRIP1"
"431","ZEB1"
"432","TC2N"
"433","MCPH1"
"434","PELI2"
"435","GALNT1"
"436","SH3GL1"
"437","APOLD1"
"438","SVIL"
"439","ARHGEF28"
"440","PSMG4"
"441","GNA14"
"442","PRELID2"
"443","LMBR1"
"444","SPSB1"
"445","SEPTIN10"
"446","FBN1"
"447","SOX4"
"448","PECAM1"
"449","FAM174B"
"450","HMBOX1"
"451","KIAA1217"
"452","CPNE8"
"453","TJP1"
"454","PPP1R13B"
"455","KIAA1324L"
"456","CD99"
"457","NBPF15"
"458","C2orf27A"
"459","STXBP6"
"460","MTMR2"
"461","RUNX1T1"
"462","FLI1"
"463","ERICH1"
"464","COL18A1"
"465","PHLDB2"
"466","TTF1"
"467","GNA14-AS1"
"468","ADAMTS6"
"469","TGM2"
"470","ARHGAP17"
"471","PRR5L"
"472","CEP68"
"473","TRIOBP"
"474","BCR"
"475","APOL3"
"476","HSPB1"
"477","VGLL4"
"478","ATXN3"
"479","BCAP29"
"480","GAB1"
"481","CAMSAP2"
"482","CDK17"
"483","CNST"
"484","COL4A1"
"485","PEPD"
"486","NFATC1"
"487","SSH1"
"488","NDRG1"
"489","CCDC50"
"490","GYPC"
"491","REEP3"
"492","ARHGEF7"
"493","TTC28"
"494","UPF3A"
"495","RGS12"
"496","FOXP2"
"497","ARHGAP27"
"498","DPYSL3"
"499","SMARCA1"
"500","STARD9"
"501","ATG10"
"502","ODF2L"
"503","CDYL2"
"504","PLCG1"
"505","ANKS1A"
"506","PXDC1"
"507","RPH3AL"
"508","OSBPL5"
"509","FNBP1L"
"510","XXYLT1"
"511","FILIP1"
"512","ST8SIA1"
"513","ANKRD6"
"514","ROCK2"
"515","PEAK1"
"516","FAM189A2"
"517","DOCK1"
"518","GNAI2"
"519","L3MBTL3"
"520","ARHGEF10"
"521","SOGA1"
"522","SPATA6L"
"523","PLXNA2"
"524","PDLIM1"
"525","PTPRM"
"526","CYB5R3"
"527","BCL2L14"
"528","KIF1C"
"529","SH3BP2"
"530","IGFBP4"
"531","PARD3B"
"532","TMEM140"
"533","COL4A2"
"534","MAN1A1"
"535","HECTD2"
"536","NFAT5"
"537","WASF3"
"538","LRP6"
"539","ANKH"
"540","NR6A1"
"541","NMT2"
"542","ATP11C"
"543","AUTS2"
"544","PRKCZ"
"545","RBFOX2"
"546","NKTR"
"547","AMOTL1"
"548","ANKRD50"
"549","MID1"
"550","SBF2"
"551","SERPINB9"
"552","SLC4A7"
"553","CLIP2"
"554","DLG1"
"555","LRCH1"
"556","L3MBTL4"
"557","PRDM5"
"558","HLA-E"
"559","CALD1"
"560","CTTN"
"561","AHDC1"
"562","CASP4"
"563","MYH10"
"564","TRIM24"
"565","BICD1"
"566","ITGAV"
"567","TTC7B"
"568","REPS2"
"569","SLC38A1"
"570","PALM2-AKAP2"
"571","CHD7"
"572","DIP2C"
"573","IQCJ-SCHIP1"
"574","MYO18A"
"575","COL4A5"
"576","EMP1"
"577","PCCA"
"578","MTHFD1L"
"579","EPS15"
"580","ZNF462"
"581","GAS7"
"582","DAAM1"
"583","NUDT4"
"584","MARCH5"
"585","UTRN"
"586","DLGAP4"
"587","SUN1"
"588","ECE1"
"589","TNPO1"
"590","KCTD9"
"591","ZNF608"
"592","NOD1"
"593","ARHGAP31"
"594","PIK3C2A"
"595","CLIC2"
