"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
"DDX60L",0,1.63190099537024,0.286,0.083,0,"Macrophages","DDX60L",0.466723684675887
"SLC22A15",0,2.23046860929999,0.26,0.058,0,"Macrophages","SLC22A15",0.579921838417998
"F13A1",0,6.37461243902714,0.208,0.006,0,"Macrophages","F13A1",1.32591938731765
"ACP5",0,6.63140944496352,0.205,0.003,0,"Macrophages","ACP5",1.35943893621752
"ITSN1",0,1.54461315341096,0.371,0.169,0,"Macrophages","ITSN1",0.573051479915465
"VSIG4",0,5.7179218785361,0.205,0.003,0,"Macrophages","VSIG4",1.1721739850999
"AGFG1",0,1.13287038977957,0.405,0.204,0,"Macrophages","AGFG1",0.458812507860725
"DENND5A",0,1.27017365565139,0.342,0.141,0,"Macrophages","DENND5A",0.434399390232774
"VIM",0,1.84637008746747,0.279,0.078,0,"Macrophages","VIM",0.515137254403425
"CSF1R",0,4.1766994560812,0.209,0.008,0,"Macrophages","CSF1R",0.87293018632097
"ZMIZ1",0,1.15003979857879,0.359,0.158,0,"Macrophages","ZMIZ1",0.412864287689785
"TMSB4X",0,1.82231502333724,0.282,0.081,0,"Macrophages","TMSB4X",0.513892836581101
"ACTR2",0,1.16317010682634,0.339,0.139,0,"Macrophages","ACTR2",0.394314666214129
"C5AR1",0,3.46539374971082,0.222,0.022,0,"Macrophages","C5AR1",0.769317412435802
"DAB2",0,2.85681024609356,0.238,0.038,0,"Macrophages","DAB2",0.679920838570268
"SNX2",0,1.75499190618764,0.281,0.082,0,"Macrophages","SNX2",0.493152725638727
"HLA-DQB1",0,3.87664534237694,0.211,0.013,0,"Macrophages","HLA-DQB1",0.817972167241535
"MAFB",0,4.32778715405524,0.207,0.009,0,"Macrophages","MAFB",0.895851940889435
"CTNNB1",0,1.00077868354819,0.45,0.253,0,"Macrophages","CTNNB1",0.450350407596687
"ZCCHC2",0,1.53539055322408,0.287,0.09,0,"Macrophages","ZCCHC2",0.440657088775312
"PLIN2",0,2.21411646924815,0.246,0.05,0,"Macrophages","PLIN2",0.544672651435046
"GPD2",0,1.36354521366923,0.321,0.126,0,"Macrophages","GPD2",0.437698013587824
"LHFPL2",0,1.88966361495357,0.277,0.082,0,"Macrophages","LHFPL2",0.52343682134214
"EPSTI1",0,1.41023486395401,0.306,0.111,0,"Macrophages","EPSTI1",0.431531868369927
"AGPAT4",0,1.72067128022756,0.285,0.09,0,"Macrophages","AGPAT4",0.490391314864856
"LTA4H",0,2.35920967905012,0.256,0.062,0,"Macrophages","LTA4H",0.603957677836831
"ALDH1A2",0,2.91811910906345,0.22,0.026,0,"Macrophages","ALDH1A2",0.641986203993958
"AQP9",0,4.09430586969622,0.202,0.008,0,"Macrophages","AQP9",0.827049785678636
"COLEC12",0,1.93777819903192,0.311,0.117,0,"Macrophages","COLEC12",0.602649019898926
"DPYD-AS1",0,1.29111369089609,0.339,0.146,0,"Macrophages","DPYD-AS1",0.437687541213774
