"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
"ANK31",0,3.12562637127705,0.872,0.173,0,"AT2","ANK3",2.72554619575359
"ERBB4",0,4.5916460293763,0.705,0.05,0,"AT2","ERBB4",3.23711045071029
"ABCA3",0,6.34524354558898,0.668,0.018,0,"AT2","ABCA3",4.23862268845344
"ACOXL",0,4.75510341084688,0.679,0.033,0,"AT2","ACOXL",3.22871521596503
"SNX251",0,3.56332956696884,0.733,0.126,0,"AT2","SNX25",2.61192057258816
"PDE4D",0,3.18643260600514,0.901,0.297,0,"AT2","PDE4D",2.87097577801063
"TMEM163",0,4.43082121781774,0.648,0.044,0,"AT2","TMEM163",2.8711721491459
"MAST4",0,2.65786770976837,0.777,0.181,0,"AT2","MAST4",2.06516321049003
"NEDD4L1",0,1.97645951414293,0.766,0.176,0,"AT2","NEDD4L",1.51396798783349
"DLG21",0,2.61224938060218,0.745,0.164,0,"AT2","DLG2",1.94612578854862
"SFTA31",0,3.76991976488694,0.635,0.056,0,"AT2","SFTA3",2.39389905070321
"AFF3",0,2.76208774770983,0.631,0.063,0,"AT2","AFF3",1.74287736880491
"MTUS1",0,3.01349810739584,0.689,0.123,0,"AT2","MTUS1",2.07630019599574
"LIMCH12",0,1.31794319257425,0.761,0.198,0,"AT2","LIMCH1",1.00295476954901
"TTN",0,3.72055431818334,0.611,0.073,0,"AT2","TTN",2.27325868841002
"PTPN13",0,3.47490767053813,0.62,0.085,0,"AT2","PTPN13",2.15444275573364
"ATP11A1",0,2.30669911054516,0.763,0.24,0,"AT2","ATP11A",1.76001142134596
"AUTS21",0,2.18393589948614,0.742,0.224,0,"AT2","AUTS2",1.62048043741872
"PTPRK1",0,2.24335007005824,0.698,0.182,0,"AT2","PTPRK",1.56585834890065
"TACC21",0,3.18183667244713,0.591,0.084,0,"AT2","TACC2",1.88046547341625
"PTPRG1",0,1.60385744323457,0.744,0.238,0,"AT2","PTPRG",1.19326993776652
"RBPMS2",0,2.22373617048043,0.693,0.192,0,"AT2","RBPMS",1.54104916614294
"MAGI31",0,1.89867336579519,0.672,0.172,0,"AT2","MAGI3",1.27590850181437
"SFTPC",0,7.9279257228536,0.505,0.007,0,"AT2","SFTPC",4.00360249004107
"SOX51",0,2.17864053490764,0.696,0.199,0,"AT2","SOX5",1.51633381229572
"TANC21",0,2.31425605216277,0.733,0.238,0,"AT2","TANC2",1.69634968623531
"AGBL1",0,9.04805412021893,0.494,0.003,0,"AT2","AGBL1",4.46973873538815
"SLC34A2",0,4.58395940510779,0.516,0.028,0,"AT2","SLC34A2",2.36532305303562
"SHROOM31",0,2.3915662938746,0.588,0.103,0,"AT2","SHROOM3",1.40624098079827
"UNC13B1",0,2.65439935277956,0.608,0.123,0,"AT2","UNC13B",1.61387480648997
"CADM11",0,2.07851020121578,0.594,0.111,0,"AT2","CADM1",1.23463505952218
"MAGI11",0,1.16103635921107,0.697,0.216,0,"AT2","MAGI1",0.809242342370112
"ADGRF51",0,3.03753448780731,0.545,0.066,0,"AT2","ADGRF5",1.65545629585498
"CCDC141",0,5.1079096118075,0.491,0.018,0,"AT2","CCDC141",2.50798361939748
"MAPK101",0,2.30081180229448,0.579,0.106,0,"AT2","MAPK10",1.33217003352851
"ADGRV11",0,3.37135224583884,0.529,0.057,0,"AT2","ADGRV1",1.78344533804875
"EFNA5",0,2.47131369710542,0.57,0.098,0,"AT2","EFNA5",1.40864880735009
"LMO31",0,3.39645211153885,0.528,0.057,0,"AT2","LMO3",1.79332671489251
"PEBP41",0,4.38086534194113,0.493,0.029,0,"AT2","PEBP4",2.15976661357698
"PPP1R9A1",0,2.83036946810205,0.54,0.081,0,"AT2","PPP1R9A",1.52839951277511
"MLPH",0,3.16609689952224,0.522,0.064,0,"AT2","MLPH",1.65270258155061
"PHACTR11",0,1.9481022692106,0.616,0.163,0,"AT2","PHACTR1",1.20003099783373
"LMO71",0,1.19800237226446,0.603,0.15,0,"AT2","LMO7",0.722395430475468
"NEBL2",0,1.20476527150038,0.64,0.189,0,"AT2","NEBL",0.771049773760246
"MYO61",0,2.23424370933052,0.595,0.146,0,"AT2","MYO6",1.32937500705166
"EPS8",0,2.33485227690303,0.582,0.137,0,"AT2","EPS8",1.35888402515756
"PATJ2",0,1.58493950124208,0.592,0.149,0,"AT2","PATJ",0.938284184735312
"PARD32",0,1.34176072596698,0.705,0.262,0,"AT2","PARD3",0.94594131180672
"DLC12",0,1.79122595338312,0.629,0.191,0,"AT2","DLC1",1.12668112467798
"CADPS21",0,1.89941108410378,0.602,0.168,0,"AT2","CADPS2",1.14344547263048
"NAPSA",0,5.90497483742621,0.442,0.011,0,"AT2","NAPSA",2.60999887814239
"PIP5K1B1",0,2.71110724004396,0.515,0.086,0,"AT2","PIP5K1B",1.39622022862264
"BTBD91",0,1.85967603854865,0.784,0.356,0,"AT2","BTBD9",1.45798601422215
"NTN41",0,3.76430361200179,0.471,0.043,0,"AT2","NTN4",1.77298700125284
"RAPGEF5",0,1.98594965536454,0.53,0.106,0,"AT2","RAPGEF5",1.05255331734321
"PID11",0,2.17070047044625,0.515,0.095,0,"AT2","PID1",1.11791074227982
"P3H21",0,4.29423054466898,0.453,0.034,0,"AT2","P3H2",1.94528643673505
"TOX1",0,1.99858462977766,0.516,0.097,0,"AT2","TOX",1.03126966896527
"ATP13A41",0,2.34209341036207,0.496,0.077,0,"AT2","ATP13A4",1.16167833153959
"ADK1",0,1.56860047665111,0.731,0.314,0,"AT2","ADK",1.14664694843196
"C8orf34",0,3.48172371121773,0.449,0.035,0,"AT2","C8orf34",1.56329394633676
"CEP701",0,3.54465064752298,0.466,0.053,0,"AT2","CEP70",1.65180720174571
"MUC11",0,3.81572686499726,0.446,0.034,0,"AT2","MUC1",1.70181418178878
"MICAL21",0,2.43145344522906,0.531,0.119,0,"AT2","MICAL2",1.29110177941663
"SYNE11",0,1.74808838591664,0.703,0.291,0,"AT2","SYNE1",1.22890613529939
"DANT21",0,2.39022275542792,0.5,0.09,0,"AT2","DANT2",1.19511137771396
"ARHGEF38",0,3.89555206529864,0.443,0.034,0,"AT2","ARHGEF38",1.7257295649273
"SLC22A3",0,4.79679532559045,0.422,0.016,0,"AT2","SLC22A3",2.02424762739917
"ALPL",0,5.55018072105025,0.417,0.012,0,"AT2","ALPL",2.31442536067795
"CTSH",0,3.81819596427062,0.447,0.044,0,"AT2","CTSH",1.70673359602897
"MGST11",0,2.65444887997805,0.486,0.084,0,"AT2","MGST1",1.29006215566933
"ACACA1",0,2.27588172872131,0.531,0.135,0,"AT2","ACACA",1.20849319795101
"GPC51",0,2.19001346980344,0.464,0.069,0,"AT2","GPC5",1.01616624998879
"KANK11",0,2.7716314123326,0.472,0.082,0,"AT2","KANK1",1.30821002662099
"LHFPL3",0,7.99417305673473,0.393,0.004,0,"AT2","LHFPL3",3.14171001129675
"FOXP21",0,2.33563581133064,0.477,0.088,0,"AT2","FOXP2",1.11409828200472
"LPCAT11",0,3.03319161909388,0.451,0.064,0,"AT2","LPCAT1",1.36796942021134
"ARFGEF3",0,3.94084944590056,0.423,0.036,0,"AT2","ARFGEF3",1.66697931561594
"PARM1",0,4.69404822812923,0.405,0.019,0,"AT2","PARM1",1.90108953239234
"WSB11",0,1.58815949147509,0.728,0.352,0,"AT2","WSB1",1.15618010979387
"PLCH1",0,3.38470919473104,0.408,0.037,0,"AT2","PLCH1",1.38096135145027
"SFTPA1",0,6.03485024126625,0.376,0.008,0,"AT2","SFTPA1",2.26910369071611
"DUOX11",0,3.03978113159301,0.426,0.059,0,"AT2","DUOX1",1.29494676205862
"GPHN",0,1.49192687972185,0.65,0.285,0,"AT2","GPHN",0.9697524718192
"SHANK21",0,1.89378603169114,0.456,0.091,0,"AT2","SHANK2",0.86356643045116
"FAM184A1",0,3.47205930312263,0.406,0.042,0,"AT2","FAM184A",1.40965607706779
"STOX21",0,1.95740886010204,0.452,0.088,0,"AT2","STOX2",0.884748804766124
"LAMP3",0,6.59128055827848,0.366,0.004,0,"AT2","LAMP3",2.41240868432992
"ATP8A12",0,1.60716540637566,0.5,0.138,0,"AT2","ATP8A1",0.803582703187828
"CCSER11",0,1.62430453824608,0.459,0.097,0,"AT2","CCSER1",0.74555578305495
"NR3C21",0,1.87895729020475,0.482,0.121,0,"AT2","NR3C2",0.905657413878688
"SNX30",0,2.73894515141135,0.454,0.093,0,"AT2","SNX30",1.24348109874075
"YAP12",0,1.57297601767407,0.531,0.17,0,"AT2","YAP1",0.835250265384932
"FRMD4B1",0,1.41733327345298,0.587,0.229,0,"AT2","FRMD4B",0.8319746315169
"DOCK91",0,1.10406626367519,0.5,0.144,0,"AT2","DOCK9",0.552033131837597
"DRAM1",0,2.26875623854881,0.467,0.117,0,"AT2","DRAM1",1.05950916340229
"ITGB61",0,3.71613649181555,0.38,0.031,0,"AT2","ITGB6",1.41213186688991
"LDLR1",0,2.57346141886142,0.422,0.073,0,"AT2","LDLR",1.08600071875952
"HOPX1",0,3.28591508970488,0.387,0.039,0,"AT2","HOPX",1.27164913971579
"CAPN81",0,3.27382470945091,0.38,0.033,0,"AT2","CAPN8",1.24405338959135
"SFTPA2",0,5.94737392816768,0.354,0.009,0,"AT2","SFTPA2",2.10537037057136
"TMC51",0,2.23467230838211,0.414,0.074,0,"AT2","TMC5",0.925154335670193
"SAMD121",0,1.2566190149093,0.492,0.153,0,"AT2","SAMD12",0.618256555335375
"KCNQ31",0,3.49012163074331,0.37,0.031,0,"AT2","KCNQ3",1.29134500337502
"NBEAL12",0,1.44846471123556,0.566,0.228,0,"AT2","NBEAL1",0.819831026559329
"C1orf211",0,1.65781439127259,0.477,0.14,0,"AT2","C1orf21",0.790777464637027
"RANBP171",0,1.96999695185779,0.423,0.086,0,"AT2","RANBP17",0.833308710635847
"COBLL11",0,1.69470198129337,0.46,0.124,0,"AT2","COBLL1",0.77956291139495
"SLC4A4",0,2.85202926578449,0.379,0.043,0,"AT2","SLC4A4",1.08091909173232
"SGMS21",0,3.49808555910112,0.419,0.083,0,"AT2","SGMS2",1.46569784926337
"RNF145",0,1.46922425706463,0.552,0.217,0,"AT2","RNF145",0.811011789899676
"DLGAP1",0,3.46578794345798,0.385,0.05,0,"AT2","DLGAP1",1.33432835823132
"ASPH1",0,1.33137213672875,0.567,0.232,0,"AT2","ASPH",0.754888001525204
"MPP72",0,2.11409692050266,0.408,0.075,0,"AT2","MPP7",0.862551543565087
"WWC11",0,2.73048665552537,0.393,0.061,0,"AT2","WWC1",1.07308125562147
"CSF3R1",0,2.93365354278398,0.381,0.05,0,"AT2","CSF3R",1.1177219998007
"PCAT12",0,2.32183443699266,0.394,0.064,0,"AT2","PCAT1",0.914802768175108
"LANCL1-AS1",0,4.71235849116304,0.352,0.022,0,"AT2","LANCL1-AS1",1.65875018888939
"KCNJ15",0,4.60492572642543,0.347,0.017,0,"AT2","KCNJ15",1.59790922706962
"NPNT2",0,1.9467041398098,0.424,0.095,0,"AT2","NPNT",0.825402555279356
"TCF7L11",0,2.58822430440157,0.407,0.079,0,"AT2","TCF7L1",1.05340729189144
"WIF1",0,7.25730743098377,0.329,0.004,0,"AT2","WIF1",2.38765414479366
"VEPH11",0,3.76732128074889,0.355,0.032,0,"AT2","VEPH1",1.33739905466585
"MBIP1",0,3.34063342759879,0.366,0.044,0,"AT2","MBIP",1.22267183450116
"FAM20A2",0,2.20536210508239,0.426,0.104,0,"AT2","FAM20A",0.939484256765097
"GAREM1",0,3.20318975025103,0.37,0.05,0,"AT2","GAREM1",1.18518020759288
"C4orf19",0,3.66170286207906,0.349,0.03,0,"AT2","C4orf19",1.27793429886559
"MAP3K131",0,2.30473168577889,0.404,0.088,0,"AT2","MAP3K13",0.931111601054672
"PTPRD1",0,2.3059344063347,0.396,0.083,0,"AT2","PTPRD",0.913150024908539
"RPS6KA2",0,1.31531259980029,0.504,0.192,0,"AT2","RPS6KA2",0.662917550299348
"SCN1A",0,7.56151411407329,0.311,0.002,0,"AT2","SCN1A",2.35163088947679
"ATP1A11",0,2.20205461665219,0.406,0.098,0,"AT2","ATP1A1",0.894034174360789
"PAM2",0,1.04034602846461,0.562,0.254,0,"AT2","PAM",0.584674467997112
"SECISBP2L",0,2.20966102245236,0.448,0.14,0,"AT2","SECISBP2L",0.98992813805866
"RAI141",0,1.53739750735304,0.425,0.118,0,"AT2","RAI14",0.653393940625042
"CPM2",0,1.40255080588191,0.475,0.168,0,"AT2","CPM",0.666211632793906
"MET",0,2.99532946882601,0.341,0.035,0,"AT2","MET",1.02140734886967
"TMEM87A1",0,1.64373433442589,0.467,0.161,0,"AT2","TMEM87A",0.76762393417689
"FAM160A11",0,2.47167473637568,0.366,0.06,0,"AT2","FAM160A1",0.904632953513499
"SLC39A81",0,1.89448543484793,0.39,0.088,0,"AT2","SLC39A8",0.738849319590692
"TMEM164",0,2.48608402301106,0.402,0.1,0,"AT2","TMEM164",0.999405777250446
"NR6A11",0,1.93010425825066,0.402,0.101,0,"AT2","NR6A1",0.775901911816767
"MYO1B2",0,1.6074321850692,0.429,0.128,0,"AT2","MYO1B",0.689588407394686
"GPRC5A1",0,1.66040394637423,0.385,0.086,0,"AT2","GPRC5A",0.639255519354078
"LRP2",0,6.80376501464807,0.303,0.004,0,"AT2","LRP2",2.06154079943837
"LRP2BP1",0,4.19368400077076,0.324,0.025,0,"AT2","LRP2BP",1.35875361624973
"STEAP4",0,4.9813508192864,0.315,0.016,0,"AT2","STEAP4",1.56912550807522
"SGPP2",0,3.72543923772493,0.333,0.035,0,"AT2","SGPP2",1.2405712661624
"AHCYL21",0,1.62214135565095,0.45,0.152,0,"AT2","AHCYL2",0.729963610042926
"CACHD1",0,2.74867390659011,0.353,0.056,0,"AT2","CACHD1",0.970281889026307
"OSMR2",0,1.67585136694589,0.422,0.125,0,"AT2","OSMR",0.707209276851164
"SLC22A231",0,1.97845808030805,0.397,0.101,0,"AT2","SLC22A23",0.785447857882298
"MCU1",0,1.4007549170122,0.492,0.198,0,"AT2","MCU",0.689171419170003
"TNIK1",0,1.05551693190077,0.517,0.225,0,"AT2","TNIK",0.5457022537927
"LARGE11",0,1.36226901543867,0.449,0.157,0,"AT2","LARGE1",0.611658787931962
"CACNA2D21",0,4.87949346254937,0.304,0.012,0,"AT2","CACNA2D2",1.48336601261501
"FREM2",0,5.70824734096663,0.3,0.008,0,"AT2","FREM2",1.71247420228999
"SPIRE11",0,1.83465674345959,0.445,0.154,0,"AT2","SPIRE1",0.816422250839516
"SH3RF11",0,1.61694279648443,0.417,0.126,0,"AT2","SH3RF1",0.674265146134006
"CAMK1D1",0,1.58026991779572,0.539,0.249,0,"AT2","CAMK1D",0.851765485691895
"GLIS31",0,1.18996879692719,0.459,0.17,0,"AT2","GLIS3",0.546195677789578
"USP541",0,2.02143270427412,0.382,0.093,0,"AT2","USP54",0.772187293032715
"SORBS21",0,2.29953744097517,0.349,0.06,0,"AT2","SORBS2",0.802538566900335
"MYO5C1",0,2.22281869947733,0.355,0.066,0,"AT2","MYO5C",0.789100638314454
"ALOX15B",0,4.54141690144232,0.303,0.015,0,"AT2","ALOX15B",1.37604932113702
"MAP71",0,2.70435227580744,0.338,0.051,0,"AT2","MAP7",0.914071069222915
"KIAA1324L1",0,2.93058173325596,0.33,0.043,0,"AT2","KIAA1324L",0.967091971974467
"PDZD21",0,1.71176352889568,0.366,0.08,0,"AT2","PDZD2",0.62650545157582
"EGFR2",0,1.24609102832558,0.427,0.142,0,"AT2","EGFR",0.532080869095023
"NAALADL21",0,1.27500625609908,0.454,0.17,0,"AT2","NAALADL2",0.578852840268981
"RUFY3",0,1.5226273835053,0.469,0.187,0,"AT2","RUFY3",0.714112242863985
"NCOA71",0,1.4946902867613,0.458,0.178,0,"AT2","NCOA7",0.684568151336677
"LHFPL3-AS2",0,8.33419418186086,0.281,0.001,0,"AT2","LHFPL3-AS2",2.3419085651029
"THSD41",0,1.21567670513362,0.415,0.135,0,"AT2","THSD4",0.50450583263045
"ARHGAP441",0,2.15257340434064,0.348,0.068,0,"AT2","ARHGAP44",0.749095544710541
"CYB5A",0,2.65425164352811,0.334,0.055,0,"AT2","CYB5A",0.88652004893839
"C31",0,1.71486423308778,0.343,0.064,0,"AT2","C3",0.588198431949108
"TMPRSS21",0,3.05864968781607,0.314,0.035,0,"AT2","TMPRSS2",0.960416001974247
"PACSIN21",0,1.45346599444299,0.475,0.196,0,"AT2","PACSIN2",0.690396347360421
"NKX2-11",0,3.734393033841,0.299,0.022,0,"AT2","NKX2-1",1.11658351711846
"MYO9A1",0,1.09415966811183,0.522,0.247,0,"AT2","MYO9A",0.571151346754374
"MEGF92",0,1.93906645223066,0.396,0.122,0,"AT2","MEGF9",0.767870315083343
"COL8A12",0,1.34759444747957,0.4,0.127,0,"AT2","COL8A1",0.539037778991828
"C4BPA1",0,4.37176705646178,0.282,0.011,0,"AT2","C4BPA",1.23283830992222
"RHOBTB21",0,3.79694586704873,0.293,0.023,0,"AT2","RHOBTB2",1.11250513904528
"ANKRD28",0,1.45191405338449,0.495,0.227,0,"AT2","ANKRD28",0.718697456425324
"SDC41",0,2.6959329104706,0.324,0.057,0,"AT2","SDC4",0.873482262992475
"EZR1",0,1.29099640968173,0.457,0.191,0,"AT2","EZR",0.589985359224551
"PRKD11",0,1.28655665577597,0.388,0.123,0,"AT2","PRKD1",0.499183982441078
"PRKCZ1",0,1.94087529215681,0.336,0.072,0,"AT2","PRKCZ",0.652134098164687
"ABCC4",0,1.71780302529833,0.357,0.095,0,"AT2","ABCC4",0.613255680031505
"DNAH141",0,2.3705101725368,0.322,0.061,0,"AT2","DNAH14",0.763304275556849
"DAPK21",0,1.2307724038989,0.354,0.093,0,"AT2","DAPK2",0.435693430980211
"SPAG91",0,1.08737431890706,0.534,0.273,0,"AT2","SPAG9",0.580657886296371
"RASEF1",0,3.37790126496835,0.292,0.032,0,"AT2","RASEF",0.986347169370758
"PLEKHA71",0,2.18670159223183,0.326,0.066,0,"AT2","PLEKHA7",0.712864719067575
"TFPI1",0,1.27050406048738,0.412,0.154,0,"AT2","TFPI",0.523447672920802
"GANC1",0,2.06748964565538,0.352,0.094,0,"AT2","GANC",0.727756355270692
"RAB27A1",0,1.40757540839232,0.398,0.14,0,"AT2","RAB27A",0.560215012540144
"AKAP13",0,1.2837487234389,0.901,0.643,0,"AT2","AKAP13",1.15665759981845
"UST1",0,1.73286915573145,0.394,0.138,0,"AT2","UST",0.68275044735819
"ZDHHC211",0,1.42950693368791,0.411,0.155,0,"AT2","ZDHHC21",0.587527349745732
"ETV11",0,3.24416060386684,0.287,0.032,0,"AT2","ETV1",0.931074093309783
"MCCC1",0,2.28127556647399,0.329,0.075,0,"AT2","MCCC1",0.750539661369942
"TCIM",0,3.25190714037546,0.281,0.028,0,"AT2","TCIM",0.913785906445503
"LRRC36",0,5.71869524062745,0.26,0.007,0,"AT2","LRRC36",1.48686076256314
"MFSD2A",0,5.54290130189496,0.259,0.007,0,"AT2","MFSD2A",1.4356114371908
"TMEM2452",0,1.58571291484202,0.378,0.126,0,"AT2","TMEM245",0.599399481810285
"PPP1R13B1",0,1.81858312771795,0.335,0.084,0,"AT2","PPP1R13B",0.609225347785515
"CECR21",0,2.53803786567886,0.3,0.049,0,"AT2","CECR2",0.761411359703658
"SFTPD",0,5.40833896684712,0.256,0.007,0,"AT2","SFTPD",1.38453477551286
"SCN1A-AS11",0,3.39981937696215,0.274,0.026,0,"AT2","SCN1A-AS1",0.931550509287628
"BAIAP2L11",0,2.09689388806818,0.31,0.062,0,"AT2","BAIAP2L1",0.650037105301135
"TSPAN31",0,2.19470655540311,0.324,0.076,0,"AT2","TSPAN3",0.711084923950608
"DSTN1",0,1.68930401402928,0.353,0.106,0,"AT2","DSTN",0.596324316952338
"EPB41L51",0,1.10865175266798,0.346,0.102,0,"AT2","EPB41L5",0.383593506423122
"CEP1121",0,1.30352818432762,0.376,0.133,0,"AT2","CEP112",0.490126597307184
"GLS2",0,1.10924282982993,0.561,0.319,0,"AT2","GLS",0.62228522753459
"ACSS31",0,2.53868851081797,0.298,0.056,0,"AT2","ACSS3",0.756529176223756
"NPC12",0,1.41671662214424,0.403,0.162,0,"AT2","NPC1",0.570936798724128
"ACADL1",0,3.91459608132204,0.263,0.023,0,"AT2","ACADL",1.0295387693877
"FAM135A1",0,1.61858150523271,0.365,0.126,0,"AT2","FAM135A",0.590782249409938
"MYOF2",0,1.08489512951675,0.443,0.205,0,"AT2","MYOF",0.480608542375919
"DUOXA11",0,3.58773427050088,0.26,0.022,0,"AT2","DUOXA1",0.932810910330229
"ACSL41",0,1.53646182439784,0.437,0.2,0,"AT2","ACSL4",0.671433817261856
"CACNB4",0,3.1615978869848,0.27,0.034,0,"AT2","CACNB4",0.853631429485897
"NHSL12",0,1.14349878984405,0.401,0.165,0,"AT2","NHSL1",0.458543014727463
"CMTM81",0,1.69177157193695,0.301,0.065,0,"AT2","CMTM8",0.509223243153022
"ARHGAP322",0,1.43355442614106,0.367,0.131,0,"AT2","ARHGAP32",0.526114474393769
"L3MBTL41",0,1.08425126634123,0.404,0.171,0,"AT2","L3MBTL4",0.438037511601856
"FAM13A1",0,1.19609517640135,0.417,0.184,0,"AT2","FAM13A",0.498771688559361
"ACSS2",0,2.73891761261608,0.297,0.064,0,"AT2","ACSS2",0.813458530946976
"SCNN1A1",0,2.55537589721266,0.275,0.043,0,"AT2","SCNN1A",0.702728371733482
"ITPR31",0,1.94553813760329,0.296,0.065,0,"AT2","ITPR3",0.575879288730573
"LNX21",0,2.66349976604655,0.272,0.042,0,"AT2","LNX2",0.72447193636466
"WWC31",0,1.81539867101343,0.315,0.085,0,"AT2","WWC3",0.571850581369229
"FGFR21",0,3.00638867439347,0.262,0.033,0,"AT2","FGFR2",0.78767383269109
"NRXN3",0,1.75800985416623,0.293,0.064,0,"AT2","NRXN3",0.515096887270705
"CD46",0,1.33225851901977,0.39,0.162,0,"AT2","CD46",0.519580822417711
"PGC",0,8.13382671386963,0.229,0.001,0,"AT2","PGC",1.86264631747615
"PCDH9",0,3.34665973182272,0.255,0.027,0,"AT2","PCDH9",0.853398231614794
"OPHN11",0,1.41154686855178,0.352,0.125,0,"AT2","OPHN1",0.496864497730227
"CDH12",0,2.07796147660648,0.28,0.054,0,"AT2","CDH1",0.581829213449814
"RMST",0,6.65213954102491,0.229,0.004,0,"AT2","RMST",1.5233399548947
"TFCP2L1",0,3.44550474170051,0.25,0.026,0,"AT2","TFCP2L1",0.861376185425129
"TOP1",0,1.13207232831246,0.501,0.277,0,"AT2","TOP1",0.567168236484542
"FASN",0,5.1726245730578,0.229,0.008,0,"AT2","FASN",1.18453102723024
"DMBT1",0,5.43484703083059,0.226,0.006,0,"AT2","DMBT1",1.22827542896771
"TMTC21",0,1.13292003592424,0.428,0.208,0,"AT2","TMTC2",0.484889775375574
"ATP1B11",0,2.36615567488858,0.275,0.056,0,"AT2","ATP1B1",0.65069281059436
"ERRFI11",0,1.48996451331843,0.315,0.098,0,"AT2","ERRFI1",0.469338821695306
"HMGCS1",0,3.04248655924392,0.256,0.04,0,"AT2","HMGCS1",0.778876559166442
"SPRY4-AS1",0,4.30191752060816,0.23,0.015,0,"AT2","SPRY4-AS1",0.989441029739877
"MAOA2",0,1.97868792825107,0.277,0.062,0,"AT2","MAOA",0.548096556125545
"DHCR241",0,3.26834106529352,0.242,0.027,0,"AT2","DHCR24",0.790938537801031
"SHC31",0,2.81714633459395,0.247,0.032,0,"AT2","SHC3",0.695835144644705
"ARRDC3",0,1.54266936633254,0.321,0.107,0,"AT2","ARRDC3",0.495196866592744
"GRHL21",0,2.22862806415225,0.258,0.045,0,"AT2","GRHL2",0.57498604055128
"SHROOM41",0,1.95055263387444,0.268,0.056,0,"AT2","SHROOM4",0.52274810587835
"IFT571",0,2.2175157330304,0.267,0.056,0,"AT2","IFT57",0.592076700719118
"C11orf491",0,1.15171714031031,0.352,0.142,0,"AT2","C11orf49",0.405404433389229
"KIDINS220",0,1.22447566365513,0.399,0.19,0,"AT2","KIDINS220",0.488565789798398
"ADGRD12",0,2.07561815121358,0.259,0.05,0,"AT2","ADGRD1",0.537585101164317
"SCTR",0,5.44861731949219,0.214,0.005,0,"AT2","SCTR",1.16600410637133
"TMEM41B1",0,1.57883169256612,0.301,0.092,0,"AT2","TMEM41B",0.475228339462403
"TC2N1",0,1.01786765245773,0.308,0.099,0,"AT2","TC2N",0.313503236956982
"SLC22A31",0,5.20698721907138,0.214,0.006,0,"AT2","SLC22A31",1.11429526488128
"THRB1",0,1.36717293492928,0.315,0.108,0,"AT2","THRB",0.430659474502724
"GPR391",0,1.93538660544316,0.262,0.057,0,"AT2","GPR39",0.507071290626107
"SPATA6L1",0,2.03872728519111,0.255,0.05,0,"AT2","SPATA6L",0.519875457723734
"ITGA31",0,1.883194281235,0.263,0.058,0,"AT2","ITGA3",0.495280095964805
"PLXNA21",0,1.14223766511634,0.319,0.115,0,"AT2","PLXNA2",0.364373815172112
"PRDM161",0,2.31234677155968,0.246,0.042,0,"AT2","PRDM16",0.568837305803682
"F31",0,3.01492050193219,0.231,0.028,0,"AT2","F3",0.696446635946337
"SLC9C11",0,1.99631117188109,0.252,0.049,0,"AT2","SLC9C1",0.503070415314034
"COBL1",0,1.33888889204157,0.281,0.078,0,"AT2","COBL",0.376227778663681
"AASS1",0,2.20872606536043,0.261,0.059,0,"AT2","AASS",0.576477503059073
"BMP1",0,4.08863982995579,0.227,0.025,0,"AT2","BMP1",0.928121241399965
"TTC61",0,2.74770449897569,0.231,0.029,0,"AT2","TTC6",0.634719739263385
"AGR31",0,3.25002178732031,0.226,0.026,0,"AT2","AGR3",0.73450492393439
"KANSL1L1",0,1.07496060907105,0.369,0.17,0,"AT2","KANSL1L",0.396660464747218
"ATP2C21",0,2.74884375395995,0.229,0.032,0,"AT2","ATP2C2",0.629485219656828
"PTPN41",0,1.01258394538647,0.327,0.131,0,"AT2","PTPN4",0.331114950141375
"KIAA19581",0,2.02549549234197,0.261,0.065,0,"AT2","KIAA1958",0.528654323501254
"FNBP1L1",0,1.2374006662296,0.29,0.094,0,"AT2","FNBP1L",0.358846193206584
"KCNK1",0,3.39464792792799,0.217,0.022,0,"AT2","KCNK1",0.736638600360373
"STXBP11",0,2.41729397848658,0.241,0.046,0,"AT2","STXBP1",0.582567848815266
"GCNT21",0,1.40662461882066,0.288,0.093,0,"AT2","GCNT2",0.405107890220351
"LRP62",0,1.78033124223757,0.26,0.066,0,"AT2","LRP6",0.462886122981768
"TAPT11",0,1.61356327855719,0.282,0.088,0,"AT2","TAPT1",0.455024844553127
"CHKA2",0,1.21357965748859,0.308,0.115,0,"AT2","CHKA",0.373782534506487
"ENOSF1",0,1.25806387828702,0.316,0.123,0,"AT2","ENOSF1",0.397548185538698
"ICAM11",0,2.06056477860607,0.253,0.06,0,"AT2","ICAM1",0.521322888987335
"ZNRF3",0,2.69266219495036,0.226,0.033,0,"AT2","ZNRF3",0.608541656058782
"SCAI1",0,1.20012889629421,0.297,0.105,0,"AT2","SCAI",0.35643828219938
"PRTG",0,4.02086582260326,0.203,0.012,0,"AT2","PRTG",0.816235761988462
"MYH141",0,1.6430192334709,0.249,0.058,0,"AT2","MYH14",0.409111789134255
"REV1",0,1.02419864915543,0.346,0.155,0,"AT2","REV1",0.354372732607779
"PTGFR",0,4.73525122140598,0.199,0.009,0,"AT2","PTGFR",0.94231499305979
"RCAN2",0,2.75090801726786,0.223,0.033,0,"AT2","RCAN2",0.613452487850733
"RASGRF1",0,6.0817726631719,0.193,0.003,0,"AT2","RASGRF1",1.17378212399218
"NIBAN21",0,1.61220750845033,0.276,0.087,0,"AT2","NIBAN2",0.44496927233229
