"","x"
"1","DKK2"
"2","SELP"
"3","BMX"
"4","PLA1A"
"5","NOS1"
"6","MYRIP"
"7","ANO2"
"8","VWF"
"9","ADGRL4"
"10","PTPRB"
"11","NR5A2"
"12","TLL1"
"13","CYYR1"
"14","ZNF385D"
"15","PDE10A"
"16","PALMD"
"17","DLL4"
"18","SNTG2"
"19","CALCRL"
"20","SLCO2A1"
"21","JAM2"
"22","RAMP3"
"23","NPR3"
"24","TMTC1"
"25","PIK3R3"
"26","FLT1"
"27","IL33"
"28","ENPP2"
"29","PCDH17"
"30","PREX2"
"31","NOTCH4"
"32","PLCXD3"
"33","THSD7A"
"34","EFNB2"
"35","TEK"
"36","F8"
"37","ADAMTS9"
"38","KCNMB4"
"39","LRRC32"
"40","TSPAN7"
"41","VCAM1"
"42","LDB2"
"43","PCAT19"
"44","NUAK1"
"45","TMEM100"
"46","RAPGEF3"
"47","RPGR"
"48","TIE1"
"49","CLEC1A"
"50","ASRGL1"
"51","CNTNAP3B"
"52","EDN1"
"53","SRPX"
"54","ST8SIA6"
"55","LIMS2"
"56","ZNF423"
"57","ERG"
"58","CPAMD8"
"59","ADCY4"
"60","SHANK3"
"61","GNA14-AS1"
"62","ADGRG6"
"63","GNA14"
"64","EMCN"
"65","LIFR"
"66","SLC5A4-AS1"
"67","NPDC1"
"68","ADAM23"
"69","SMAD6"
"70","CD93"
"71","RAPGEF4"
"72","GIPC2"
"73","SMAD9"
"74","EGFL7"
"75","SLCO4A1"
"76","SHE"
"77","ABCB1"
"78","MCF2L"
"79","PLPP1"
"80","CHN1"
"81","MCTP1"
"82","CLDN5"
"83","GRASP"
"84","FAM171A1"
"85","VEGFC"
"86","FGD5"
"87","PLCB4"
"88","ST6GALNAC3"
"89","TACR1"
"90","CDH5"
"91","CPE"
"92","TOX2"
"93","RASGRF2"
"94","TMEM255B"
"95","LRRC1"
"96","BTNL9"
"97","DACH1"
"98","HSPG2"
"99","PRSS23"
"100","SPARCL1"
"101","EPAS1"
"102","PIK3C2B"
"103","AQP1"
"104","ARHGAP29"
"105","CNKSR3"
"106","SPNS2"
"107","ARAP3"
"108","RALGAPA2"
"109","DIPK2B"
"110","NDRG1"
"111","EXOC6"
"112","PECAM1"
"113","MRTFB"
"114","NOSTRIN"
"115","FAM155A"
"116","MEIS2"
"117","ITGB4"
"118","ADAMTS1"
"119","PODXL"
"120","ITPRIP"
"121","GRB10"
"122","ACER2"
"123","CCDC68"
"124","STOM"
"125","TUSC3"
"126","GALNT15"
"127","MMRN1"
"128","EPB41L4A"
"129","HIF3A"
"130","ABLIM1"
"131","DOCK9"
"132","WWTR1"
"133","PLCB1"
"134","BMP6"
"135","RHOJ"
"136","CTNNAL1"
"137","KLHL3"
"138","PDLIM1"
"139","JCAD"
"140","PKHD1L1"
"141","ATP8B1"
"142","TCF4"
"143","ADAMTS6"
"144","TSPAN18"
"145","DOCK6"
"146","SPRY1"
"147","TIMP3"
"148","SYN3"
"149","TM4SF1"
"150","TDRD10"
"151","AFAP1L1"
"152","CTTNBP2NL"
"153","DEPP1"
"154","PTGIS"
"155","GIMAP8"
"156","TNFRSF10D"
"157","ITGA5"
"158","PIR"
"159","PLEKHG1"
"160","ARGLU1"
"161","PLSCR4"
"162","POSTN"
"163","SH3BGRL2"
"164","SASH1"
"165","ADIPOR2"
"166","ARL15"
"167","IRAK2"
"168","GALNT18"
"169","KLF2"
"170","PDE9A"
"171","PTPRM"
"172","CRIM1"
"173","PKP4"
"174","BCR"
"175","GFOD1"
"176","SEC14L1"
"177","FENDRR"
"178","CC2D2B"
"179","ARID5A"
"180","KIAA0355"
"181","WNT2B"
"182","SHROOM4"
"183","ZBTB46"
"184","FKBP1A"
"185","HRH1"
"186","KALRN"
"187","LEPR"
"188","EML1"
"189","FLNB"
"190","NRG3"
"191","DAB2IP"
"192","SERPINE1"
"193","ACACB"
"194","ABLIM3"
"195","PDE3A"
"196","GATA6"
"197","ARHGAP23"
"198","FBXL7"
"199","SLC45A4"
"200","TSPAN9"
"201","BEND7"
"202","ENG"
"203","PTPN14"
"204","SDCBP2-AS1"
"205","BMPR2"
"206","TGM2"
"207","FAM241A"
"208","NFIB"
"209","STXBP6"
"210","ECE1"
"211","SULF2"
"212","RUNX1T1"
"213","TMEM44"
"214","CLIC4"
"215","LAMA5"
"216","HDAC9"
"217","SEMA6A"
"218","RAPGEF5"
"219","NXN"
"220","YBX3"
"221","EMP1"
"222","MAGI1"
"223","DNM3"
"224","HDGFL3"
"225","BACE2"
"226","EVA1C"
"227","BMERB1"
"228","EPHA4"
"229","MCC"
"230","NEDD4"
"231","HEG1"
"232","CSGALNACT1"
"233","ADGRL2"
"234","ENTPD1"
"235","TNS2"
"236","INSR"
"237","MYO1E"
"238","TFPI"
"239","TGFBR3"
"240","CD59"
"241","MSRB3"
"242","MET"
"243","SORBS2"
"244","IL4R"
"245","RHOB"
"246","DGKE"
"247","ITPKC"
"248","NR4A1"
"249","FAT4"
"250","TJP1"
"251","RGS3"
"252","MAGI1-AS1"
"253","CHSY1"
"254","PTK2"
"255","TNFRSF10B"
"256","CXCL2"
"257","CACHD1"
"258","MECOM"
"259","TMCC3"
"260","IGFBP7"
"261","SAMD5"
"262","ZEB1"
"263","RBMS2"
"264","Z82215.1"
"265","CCDC85A"
"266","TAFA2"
"267","PTPRG"
"268","ITGAV"
"269","AFAP1"
"270","SYNJ2"
"271","PDK4"
"272","ZNF521"
"273","ABCC4"
"274","ARHGAP31"
"275","SWAP70"
"276","PIK3C2A"
"277","SLC35G2"
"278","ENTPD1-AS1"
"279","ICA1"
"280","FNBP1L"
"281","ASAP2"
"282","PDLIM5"
"283","TTC28"
"284","CD109"
"285","SH3RF3"
"286","SOCS3"
"287","SAMD12"
"288","BHLHE40"
"289","PITPNM2"
"290","ETS2"
"291","LTBP1"
"292","TNKS1BP1"
"293","CDK17"
"294","SERPINB6"
"295","NAV3"
"296","PPM1D"
"297","KLF7"
"298","LIMA1"
"299","TCIM"
"300","GSE1"
"301","JAG1"
"302","TACC1"
"303","LMCD1"
"304","FAM219A"
"305","PIP5K1C"
"306","SLC25A29"
"307","ZNF608"
"308","RELL1"
"309","MYH9"
"310","JAM3"
"311","CEP112"
"312","PDZD2"
"313","ME3"
"314","HSPB1"
"315","MPDZ"
"316","CCSER1"
"317","ESR2"
"318","NCKAP1"
"319","SSH1"
"320","RAI14"
"321","IL3RA"
"322","CDC42BPA"
"323","PARVB"
"324","PITPNC1"
"325","SLC2A3"
"326","PLXNA2"
"327","CPNE8"
"328","KIAA1671"
"329","KCTD3"
"330","CCDC50"
"331","NASP"
"332","STK38L"
"333","ARHGEF12"
"334","ZBTB16"
"335","EIF1B-AS1"
"336","AKT3"
"337","DYSF"
"338","MARCH3"
"339","UGCG"
"340","AFDN"
"341","GMDS"
"342","PXN"
"343","AKAP12"
"344","GABARAPL1"
"345","PCAT1"
"346","BAG3"
"347","SMAD7"
"348","APP"
"349","IQCJ-SCHIP1"
"350","MYO15B"
"351","IL15RA"
"352","SH2D3C"
"353","CLEC2B"
"354","GRK5"
"355","IFI44L"
"356","UACA"
"357","CMTM8"
"358","YES1"
"359","RNF144B"
"360","ARHGAP26"
"361","MSN"
"362","EHD4"
"363","OSMR"
"364","PXDN"
"365","LIMK2"
"366","PAPSS2"
"367","HIPK3"
"368","SMAD1"
"369","MEF2C-AS1"
"370","LRCH1"
"371","GNB4"
"372","ICAM1"
"373","RBMS3"
"374","HECW2"
"375","TECPR1"
"376","ZFP36"
"377","MAST4"
"378","PRDM16"
"379","PKIG"
"380","PLCG1"
"381","FBXO21"
"382","EGLN1"
"383","IL1R1"
"384","GRAMD1A"
"385","CLIC2"
"386","HMBOX1"
"387","CARHSP1"
"388","CAMTA1"
"389","SNRK"
"390","RBFOX2"
"391","MGP"
"392","PELI1"
"393","GPX3"
"394","ACTN1"
"395","WARS"
"396","FLI1"
"397","XAF1"
"398","NEDD9"
"399","RIMKLB"
"400","CD99"
"401","ARHGEF10"
"402","CADPS2"
"403","ANGPT2"
"404","TLE1"
"405","TNFAIP3"
"406","ARHGEF28"
"407","PLD1"
"408","APBB2"
"409","CAPZA2"
"410","RNF144A"
"411","AMOTL1"
"412","KLF9"
"413","HACE1"
"414","PPP1R13B"
"415","SCAMP1"
