"","x"
"1","FCN1"
"2","CD300E"
"3","LILRB2"
"4","VCAN-AS1"
"5","VCAN"
"6","IL1R2"
"7","S100Z"
"8","CLEC12A"
"9","ADGRE2"
"10","MXD1"
"11","PRAM1"
"12","CPPED1"
"13","MNDA"
"14","FGR"
"15","HSPH1"
"16","FCGR2A"
"17","LILRB3"
"18","TLR2"
"19","HCK"
"20","VSIR"
"21","ANPEP"
"22","LAT2"
"23","TMEM170B"
"24","ZDHHC20"
"25","HSP90AA1"
"26","SPI1"
"27","LILRB1"
"28","KYNU"
"29","PILRA"
"30","ITGAM"
"31","TNFRSF1B"
"32","SLC8A1"
"33","EMILIN2"
"34","RIPK2"
"35","COTL1"
"36","ACSL1"
"37","SLC8A1-AS1"
"38","NCF2"
"39","CYBB"
"40","RAP1GAP2"
"41","POU2F2"
"42","AQP9"
"43","ADAM10"
"44","UPP1"
"45","TBXAS1"
"46","GK"
"47","RNF144B"
"48","HSPA1B"
"49","SLC11A1"
"50","FGD2"
"51","MS4A6A"
"52","CD86"
"53","IRAK3"
"54","LYN"
"55","ARRB2"
"56","GLUL"
"57","MPP1"
"58","FAM49A"
"59","MARCH1"
"60","SH3BP2"
"61","GK-AS1"
"62","CSF1R"
"63","SNAP23"
"64","TBC1D8"
"65","UBE2D1"
"66","SLC7A7"
"67","CPVL"
"68","SLC43A2"
"69","DNAJB1"
"70","ALDH1A2"
"71","HMOX1"
"72","CDH23"
"73","JARID2"
"74","PLEK"
"75","RXRA"
"76","TNFSF13B"
"77","ATP6V1B2"
"78","BAG3"
"79","ZEB2"
"80","SAMSN1"
"81","SIPA1L1"
"82","ETS2"
"83","CLEC7A"
"84","HSPD1"
"85","CACYBP"
"86","CTSS"
"87","IRF8"
"88","KDM1B"
"89","MFSD1"
"90","LDLRAD3"
"91","MYO1F"
"92","GRK3"
"93","DMXL2"
"94","RCBTB2"
"95","TGFBI"
"96","MOB4"
"97","PIK3AP1"
"98","MAP3K1"
"99","HIF1A"
"100","PNPLA6"
"101","CSF3R"
"102","STIP1"
"103","RASSF2"
"104","SORL1"
"105","CHORDC1"
"106","ITGAX"
"107","ATP13A3"
"108","BACH1"
"109","ARHGAP26"
"110","UBXN2B"
"111","SNX10"
"112","CYB5R4"
"113","HSPA1A"
"114","HSPA8"
"115","HSPE1"
"116","SULF2"
"117","HIF1A-AS3"
"118","MTSS1"
"119","AGFG1"
"120","DNAJA1"
"121","B3GNT5"
"122","SLC2A3"
"123","MCTP1"
"124","ABHD15-AS1"
"125","PRKCB"
"126","PAG1"
"127","FMNL1"
"128","DENND1A"
"129","DPYD-AS1"
"130","CMTM6"
"131","C9orf72"
"132","IL17RA"
"133","RIN3"
"134","GPCPD1"
"135","SH3TC1"
"136","PTGES3"
"137","TRIM25"
"138","DYSF"
"139","TYMP"
"140","IFI30"
"141","HAVCR2"
"142","LTA4H"
"143","MIR181A1HG"
"144","RIPOR2"
"145","SBF2"
"146","DHX34"
"147","SPTLC2"
"148","SDCBP"
"149","ATP8B4"
"150","RNF149"
"151","HSP90AB1"
"152","DDX60L"
"153","CSGALNACT2"
"154","MAP2K1"
"155","KSR1"
"156","CHST15"
"157","USP3-AS1"
"158","RHOA"
"159","PSTPIP2"
"160","DPYD"
"161","STAB1"
"162","PRKAG2"
"163","VAV3"
"164","EHBP1L1"
"165","FBXL5"
"166","PTPRJ"
"167","TET2"
"168","SLC36A4"
"169","LPCAT2"
"170","USPL1"
"171","P2RX7"
"172","HIST1H2AC"
"173","H2AFY"
"174","THEMIS2"
