"","x"
"1","SCARA5"
"2","PLA2G2A"
"3","SLC7A14-AS1"
"4","GREB1"
"5","GALNT15"
"6","APOD"
"7","SPOCK1"
"8","BRINP3"
"9","AOX1"
"10","MEDAG"
"11","TEX26-AS1"
"12","GFRA1"
"13","ABCA10"
"14","SLC1A7"
"15","RSPO3"
"16","ADAM33"
"17","ABCA9-AS1"
"18","ADAMTSL1"
"19","ABCA9"
"20","NOVA1"
"21","PAMR1"
"22","KCND2"
"23","PTGIS"
"24","BOC"
"25","PODN"
"26","EPHA3"
"27","PDZRN4"
"28","RARRES1"
"29","NEGR1"
"30","IGF1"
"31","FBLN1"
"32","ADAMTS15"
"33","EBF1"
"34","ABCA6"
"35","CLU"
"36","KIAA1755"
"37","SFRP2"
"38","H19"
"39","LAMA2"
"40","ABCA8"
"41","ANKFN1"
"42","C3"
"43","SVEP1"
"44","ANK2"
"45","ZFPM2"
"46","DCLK1"
"47","ADH1B"
"48","SRPX"
"49","NAV3"
"50","UAP1"
"51","NOX4"
"52","SMOC2"
"53","LEPR"
"54","MEG3"
"55","GASK1A"
"56","CFD"
"57","PDGFD"
"58","CPE"
"59","SLIT3"
"60","PAK3"
"61","MEG8"
"62","NLGN1"
"63","PLCXD3"
"64","TNXB"
"65","ZNF385D"
"66","MGP"
"67","CHRDL1"
"68","SERPINE2"
"69","ABI3BP"
"70","FBN1"
"71","ADAMTSL3"
"72","TMEM132C"
"73","TWIST2"
"74","C7"
"75","ZFPM2-AS1"
"76","CFH"
"77","FREM1"
"78","MIR100HG"
"79","CCDC80"
"80","KLHL13"
"81","CPXM2"
"82","GFPT2"
"83","FBLN2"
"84","SNED1"
"85","DCN"
"86","PAPPA"
"87","CRISPLD2"
"88","STEAP2"
"89","GPX3"
"90","LRFN5"
"91","BICC1"
"92","IGFBP4"
"93","DOK5"
"94","STEAP2-AS1"
"95","PRRX1"
"96","ASPA"
"97","SERPINF1"
"98","SEMA3D"
"99","PDPN"
"100","NID2"
"101","FLRT2"
"102","KAZN"
"103","GHR"
"104","DDR2"
"105","OAF"
"106","PDGFRA"
"107","PRELP"
"108","PTPRS"
"109","RAI2"
"110","LXN"
"111","ADAMTS3"
"112","CEMIP"
"113","ISM1"
"114","EFEMP1"
"115","SYNPO2"
"116","CACNB2"
"117","TSHZ2"
"118","COL14A1"
"119","FSTL1"
"120","BNC2"
"121","FBLN5"
"122","C1R"
"123","FGF7"
"124","ELN"
"125","MEOX2"
"126","RIPOR3"
"127","ITGB8"
"128","PCBP3"
"129","TLN2"
"130","KCND3"
"131","IGFBP7"
"132","SLIT2"
"133","ADAMTS10"
"134","PHLDB1"
"135","PID1"
"136","NID1"
"137","LHFPL6"
"138","PDGFRB"
"139","TMOD1"
"140","LPAR1"
"141","MIR99AHG"
"142","SERPING1"
"143","CAB39L"
"144","HELLPAR"
"145","C1S"
"146","RERG"
"147","DENND2A"
"148","USP53"
"149","UGDH"
"150","BX322234.1"
"151","NBL1"
"152","FIGN"
"153","CACNA2D1"
"154","CMYA5"
"155","GEM"
"156","GLI2"
"157","IL16"
"158","PDZRN3"
"159","C1QTNF7"
"160","FLG-AS1"
"161","BMERB1"
"162","CACNB4"
"163","SPRY1"
"164","MEIS1"
"165","ZNF423"
"166","CCDC102B"
"167","SPON1"
"168","DPYSL3"
"169","DZIP1"
"170","CTTNBP2"
"171","SPSB1"
"172","EVC2"
"173","LMOD1"
"174","CFAP69"
"175","GLI3"
"176","SRPX2"
"177","LRIG3"
"178","DNM1"
"179","PTGDS"
"180","THBS2"
"181","FGFR1"
"182","KCNT2"
"183","SYTL4"
"184","MEGF6"
"185","MMP2"
"186","PBX1"
"187","MFGE8"
"188","RORA"
"189","CLMP"
"190","COL16A1"
"191","ABTB2"
"192","RBMS3"
