"","x"
"1","TM4SF19"
"2","ACP5"
"3","CTSD"
"4","SPP1"
"5","APOC1"
"6","GCHFR"
"7","CSTB"
"8","APOE"
"9","GPNMB"
"10","CCL18"
"11","FTL"
"12","HS3ST2"
"13","CD68"
"14","CTSL"
"15","FABP5"
"16","CYP27A1"
"17","CTSZ"
"18","PLA2G7"
"19","SH3BGRL3"
"20","IFI30"
"21","CAPG"
"22","LIPA"
"23","SLC16A6"
"24","ATP6V0C"
"25","VAT1"
"26","NR1H3"
"27","PSAP"
"28","GM2A"
"29","ITGAX"
"30","ATP6AP1"
"31","GRN"
"32","SDC2"
"33","CCR1"
"34","TSPO"
"35","CCL2"
"36","C1QB"
"37","FTH1"
"38","HMOX1"
"39","LAMP1"
"40","CTSB"
"41","SMIM25"
"42","MARCO"
"43","C1QA"
"44","ATP6V0B"
"45","CD14"
"46","FBP1"
"47","AQP9"
"48","ST18"
"49","TYROBP"
"50","LGMN"
"51","C1QC"
"52","S100A11"
"53","SLC11A1"
"54","MGAT1"
"55","CXCL16"
"56","GPX4"
"57","KIAA0930"
"58","FGR"
"59","LGALS3"
"60","CTSS"
"61","BCAP31"
"62","GRINA"
"63","TPP1"
"64","ZMIZ1-AS1"
"65","PTAFR"
"66","RAP2B"
"67","LAPTM5"
"68","BCL2A1"
"69","SLC26A11"
"70","H2AFY"
"71","PRDX1"
"72","P2RX7"
"73","ATP5F1E"
"74","HLA-DRA"
"75","EMP3"
"76","SLC15A3"
"77","NPL"
"78","VSIG4"
"79","IFI6"
"80","CD81"
"81","PPT1"
"82","PGD"
"83","CREG1"
"84","SLC1A3"
"85","HEXB"
"86","LILRB4"
"87","VIM"
"88","MPP1"
"89","AP2S1"
"90","PLIN2"
"91","VAMP8"
"92","CFL1"
"93","TMEM38B"
"94","LGALS9"
"95","CD300LF"
"96","NCF2"
"97","GK"
"98","GLUL"
"99","LUCAT1"
"100","TNFSF13"
"101","PFN1"
"102","KCNMA1"
"103","ANPEP"
"104","PLA2G15"
"105","FPR3"
"106","DOCK3"
"107","FNIP2"
"108","KMO"
"109","RAB7B"
"110","PCOLCE2"
"111","CEBPB"
"112","IGSF6"
"113","CD63"
"114","TPRG1"
"115","GAS2L3"
"116","RRAGD"
"117","TFRC"
"118","GABARAP"
"119","PLEKHO2"
"120","FCGR3A"
"121","FCER1G"
"122","LYZ"
"123","ITGB2"
"124","ARPC4"
"125","ARPC5"
"126","MAFB"
"127","ITGAM"
"128","TFEC"
"129","ASAH1"
"130","OAZ1"
"131","CDCP1"
"132","CYBB"
"133","EEPD1"
"134","FCGRT"
"135","SIRPA"
"136","TBC1D2"
"137","COLGALT1"
"138","GLIPR2"
"139","S100A4"
"140","GAA"
"141","TDP2"
"142","LILRB3"
"143","ALDH1A2"
"144","NPC2"
"145","RENBP"
"146","ACE"
"147","GK-AS1"
"148","UPP1"
"149","PLAUR"
"150","PLPP3"
"151","SOAT1"
"152","SLC38A6"
"153","HLA-DPA1"
"154","ARHGDIA"
"155","MS4A7"
"156","LAIR1"
"157","LAMTOR1"
"158","NCEH1"
"159","MCOLN1"
"160","OLR1"
"161","CLIC1"
"162","TMSB10"
"163","SDCBP"
"164","ATP6V1B2"
"165","MMP19"
"166","CTSA"
"167","LRPAP1"
"168","TYMP"
"169","SCD"
"170","SLC16A10"
"171","HLA-A"
"172","CD163"
"173","PFDN5"
"174","SEMA3C"
"175","ARHGAP22"
"176","KYNU"
"177","MSR1"
"178","HLA-B"
"179","BLOC1S2"
"180","PTPRO"
"181","RAB20"
"182","PRAM1"
"183","TUBA1C"
"184","PPARG"
"185","ATP6V0D1"
"186","GSTO1"
"187","KCNE1"
"188","PLBD2"
"189","ATP6AP2"
"190","SPNS1"
"191","SLC22A15"
"192","WASHC2C"
"193","RNASEK"
"194","HEXA"
"195","TALDO1"
"196","STX4"
"197","CD74"
"198","ALOX5AP"
"199","DAB2"
"200","SCPEP1"
"201","KCTD12"
"202","CD36"
"203","RMDN3"
"204","SNTB1"
"205","TUBA1B"
"206","RAB5C"
"207","CD276"
"208","IDH1"
"209","DPP7"
"210","UNC93B1"
"211","MERTK"
"212","RASGEF1B"
"213","SERF2"
"214","FMN1"
"215","PLD3"
"216","ACSL1"
"217","SLC7A7"
"218","CD109"
"219","APLP2"
"220","SNX10"
"221","ZNF804A"
"222","M6PR"
"223","EFHD2"
"224","SPI1"
"225","RNF13"
"226","MRAS"
"227","SLCO2B1"
"228","TGFBI"
"229","APH1A"
"230","TMSB4X"
"231","ARPC1B"
"232","DMXL2"
"233","P2RX4"
"234","SLC36A1"
"235","MFSD12"
"236","EIF4A1"
"237","C5AR1"
"238","SGK1"
"239","ACTB"
"240","TCIRG1"
"241","FPR1"
"242","NUCB1"
"243","LPL"
"244","GNS"
"245","ARL6IP1"
"246","MRC1"
"247","VAC14"
"248","RNH1"
"249","CCDC88A"
"250","S100A6"
"251","NDUFA13"
"252","TIAM1"
"253","LAMP2"
"254","GNG10"
"255","METRNL"
"256","PCBP1"
"257","IRAK1"
"258","LDLRAD3"
"259","LNCAROD"
"260","ABR"
"261","LHFPL2"
"262","B2M"
"263","BAX"
"264","MITF"
"265","SMS"
"266","TNFRSF14"
"267","HLA-DQB1"
"268","FERMT3"
"269","CD84"
"270","CYBA"
"271","ADA2"
"272","ARL8A"
"273","CLN8"
"274","PSMA7"
"275","EMILIN2"
"276","HLA-DRB5"
"277","NUPR1"
"278","SLC31A1"
"279","HLA-DRB1"
"280","PI4K2A"
"281","TLR1"
"282","CEP170"
"283","GLDN"
"284","FKBP15"
"285","MFSD1"
"286","ADAP2"
"287","ANKUB1"
"288","CORO1C"
"289","CLCN7"
"290","NLN"
"291","TMBIM1"
"292","PLEKHB2"
"293","SCARB1"
"294","SYNGR2"
"295","HAVCR2"
"296","BLVRB"
"297","TMEM127"
"298","CST3"
"299","TXN"
"300","USF2"
"301","HLA-DMB"
"302","ABHD12"
"303","TTYH3"
"304","HLA-DPB1"
"305","PEBP1"
"306","ARSG"
"307","MYADM"
"308","TAGLN2"
"309","TMEM51"
"310","MYL6"
"311","NABP1"
"312","ANXA5"
"313","ST14"
"314","PPIA"
"315","SLC7A8"
"316","MS4A4A"
"317","CD164"
"318","ACTG1"
