"","x"
"1","TIMP1"
"2","SPARC"
"3","ISLR"
"4","COL1A1"
"5","BGN"
"6","MXRA5"
"7","LGALS1"
"8","RPL39"
"9","COL3A1"
"10","MIF"
"11","TMEM119"
"12","FMOD"
"13","CD248"
"14","COL6A1"
"15","OLFML3"
"16","THY1"
"17","SFRP2"
"18","EMILIN1"
"19","RPS13"
"20","LUM"
"21","RPL32"
"22","CTHRC1"
"23","IFITM3"
"24","OST4"
"25","COL1A2"
"26","RPL29"
"27","IFITM2"
"28","PCOLCE"
"29","RPL36"
"30","CKAP4"
"31","RARRES2"
"32","SELENOM"
"33","MT2A"
"34","UBA52"
"35","RPS12"
"36","RPL18A"
"37","S100A16"
"38","RPL27"
"39","LOX"
"40","NME2"
"41","GPX8"
"42","RPS18"
"43","RPS14"
"44","CHPF"
"45","RPLP1"
"46","RPL27A"
"47","RPS23"
"48","COL6A2"
"49","FBLN2"
"50","DPT"
"51","MT1E"
"52","MFAP2"
"53","TMSB10"
"54","RPLP0"
"55","RPL23"
"56","MAP1A"
"57","RPS2"
"58","MMP2"
"59","EEF1A1"
"60","CCDC80"
"61","RPL30"
"62","MFAP4"
"63","RPL41"
"64","CYP1B1"
"65","RPS17"
"66","S100A6"
"67","RPL37"
"68","RPL35A"
"69","RPL34"
"70","PPIC"
"71","RPL13"
"72","GAPDH"
"73","RPS5"
"74","RPL9"
"75","SERPINE2"
"76","PTGDS"
"77","RPL35"
"78","EFEMP2"
"79","MMP23B"
"80","RPLP2"
"81","NDUFA4"
"82","RPS3"
"83","RPS4X"
"84","SOD3"
"85","RPL26"
"86","EIF5A"
"87","RPS11"
"88","FAU"
"89","RPS19"
"90","RPL18"
"91","CERCAM"
"92","CTSK"
"93","RPL7A"
"94","CAVIN1"
"95","MXRA8"
"96","CST3"
"97","SERPINF1"
"98","TAX1BP3"
"99","RPL8"
"100","G0S2"
"101","RPS15"
"102","IGFBP6"
"103","FSTL1"
"104","COX6A1"
"105","EEF1G"
"106","MMP14"
"107","RPS26"
"108","RPL38"
"109","RPL7"
"110","PRDX5"
"111","FKBP10"
"112","RPS27A"
"113","RPS6"
"114","RPL28"
"115","PHPT1"
"116","RPL19"
"117","RPS3A"
"118","RPL13A"
"119","RPL10"
"120","RPL15"
"121","RPS27"
"122","EVA1B"
"123","IGFBP4"
"124","TUBA1B"
"125","P3H3"
"126","CXCL12"
"127","RPS25"
"128","VKORC1"
"129","COL15A1"
"130","PPIB"
"131","RPL3"
"132","TPT1"
"133","PTMS"
"134","RPL37A"
"135","COL5A1"
"136","PPDPF"
"137","RPL10A"
"138","AEBP1"
"139","LGALS3BP"
"140","RTL8C"
"141","PPP1R14B"
"142","RPS28"
"143","SERF2"
"144","GPC1"
"145","DCN"
"146","PPIA"
"147","TOMM7"
"148","RPS29"
"149","CLU"
"150","RPL24"
"151","C1R"
"152","UBL5"
"153","RPL6"
"154","MT1X"
"155","KDELR2"
"156","POLR2L"
"157","EEF2"
"158","RPSA"
"159","ACTG1"
"160","RCN3"
"161","MGP"
"162","RPL4"
"163","CLEC11A"
"164","RPS21"
"165","RAN"
"166","RPL12"
"167","RPL23A"
"168","FN1"
"169","SSC5D"
"170","TUBB"
"171","SEC61G"
"172","TAGLN"
"173","RPS20"
"174","RPS7"
"175","ACTB"
"176","ATP5F1E"
"177","RPL11"
"178","PTX3"
"179","MYL6"
"180","TMSB4X"
"181","HTRA1"
"182","ICMT"
"183","RPL21"
"184","COL6A3"
"185","FSCN1"
"186","CRTAP"
"187","LY6E"
"188","GABARAP"
"189","RPS16"
"190","NDUFS5"
"191","RAB34"
"192","RPS8"
"193","SERPINH1"
"194","RPL36A"
"195","RABAC1"
"196","RCN1"
"197","C1S"
"198","RPL14"
"199","CCDC71L"
"200","NBL1"
"201","GSTP1"
"202","CDK2AP1"
"203","CCDC85B"
"204","S100A13"
"205","RPS24"
"206","THBS2"
"207","SERPING1"
"208","CAMK2N1"
"209","DYNLL1"
"210","TPI1"
"211","IMPDH2"
"212","PFN1"
"213","SLC25A6"
"214","MARCKS"
"215","POSTN"
"216","RPS15A"
"217","PSMB4"
"218","C11orf96"
"219","S100A11"
"220","CD63"
"221","RACK1"
"222","EHD2"
"223","SSR4"
"224","PODN"
"225","COX7C"
"226","P4HB"
"227","VIM"
"228","SFRP4"
"229","COX8A"
"230","RPS9"
"231","EEF1B2"
"232","UQCR11"
"233","FBLN1"
"234","SRP14"
"235","PRELID1"
"236","RPL17"
"237","PRELP"
"238","MRC2"
"239","RPL22"
"240","EDF1"
"241","S100A10"
"242","TMEM47"
"243","RHOC"
"244","MARVELD1"
"245","CHRDL1"
"246","IGFBP5"
"247","TPM2"
"248","CAPNS1"
"249","TNC"
"250","SH3BGRL3"
"251","CFL1"
"252","COX4I1"
"253","SNRPF"
"254","UQCRB"
"255","TAGLN2"
"256","ATP5F1D"
"257","RAB13"
"258","PTGFRN"
"259","FP236383.3"
"260","CES1"
"261","A2M"
"262","BSG"
"263","TMA7"
"264","TUBA1A"
"265","SHC1"
"266","CD81"
"267","MRFAP1"
"268","H2AFJ"
"269","HNRNPA0"
"270","MYL9"
"271","ANGPTL2"
"272","C4orf3"
"273","CCN4"
"274","CHCHD2"
"275","MICOS10"
"276","RPL36AL"
"277","CALM3"
"278","RPL5"
"279","SLC39A7"
"280","MXRA7"
"281","ATP5ME"
"282","RPL31"
"283","AP2M1"
"284","MZT2B"
"285","MYL12B"
"286","GXYLT2"
"287","LRRC59"
"288","NR2F1"
"289","BEX3"
"290","PDLIM2"
"291","PRDX1"
"292","CCN2"
"293","LTBP2"
"294","SELENOP"
"295","NDUFA13"
"296","CALR"
"297","FKBP9"
"298","DEPP1"
"299","CD151"
"300","RNF187"
"301","COL5A3"
"302","CCND1"
"303","TUBA1C"
"304","AP2S1"
"305","NACA"
"306","MAP1B"
"307","EID1"
"308","IGFBP7"
"309","FTH1"
"310","NOP53"
"311","MYL12A"
"312","CFD"
"313","TIMP2"
"314","MAZ"
"315","CTDNEP1"
"316","DKK3"
"317","CDKN1A"
"318","GJA1"
"319","IL32"
"320","VGLL3"
"321","SOX4"
"322","MFGE8"
"323","SDF4"
"324","NFIX"
"325","IFI6"
"326","PEBP1"
"327","S100A4"
"328","ATP5MC3"
"329","TMED2"
"330","CCN1"
"331","TMED9"
"332","EIF1"
"333","FKBP14"
"334","GPX3"
"335","LAPTM4A"
"336","ALDH1A3"
"337","GPX4"
"338","P3H1"
"339","TGM2"
"340","PIGT"
"341","SNHG16"
"342","FSTL3"
"343","CYB5R3"
"344","ACTA2"
"345","MLF2"
"346","EEF1D"
"347","PDIA4"
"348","PRNP"
"349","NCL"
"350","DDOST"
"351","CLIC1"
"352","CSRP1"
"353","EMP3"
"354","PRKCSH"
"355","SUMO3"
"356","UBB"
"357","ITPRIPL2"
"358","SELENOH"
"359","COL14A1"
"360","LMAN2"
"361","PKM"
"362","EI24"
"363","ATP5F1B"
"364","COL16A1"
"365","NORAD"
"366","NUPR1"
"367","NNMT"
"368","PEA15"
"369","FLNA"
"370","COX6C"
"371","JTB"
"372","ATP5MG"
"373","TUFM"
"374","ISCU"
"375","PDGFRB"
"376","GNB2"
"377","NR2F2"
"378","RPN1"
"379","SLC1A5"
"380","SNHG29"
"381","ATOX1"
"382","LAMTOR1"
"383","OAZ1"
"384","SLC25A3"
"385","TSPO"
"386","CALU"
"387","IGF1"
"388","SURF4"
"389","PCBP1"
"390","SET"
"391","SUMO2"
"392","GUK1"
"393","CNN2"
"394","ARHGDIA"
"395","B2M"
"396","PRSS23"
"397","ENC1"
"398","COL5A2"
"399","TCEAL9"
"400","OSTC"
"401","NPM1"
"402","MCRIP1"
"403","BACE1"
"404","PTK7"
"405","KDELR1"
"406","NOTCH3"
"407","CD59"
"408","NDUFS6"
"409","MYDGF"
"410","APOL1"
"411","SSR2"
"412","PTMA"
"413","PLOD1"
"414","LRP10"
"415","LAMB2"
"416","TCEAL4"
"417","SELENON"
"418","MOXD1"
"419","FKBP8"
"420","THBS1"
"421","PDIA3"
"422","ATP5MC2"
"423","SRPRB"
"424","C7"
"425","NEDD8"
"426","HMGN2"
"427","ANGPTL4"
"428","CD276"
"429","FTL"
"430","CD82"
"431","C3"
"432","MLEC"
"433","METTL7A"
"434","PFDN5"
"435","PTGIS"
"436","IER3"
"437","EIF3F"
"438","BAX"
"439","CHID1"
"440","TRIR"
"441","SPON2"
"442","TMED7"
"443","PPP2R1A"
"444","LBH"
"445","P4HA2"
"446","ADH1B"
"447","TMBIM6"
"448","ANXA5"
"449","OAT"
"450","ZCCHC24"
"451","LDHA"
"452","SPON1"
"453","HSPB1"
"454","SHISA5"
"455","PSMA4"
"456","IMPAD1"
"457","SULF1"
"458","CD4"
"459","ADH5"
"460","HLA-A"
"461","PDIA6"
"462","ZMAT3"
"463","PTPA"
"464","SEC61B"
"465","SSR3"
"466","CYBRD1"
"467","ATP6V1G1"
"468","SPARCL1"
"469","ATP6AP2"
"470","CREB3L1"
"471","LDHB"
"472","SPRY1"
"473","RARRES1"
"474","ERP29"
"475","FBN1"
"476","ZFP36L1"
"477","ITGB1"
"478","LRP1"
"479","HSP90B1"
"480","JUNB"
"481","CEBPD"
"482","HLA-B"
"483","SSR1"
"484","GASK1B"
"485","SEC61A1"
"486","ITGB5"
"487","PXDN"
"488","SELENOW"
"489","RND3"
"490","CBX6"
"491","NID1"
"492","RNH1"
"493","SOD2"
"494","RPS27L"
"495","FBLIM1"
"496","ALDH1L2"
"497","ARF6"
"498","CANX"
"499","INHBA"
"500","LTBP3"
"501","QSOX1"
"502","LEPROT"
"503","PA2G4"
"504","BST2"
"505","ARPC4"
"506","JUND"
"507","TMEM167A"
"508","TLE5"
"509","TMEM176B"
"510","UGDH"
"511","YBX1"
"512","TCAF1"
"513","NFE2L1"
"514","APH1A"
"515","ATF4"
"516","HGF"
"517","CTSA"
"518","PSMA7"
"519","KCTD12"
"520","DDIT4"
"521","HNRNPA1"
"522","CEBPB"
"523","FAP"
"524","GANAB"
"525","HNRNPAB"
"526","SZRD1"
"527","RHOB"
"528","PRDX6"
"529","H3F3B"
"530","GPC3"
"531","HSPA5"
"532","CCT5"
"533","EFEMP1"
"534","TPM4"
"535","EIF4B"
"536","KANK2"
"537","BZW1"
"538","SERPINE1"
"539","NUCB1"
"540","TWSG1"
"541","EPN1"
"542","SLC39A14"
"543","UBC"
"544","EIF4A1"
"545","SRP9"
"546","HSP90AB1"
"547","TOMM20"
"548","H3F3A"
"549","RCN2"
"550","TMED10"
"551","COL4A1"
"552","LMAN1"
"553","ERGIC3"
"554","ENO1"
"555","PAPPA"
"556","FBLN5"
"557","EGR1"
"558","EIF4G2"
"559","PLXNB2"
"560","EIF1AX"
"561","ARF4"
"562","NUCKS1"
"563","VDAC1"
"564","ARPC1B"
"565","ADAMTS1"
"566","CALM1"
"567","PRRX1"
"568","HDGF"
"569","ADAM12"
"570","ARCN1"
"571","SRPX2"
"572","RPN2"
"573","HSPA1B"
"574","FGD5-AS1"
"575","ARF1"
"576","TMEM30A"
"577","DR1"
"578","ARL6IP1"
"579","CRISPLD2"
"580","CALM2"
"581","ITM2B"
"582","ZFP36L2"
"583","SEPTIN11"
"584","VCAN"
"585","ELN"
"586","SLC40A1"
"587","FRMD6"
"588","IL6ST"
"589","RBM3"
"590","PABPC1"
"591","FAT1"
"592","LAMP1"
"593","TPP1"
"594","CFH"
"595","TXLNA"
"596","GOLM1"
"597","MYADM"
"598","PLEC"
"599","SCPEP1"
"600","HNRNPK"
"601","CCND2"
"602","RAB5C"
"603","PLTP"
"604","SOCS3"
"605","MAP2K2"
"606","OS9"
"607","GAS5"
"608","JUN"
