"","x"
"1","CPA3"
"2","MS4A2"
"3","KIT"
"4","CDK15"
"5","HDC"
"6","TPSB2"
"7","SIGLEC6"
"8","SLC18A2"
"9","SLC8A3"
"10","HPGDS"
"11","GLOD5"
"12","RGS13"
"13","CADPS"
"14","RAB44"
"15","LRP1B"
"16","CACNA1H"
"17","ENPP3"
"18","GATA2"
"19","TMEM233"
"20","VWC2"
"21","SLC24A3"
"22","SLC38A11"
"23","KIAA1549"
"24","TMEM266"
"25","IL18R1"
"26","IL1RL1"
"27","PTGS1"
"28","RYR3"
"29","MED12L"
"30","PZP"
"31","CT69"
"32","GALC"
"33","VWA5A"
"34","FERMT1"
"35","P2RY14"
"36","PIK3R6"
"37","ADAM12"
"38","CTTNBP2"
"39","HPGD"
"40","P2RX1"
"41","MTCL1"
"42","GPAT3"
"43","PDE7B"
"44","CD22"
"45","ST8SIA6-AS1"
"46","RAB27B"
"47","TESPA1"
"48","CCDC60"
"49","MAOB"
"50","SLC26A2"
"51","PAQR3"
"52","SYTL3"
"53","PRKX-AS1"
"54","EDARADD"
"55","IFITM10"
"56","PRKCA-AS1"
"57","BMP2K"
"58","GRAP2"
"59","AREG"
"60","HS6ST1"
"61","TMEFF2"
"62","PPM1H"
"63","RHEX"
"64","TMEM44"
"65","NRCAM"
"66","NDST2"
"67","ST8SIA6"
"68","SCIN"
"69","NDEL1"
"70","STXBP6"
"71","CBFA2T3"
"72","KCNIP1"
"73","SPECC1"
"74","STX3"
"75","FER"
"76","EMID1"
"77","ALS2"
"78","GPR65"
"79","ITGA9"
"80","PLCL1"
"81","CD69"
"82","ABCC4"
"83","ELOVL7"
"84","ITGA9-AS1"
"85","TMOD1"
"86","EPB41L1"
"87","BCL11A"
"88","PRELID2"
"89","DIP2C"
"90","OSBPL6"
"91","ARHGEF6"
"92","PDE3A"
"93","KREMEN1"
"94","ATP6V0A2"
"95","CSF1"
"96","PRSS12"
"97","LAX1"
"98","LEO1"
"99","MARCH3"
"100","SOX13"
"101","PRKX"
"102","ST8SIA1"
"103","RPP38"
"104","SLC4A8"
"105","TSEN54"
"106","ADGRE2"
"107","RHOH"
