"","x"
"1","GRIA1"
"2","ADAMTS8"
"3","ROBO2"
"4","FAT3"
"5","PCDH15"
"6","ADRA1A"
"7","KCTD16"
"8","ANO3"
"9","DPP6"
"10","SMIM41"
"11","TARID"
"12","COL6A6"
"13","SCN7A"
"14","RANBP3L"
"15","GPM6B"
"16","PHACTR3"
"17","ANO1"
"18","MUSK"
"19","COL13A1"
"20","NFASC"
"21","NTNG1"
"22","ITGA8"
"23","NKD1"
"24","CACNA1D"
"25","HPSE2"
"26","HMGCLL1"
"27","MYH10"
"28","PKNOX2"
"29","SLC16A12"
"30","CDH13"
"31","ELN"
"32","SLIT2"
"33","GPC3"
"34","NKD2"
"35","MAOB"
"36","PKN2-AS1"
"37","ADGRB3"
"38","GRIK4"
"39","PLEKHH2"
"40","COL21A1"
"41","ARHGAP6"
"42","DENND2A"
"43","ADAMTS17"
"44","BMP5"
"45","TNXB"
"46","TRPC6"
"47","FMO2"
"48","RERG"
"49","FHL1"
"50","ANGPT1"
"51","CAB39L"
"52","RYR2"
"53","ADAMTSL2"
"54","EDNRA"
"55","KCNS3"
"56","CNKSR2"
"57","TRPC4"
"58","ADAMTSL3"
"59","MAMDC2"
"60","GALNT17"
"61","NR2F2-AS1"
"62","GFPT2"
"63","SVEP1"
"64","CCBE1"
"65","CRISPLD2"
"66","FRAS1"
"67","FBLN5"
"68","SGIP1"
"69","BMPER"
"70","SGCD"
"71","SYN3"
"72","ROBO1"
"73","DKK3"
"74","ADAMTS12"
"75","CACNA2D3"
"76","NEGR1"
"77","FREM1"
"78","MEOX2"
"79","SLIT3"
"80","C1QTNF7"
"81","NHSL2"
"82","TBX5"
"83","HIF3A"
"84","TRHDE"
"85","PTPRS"
"86","ITGBL1"
"87","ABCA6"
"88","TENM1"
"89","PIEZO2"
"90","IL16"
"91","ANK2"
"92","LTBP4"
"93","DOK6"
"94","NID1"
"95","ADARB1"
"96","MYLK"
"97","LAMA4"
"98","CACNA1C"
"99","TLE2"
"100","ULK4"
"101","PRKG1"
"102","LSAMP"
"103","USP53"
"104","HMCN1"
"105","PDLIM3"
"106","RGCC"
"107","ARHGAP20"
"108","EOGT"
"109","NR2F1-AS1"
"110","AOX1"
"111","MAMDC2-AS1"
"112","ABI3BP"
"113","LMCD1"
"114","MINDY4"
"115","TMEM108"
"116","DYNC2LI1"
"117","GHR"
"118","ADAMTS9-AS2"
"119","FOSB"
"120","DCC"
"121","ABCA8"
"122","LRFN5"
"123","PALLD"
"124","ARHGAP28"
"125","TENM3"
"126","ESRRG"
"127","SAMD5"
"128","PGAP1"
"129","IQCN"
"130","RNF217-AS1"
"131","ABCA9"
"132","SPON1"
"133","PDZRN3"
"134","SERPINE1"
"135","FGF14"
"136","CASS4"
"137","FILIP1"
"138","MACF1"
"139","NALCN"
"140","SH3D19"
"141","LAMB1"
"142","SLC19A2"
"143","NEXN"
"144","TBX2"
"145","UNC5C"
"146","NCAM2"
"147","UACA"
"148","SPSB1"
"149","VEGFC"
"150","CACNB2"
"151","ITGA2"
"152","LMCD1-AS1"
"153","AASS"
"154","PER2"
"155","PTPRQ"
"156","ABCA9-AS1"
"157","TIMP3"
"158","PRR16"
"159","FLG-AS1"
"160","RARB"
"161","CCN2"
