"","x"
"1","REG4"
"2","TFF1"
"3","SSTR5-AS1"
"4","OLFM4"
"5","ONECUT3"
"6","CDHR2"
"7","MUC3A"
"8","MYBPC1"
"9","IL1RAPL2"
"10","B3GNT6"
"11","CEACAM5"
"12","PADI1"
"13","USH1C"
"14","ARHGEF4"
"15","B3GALT5"
"16","TRIM31"
"17","ONECUT2"
"18","MUC5AC"
"19","NOX1"
"20","FER1L6"
"21","GCNT3"
"22","MGAM2"
"23","FER1L6-AS1"
"24","MYO1A"
"25","MUC17"
"26","SIM2"
"27","GNGT1"
"28","MUC13"
"29","LGALS4"
"30","TRIM31-AS1"
"31","CDH17"
"32","AF064860.1"
"33","GABRP"
"34","PTPRH"
"35","EPS8L3"
"36","PRSS3"
"37","TDRD1"
"38","HNF4A-AS1"
"39","HNF4A"
"40","CLDN10-AS1"
"41","ATP10B"
"42","MYEOV"
"43","COL17A1"
"44","FER1L6-AS2"
"45","CASC9"
"46","NGEF"
"47","RGS6"
"48","POF1B"
"49","HNF1A-AS1"
"50","FCGBP"
"51","PITX1"
"52","CYP2C19"
"53","PTPRN2"
"54","CYP2C18"
"55","SYTL5"
"56","ERN2"
"57","NTSR1"
"58","B3GNT3"
"59","FAM3D"
"60","FA2H"
"61","XDH"
"62","CLDN10"
"63","MUC16"
"64","MUC5B"
"65","CYP19A1"
"66","TSPAN8"
"67","ANXA10"
"68","SMPD3"
"69","CYP3A5"
"70","BAIAP2L2"
"71","FUT3"
"72","MIR4713HG"
"73","MIR31HG"
"74","BBOX1-AS1"
"75","VIL1"
"76","GDA"
"77","DUOX2"
"78","GPR35"
"79","BCAS1"
"80","MYO7B"
"81","HNF4G"
"82","DHRS9"
"83","PTPRR"
"84","IGF2BP3"
"85","CBLC"
"86","PROM2"
"87","HSD17B2"
"88","MIR2052HG"
"89","LEMD1"
"90","PLEKHA6"
"91","TMPRSS4"
"92","CAPN9"
"93","GRIA3"
"94","AQP5"
"95","TRIM29"
"96","XKR9"
"97","ANKRD36C"
"98","TRNP1"
"99","PLAT"
"100","TMPRSS3"
"101","SLC5A1"
"102","TOX3"
"103","ITGB4"
"104","CAPN5"
"105","PTK6"
"106","FERMT1"
"107","KCNH8"
"108","STS"
"109","SYT8"
"110","CEACAM1"
"111","INAVA"
"112","SLC38A11"
"113","BTNL8"
"114","PLEKHH1"
"115","EPS8L1"
"116","GRIN2D"
"117","CLDN4"
"118","MROH6"
"119","SLC6A20"
"120","FHL2"
"121","CDKN2A"
"122","ERBB3"
"123","PLPP2"
"124","EFNB1"
"125","ASS1"
"126","MST1R"
"127","SPNS2"
"128","TMEM45B"
"129","FAM83E"
"130","RHPN2"
"131","ADGRF1"
"132","PLS1"
"133","SPIRE2"
"134","DLEU7"
"135","AMN"
"136","GRTP1"
"137","SLC44A5"
"138","GPX2"
"139","ELF3"
"140","KRT19"
"141","KCP"
"142","MUC4"
"143","STX1A"
"144","SLC28A3"
"145","SLC44A4"
"146","PLA2R1"
"147","AGR2"
"148","TMEM178B"
"149","TSPAN1"
"150","SULT1C2"
"151","ABHD17C"
"152","VILL"
"153","MYRF"
"154","AHNAK2"
"155","UPRT"
"156","EPCAM"
"157","KLF5"
"158","HKDC1"
"159","ABHD11"
"160","APOL1"
"161","TMC7"
"162","RAMP1"
"163","BACE2"
"164","PKP2"
"165","CDC42EP5"
"166","ANO1"
"167","CAPN8"
"168","S100A14"
"169","NPAS2"
"170","SYNPR"
"171","PCDH1"
"172","MYH14"
"173","FRMD5"
"174","BICDL2"
"175","ATP7B"
"176","TJP3"
"177","DUSP4"
"178","CEACAM6"
"179","TSPAN15"
"180","TNFAIP8L3"
"181","PRSS8"
"182","PRRT2"
"183","GALNT5"
"184","DSG2"
"185","ITGA6"
"186","SLC12A2"
"187","SLC7A11"
"188","GOLM1"
"189","SLCO4A1"
"190","PROM1"
"191","SERINC2"
"192","SDCBP2"
"193","TMEM184A"
"194","FAM155A"
"195","LPCAT4"
"196","MUC20"
"197","LIPH"
"198","FAM83H"
"199","SLC14A1"
"200","DSP"
"201","NET1"
"202","TNFRSF11A"
"203","BAIAP2L1"
"204","RNF128"
"205","EPHA2"
"206","PAX8-AS1"
"207","EPHB4"
"208","MLPH"
"209","SHF"
"210","SLC26A9"
"211","PCSK6"
"212","STYK1"
"213","STPG4"
"214","SH3RF2"
"215","KCNK1"
"216","ARHGEF28"
"217","CDH3"
"218","TGFA"
"219","DUXAP8"
"220","LAMB3"
"221","LSR"
"222","PRELID2"
"223","LGR4"
"224","PAX8"
"225","DUSP5"
"226","ABO"
"227","HK2"
"228","CATSPERB"
"229","GMDS"
"230","GRB7"
"231","CA12"
"232","CREB3L1"
"233","GAN"
"234","GTF2A2"
"235","RAB40B"
"236","DLG3"
"237","SEMA4B"
"238","CLDN7"
"239","MIR924HG"
"240","EGLN3"
"241","EPB41L1"
"242","HEPH"
"243","C6orf132"
"244","LRP5"
"245","SYT1"
"246","MTCL1"
"247","SAMD12-AS1"
"248","RHBDL2"
"249","TMC5"
"250","SLC2A10"
"251","CLDN12"
"252","LNX1"
"253","KIAA1324"
"254","TMC4"
"255","SPINT1"
"256","AGAP1"
"257","GREB1L"
"258","STEAP2-AS1"
"259","ARHGAP8"
"260","RASSF6"
"261","DEPTOR"
"262","SHROOM1"
"263","INF2"
"264","ATP2C2"
"265","SCIN"
"266","CCSER1"
"267","MACC1"
"268","PIK3C2B"
"269","JUP"
"270","MYO5B"
"271","ERBB2"
"272","CASC19"
"273","ICA1"
"274","TACSTD2"
"275","PLEKHA7"
"276","CEP170B"
"277","C4orf19"
"278","DLEU1"
"279","SH2D3A"
"280","ESRP1"
"281","B4GALNT3"
"282","ATP1B1"
"283","MALL"
"284","CNNM4"
"285","ST8SIA6-AS1"
"286","AGFG2"
"287","C5orf66"
"288","EPHA4"
"289","MYOM1"
"290","SCOC"
"291","CD24"
"292","PYGB"
"293","INPP1"
"294","RNF43"
"295","SH3BGRL2"
"296","PTPRF"
"297","LAMC2"
"298","MET"
"299","TRPM4"
"300","SLC45A4"
"301","MAL2-AS1"
"302","TCF7L2"
"303","KIAA1211"
"304","SULF2"
"305","EPS8L2"
"306","ZFPM2-AS1"
"307","RARG"
"308","ABCC3"
"309","MAL2"
"310","FAAH2"
"311","ADGRG6"
"312","CFTR"
"313","GPR39"
"314","ARL17B"
"315","POMGNT1"
