"","x"
"1","RNFT2"
"2","SERPINA9"
"3","PAX5"
"4","AFF2"
"5","DTX1"
"6","CR2"
"7","CD22"
"8","C17orf99"
"9","BFSP2"
"10","MIR3681HG"
"11","GALNT14"
"12","MS4A1"
"13","CD79B"
"14","BFSP2-AS1"
"15","RGS13"
"16","LRMP"
"17","KLHL14"
"18","CNR2"
"19","FAM81A"
"20","BACH2"
"21","P2RX5"
"22","TLR10"
"23","TNFRSF13C"
"24","P2RY12"
"25","BLK"
"26","MND1"
"27","BCL7A"
"28","BCL11A"
"29","NUGGC"
"30","NIBAN3"
"31","IGF2BP3"
"32","LY86-AS1"
"33","FANCA"
"34","TERF2"
"35","KCNK12"
"36","BPNT1"
"37","KLHL6-AS1"
"38","CDCA7"
"39","CEBPZOS"
"40","MYBL2"
"41","LTB"
"42","LMO2"
"43","PBK"
"44","SLCO5A1"
"45","MYBL1"
"46","GCSAM"
"47","SHCBP1"
"48","KCNH8"
"49","EML6"
"50","PPM1E"
"51","TSBP1"
"52","FCRL1"
"53","WDR66"
"54","TMEM131L"
"55","ITPKB-AS1"
"56","ASB13"
"57","E2F8"
"58","BCAS4"
"59","FCRL2"
"60","TVP23A"
"61","KCNQ5"
"62","HMCES"
"63","UGT8"
"64","VNN2"
"65","STAP1"
"66","FCRL3"
"67","BUB1B"
"68","KIF18B"
"69","EBF1"
"70","SUSD3"
"71","SGO1"
"72","ADAM23"
"73","UHRF2"
"74","CNR1"
"75","FAM111B"
"76","BRIP1"
"77","RABEP2"
"78","MSH6"
"79","AURKB"
"80","RAD54L"
"81","WDR76"
"82","NEIL3"
"83","TSBP1-AS1"
"84","SMIM20"
"85","MME"
"86","CDCA2"
"87","CLSPN"
"88","GTSE1"
"89","TPX2"
"90","PDGFD"
"91","EFCAB5"
"92","LRRK1"
"93","NEIL1"
"94","KHDC1"
"95","KNL1"
"96","CD40"
"97","GRAMD1C"
"98","HMMR"
"99","LOXL2"
"100","SGO2"
"101","SLC9A7"
"102","E2F5"
"103","SLC2A5"
"104","AFF3"
"105","BRI3BP"
"106","KLHL6"
"107","LY86"
"108","RHEX"
"109","WDR62"
"110","CD37"
"111","TMEM156"
"112","PRPSAP2"
"113","MED12L"
"114","RRM2"
"115","ASPM"
"116","STIL"
"117","DEPDC1B"
"118","NCAPG"
"119","NUF2"
"120","SH2B2"
"121","RASGRP3"
"122","SAMD12"
"123","POU2F2"
"124","CCDC138"
"125","ANGPTL1"
"126","KIAA1211"
"127","GEN1"
"128","TOP2A"
"129","SEL1L3"
"130","DEF8"
"131","POLQ"
"132","MNS1"
"133","CLCN4"
"134","MEF2C-AS2"
"135","CENPI"
"136","MELK"
"137","KIF11"
"138","ERVMER61-1"
"139","DLGAP5"
"140","NDC80"
"141","LIN9"
"142","IL21R"
"143","RHOH"
"144","MICAL3"
"145","SGPP1"
"146","DCK"
"147","TMED8"
"148","MSH2"
"149","HVCN1"
"150","MKI67"
"151","CENPE"
"152","NDC1"
"153","CENPU"
"154","IRF8"
"155","KLRB1"
"156","IL12RB1"
"157","TOX"
"158","HS2ST1"
"159","FANCI"
"160","HELLS"
"161","RMI2"
"162","KIF23"
"163","AIM2"
"164","ADGRG5"
"165","MAP4K2"
"166","HLA-DQA1"
"167","RFTN1"
"168","NUSAP1"
"169","KIF18A"
"170","PRR11"
"171","STRBP"
"172","KIF4A"
"173","DTL"
"174","MCM3"
"175","ZC3H12D"
"176","SPRED2"
"177","RUBCNL"
"178","CCDC126"
"179","APOLD1"
"180","BUB1"
"181","ARHGAP11B"
"182","IP6K2"
"183","CPNE5"
"184","FAM30A"
"185","ZBTB20-AS5"
"186","HLA-DQB1"
"187","CCNF"
"188","P2RY8"
"189","EAF2"
"190","SYPL1"
"191","NCAPH"
"192","RGS9"
"193","OMD"
"194","LPP"
"195","DNAJC10"
"196","CIP2A"
"197","ZNF318"
"198","HDAC9"
"199","PLEKHF2"
"200","KIF15"
"201","UBE2J1"
"202","MBNL1-AS1"
"203","CENPF"
"204","IFNLR1"
"205","BLNK"
"206","A4GALT"
"207","OSBPL10"
"208","RABGAP1L"
"209","GPR137C"
"210","FANCD2"
"211","ATP2A3"
"212","UGDH-AS1"
"213","GPR160"
"214","PRDM15"
"215","MEF2C"
"216","SCIMP"
"217","WDHD1"
"218","TCF3"
"219","ZNF827"
"220","LIMD2"
"221","NLK"
"222","SLC4A8"
"223","EZH2"
"224","MEF2B"
"225","C2orf88"
"226","RBM38"
"227","QSOX2"
"228","UHRF1"
"229","HLA-DRB5"
"230","FAM3C"
"231","RRAS2"
"232","TPD52"
"233","ZCCHC7"
"234","USP6NL"
"235","FAM106A"
"236","ERI2"
"237","CCDC69"
"238","ZFAND4"
"239","MYO1E"
"240","LBR"
"241","TASOR2"
"242","POLH"
"243","Z94721.1"
"244","QRSL1"
"245","SP140"
"246","SWAP70"
"247","ZNF608"
"248","RALGPS2"
"249","PRC1"
"250","IKZF3"
"251","LAT2"
"252","MEF2C-AS1"
"253","BASP1"
"254","STAG2"
"255","SMC2"
"256","MCM8"
"257","CPB2-AS1"
"258","ATAD5"
"259","CIT"
"260","DNMT1"
"261","MTBP"
"262","DAPP1"
"263","DOK3"
"264","NCF1"
"265","RFC3"
"266","POU2AF1"
"267","ANKRD33B"
"268","CD53"
"269","HLA-DMA"
"270","TACC3"
"271","KATNAL1"
"272","RAC2"
"273","SLC9B2"
"274","KIF14"
"275","CHAF1A"
"276","BLM"
"277","CCDC18"
"278","SLAMF1"
"279","PRKD3"
"280","MAP4K4"
"281","PIK3AP1"
"282","SYVN1"
"283","PHF6"
"284","CD74"
"285","RIPOR2"
"286","CENPK"
"287","ZNF215"
"288","TRAF5"
"289","MCOLN2"
"290","C21orf58"
"291","DGKD"
"292","TEX9"
"293","Z99127.1"
"294","RAB30"
"295","RAPGEF5"
"296","LHFPL2"
"297","CD38"
"298","TMEM154"
"299","RTN4IP1"
"300","KCNN3"
"301","ODF2"
"302","NCAPG2"
"303","DNASE1"
"304","XKR6"
"305","HMGA1P4"
"306","MAST2"
"307","HAUS8"
"308","WDFY4"
"309","BICD1"
"310","RASSF6"
"311","ZNF439"
"312","BRCA1"
"313","ZSWIM9"
"314","ZNF594"
"315","ZNF107"
"316","DNA2"
"317","MFSD14C"
"318","MAP3K12"
"319","PXK"
"320","MTF2"
"321","NLGN4Y"
"322","CBFA2T3"
"323","PIK3C2B"
"324","SORL1"
"325","DENND5B"
"326","PHTF2"
"327","SYK"
"328","USP12"
"329","ASPN"
"330","CCDC171"
"331","ATP10D"
"332","OGN"
"333","RAD17"
"334","ADAM28"
"335","UBR7"
"336","CA8"
"337","OGG1"
"338","PARPBP"
"339","ANLN"
"340","BICDL1"
"341","KANK1"
"342","RRM1"
"343","SLC25A42"
"344","RBL1"
"345","LILRB1"
"346","FCRL5"
"347","PCED1B-AS1"
"348","SSBP2"
"349","CNKSR2"
"350","SLC6A16"
"351","HLA-DMB"
"352","DEPDC5"
"353","STX7"
"354","LMNB1"
"355","PRKCB"
"356","ZNF804A"
"357","ZNF519"
"358","RBM6"
"359","ESR2"
"360","MCM6"
"361","ATAD2"
"362","ITPKB"
"363","MRPS27"
"364","KIF20B"
"365","ATP8A1"
"366","AMFR"
"367","MMS22L"
"368","FAM76B"
"369","C12orf76"
"370","SINHCAF"
"371","LYPLA1"
"372","MIR155HG"
"373","ERP44"
"374","PAQR3"
"375","CORO1A"
"376","SMC4"
"377","NTNG1"
"378","ITPR1"
"379","FAM102A"
"380","KNTC1"
"381","MAP4K1"
"382","ARRDC3-AS1"
"383","RNF103"
"384","DIAPH3"
"385","ATP5MG"
"386","BCAR3"
"387","DHTKD1"
"388","SHLD1"
"389","SYNE2"
"390","MCTP2"
"391","UCP2"
"392","TBC1D1"
"393","DCLRE1C"
"394","SNX8"
"395","NUP210"
"396","SLC15A4"
"397","MYEF2"
"398","CENPP"
"399","SPATS2"
"400","DPF3"
"401","BANK1"
"402","NIN"
"403","SPC25"
"404","PRPF40B"
"405","LYPLAL1"
"406","HNRNPAB"
"407","GGA2"
"408","CCDC144A"
"409","ZGRF1"
"410","RNGTT"
"411","TOPBP1"
"412","LIG1"
"413","ARHGEF18"
"414","FCHSD2"
"415","TNFSF8"
"416","SPDYE3"
"417","USP49"
"418","DCAF12"
"419","ANKRD13A"
"420","SLC44A2"
"421","MASTL"
"422","PTPN7"
"423","CD83"
"424","KLF12"
"425","CCM2"
"426","ZFAT"
"427","LCP1"
"428","WEE1"
"429","ORAI2"
"430","VRK1"
"431","RAB3GAP2"
"432","BIRC3"
"433","TMEM243"
"434","RAD51B"
"435","HDAC1"
"436","PRCP"
"437","ZRANB3"
"438","NCOA3"
"439","BARD1"
"440","MOB3A"
"441","MX1"
"442","INKA2"
"443","NCAPD2"
"444","SLC30A4"
"445","LRRC41"
"446","GNB5"
"447","ST6GAL1"
"448","NUBPL"
"449","C1orf112"
"450","EYA3"
"451","CNTRL"
"452","LCK"
"453","PHLPP1"
"454","POLA1"
"455","HSH2D"
"456","PIK3CG"
"457","SASH3"
"458","PKD2L2"
"459","KLHL5"
"460","ATG10"
"461","THUMPD3-AS1"
"462","CHEK2"
"463","PRAG1"
"464","C11orf65"
"465","TCEA1"
"466","SH3KBP1"
"467","VGLL4"
"468","MTA3"
"469","SLC12A2"
"470","BRCA2"
"471","RFC1"
"472","DRG1"
"473","MIR181A1HG"
"474","ANP32B"
"475","CPNE3"
"476","MTMR12"
"477","BTN2A2"
"478","TXNDC16"
"479","SNX29"
"480","ISG20"
"481","CR1"
"482","CIITA"
"483","SLC15A2"
"484","ECM2"
"485","MBNL3"
"486","FANCL"
"487","GCNT2"
"488","NSD2"
"489","IL4R"
"490","SGO1-AS1"
"491","SMIM14"
"492","STK17B"
"493","ZNF821"
"494","SLC24A1"
"495","HLA-DPB1"
"496","CDK19"
"497","TAF4B"
"498","ITGB3BP"
"499","PM20D2"
"500","INVS"
"501","PAG1"
"502","CUL3"
"503","AMN1"
"504","CARD11"
"505","ENTPD4"
"506","ACSF3"
"507","PIP4K2A"
"508","PHF8"
"509","RPRD1A"
"510","POLA2"
"511","ARL17A"
"512","NCAPD3"
"513","PTPN18"
"514","COL19A1"
"515","BCL6"
"516","AZIN1-AS1"
"517","TMC6"
"518","NEK6"
"519","TEC"
"520","KLHDC4"
"521","STS"
"522","PRIM2"
"523","TAPT1-AS1"
"524","PLCG2"
"525","PVT1"
"526","HMGN2"
"527","IFNG-AS1"
"528","FANCM"
"529","PTDSS1"
"530","BLOC1S6"
"531","SCARB1"
"532","SMARCB1"
"533","PRDX6"
"534","CCNG2"
"535","FBXL18"
"536","ZNF831"
"537","PLEKHG1"
"538","SLAMF6"
"539","EPS15"
"540","RAB30-DT"
"541","INPP5D"
"542","RASSF2"
"543","TSC1"
"544","EED"
"545","EBLN3P"
"546","LIN54"
"547","RBBP7"
"548","RAP2C-AS1"
"549","OPA3"
"550","SYNC"
"551","TUBGCP3"
"552","LAPTM5"
"553","HACD2"
"554","TFDP1"
"555","LRCH3"
"556","MPP6"
"557","ADAM19"
"558","SIMC1"
"559","RPAP3"
"560","LY75"
"561","GNG7"
"562","ARHGAP19"
"563","OTULIN"
"564","STK17A"
"565","INSYN2B"
"566","SRSF10"
"567","CDK14"
"568","UVRAG"
"569","GGNBP2"
"570","USP7"
"571","NDUFAF6"
"572","PLEKHA2"
"573","MBD2"
"574","NLRC3"
"575","IQCB1"
"576","WNT5B"
"577","NUP88"
"578","AGPAT5"
"579","BMP2K"
"580","GEMIN7-AS1"
"581","MYCBP2-AS1"
"582","OXNAD1"
