"","x"
"1","COL11A1"
"2","GREM1"
"3","CSMD2"
"4","KIF26B"
"5","FAP"
"6","ADAMTS16"
"7","POSTN"
"8","FGF7"
"9","CDH11"
"10","ROR2"
"11","KIF26B-AS1"
"12","CCN4"
"13","MOXD1"
"14","COL5A2"
"15","SNAP25"
"16","COL6A3"
"17","NCAM2"
"18","GPC6"
"19","BX322234.1"
"20","TENM3"
"21","CYP7B1"
"22","COL1A2"
"23","ARHGAP28"
"24","ITGA11"
"25","THBS2"
"26","COL5A1"
"27","CLMP"
"28","COL3A1"
"29","LUM"
"30","DNM3OS"
"31","HS3ST3A1"
"32","SUGCT"
"33","COL1A1"
"34","PRRX1"
"35","CTHRC1"
"36","EMILIN1"
"37","CEMIP"
"38","ADAMTS12"
"39","CCDC102B"
"40","NRCAM"
"41","PDGFRA"
"42","COL14A1"
"43","PRDM6"
"44","UNC5C"
"45","FKBP10"
"46","GLI2"
"47","PRR16"
"48","MXRA5"
"49","CACNA1C"
"50","MMP2"
"51","GXYLT2"
"52","ADAM12"
"53","PDZRN3"
"54","BICC1"
"55","GALNT17"
"56","RYR2"
"57","CACNB2"
"58","COL16A1"
"59","VGLL3"
"60","GEM"
"61","STEAP2"
"62","PLOD2"
"63","MFAP4"
"64","AEBP1"
"65","PIEZO2"
"66","LMCD1"
"67","NBL1"
"68","RARRES2"
"69","GUCY1B1"
"70","SULF1"
"71","MXRA8"
"72","IL1R1"
"73","CCBE1"
"74","BMP5"
"75","DDR2"
"76","HILPDA"
"77","ANGPT1"
"78","MYLK"
"79","COL6A2"
"80","MEOX2"
"81","DCN"
"82","LAMB1"
"83","A2M"
"84","COL15A1"
"85","THY1"
"86","COL6A1"
"87","PPFIA2"
"88","CXCL12"
"89","FBXO32"
"90","PCDH7"
"91","SPON1"
"92","BGN"
"93","MEIS1-AS2"
"94","PRELP"
"95","MEG8"
"96","PCOLCE"
"97","PLXNA4"
"98","LTBP2"
"99","SLC40A1"
"100","POT1-AS1"
"101","CCN1"
"102","ASXL3"
"103","PAPPA"
"104","COL12A1"
"105","LRFN5"
"106","CTSK"
"107","ITGBL1"
"108","TENM4"
"109","SPARC"
"110","C7"
"111","C1S"
"112","HGF"
"113","NR2F1"
"114","TRPC4"
"115","KIAA1211"
"116","NID2"
"117","C1R"
"118","GPR173"
"119","MEG3"
"120","CCDC80"
"121","ACTA2"
"122","C11orf96"
"123","HMCN1"
"124","MEIS1"
"125","TBX5"
"126","GLI3"
"127","VEGFC"
"128","MMP14"
"129","ADH1B"
"130","TBX2"
"131","DZIP1"
"132","RUNX1T1"
"133","FN1"
"134","PTGDS"
"135","ENOX1"
"136","FRMD6"
"137","NR2F1-AS1"
"138","DCLK2"
"139","KCND3"
"140","GPC3"
"141","PDLIM3"
"142","ADGRB3"
"143","PDGFRB"
"144","TEX41"
"145","GNAI1"
"146","DPYSL3"
"147","CALD1"
"148","HMGCLL1"
"149","TNC"
"150","NUAK1"
"151","ENAH"
"152","HEPH"
"153","PKNOX2"
"154","ITIH5"
"155","LAMA2"
"156","CYP1B1"
"157","SDK1"
"158","RND3"
"159","SERPINH1"
"160","CACNA2D1"
"161","STEAP2-AS1"
"162","PCBP3"
"163","PDE1A"
"164","NHSL2"
"165","CFAP69"
"166","GPR176"
"167","LXN"
"168","HTRA1"
"169","PLEKHH2"
"170","ANTXR1"
"171","ROBO1"
"172","FBLN2"
"173","FBLN1"
"174","FAM227B"
"175","CLTCL1"
"176","SGCD"
"177","BNC2"
"178","NOX4"
"179","PRICKLE1"
"180","FBN1"
"181","HOXB3"
"182","SFRP2"
"183","SLIT2"
"184","LOX"
"185","FGF2"
"186","EDNRA"
"187","DEPP1"
"188","LBH"
"189","SLIT3"
"190","FSTL1"
"191","GUCY1A1"
"192","SERPINF1"
"193","SGIP1"
"194","COL27A1"
"195","RARB"
