"","x"
"1","FENDRR"
"2","BTNL9"
"3","FCN3"
"4","VIPR1-AS1"
"5","PRX"
"6","SLC6A4"
"7","ADGRL2"
"8","VIPR1"
"9","ROBO4"
"10","EMCN"
"11","TMEM100"
"12","CDH5"
"13","NOTCH4"
"14","HECW2"
"15","PCDH17"
"16","SHANK3"
"17","RAMP3"
"18","RASIP1"
"19","PODXL"
"20","EGFL7"
"21","SMAD6"
"22","CX3CL1"
"23","PDGFB"
"24","CLDN5"
"25","NOVA2"
"26","GATA2-AS1"
"27","STXBP6"
"28","FLT1"
"29","SEMA3F"
"30","VWF"
"31","ANO2"
"32","GALNT18"
"33","PDE1C"
"34","SLCO2A1"
"35","FAM189A1"
"36","ESAM"
"37","PCAT19"
"38","RAPGEF4"
"39","IL1RL1"
"40","FZD4"
"41","CYYR1"
"42","NOSTRIN"
"43","SLCO4A1"
"44","ARAP3"
"45","ADGRL4"
"46","ACVRL1"
"47","TEK"
"48","SLC9A3R2"
"49","LDB2"
"50","TBX3"
"51","TIE1"
"52","SLC5A4-AS1"
"53","MCF2L"
"54","EML1"
"55","PTPRB"
"56","HPGD"
"57","EDNRB"
"58","JCAD"
"59","EPAS1"
"60","CLEC1A"
"61","F8"
"62","HYAL2"
"63","AFAP1L1"
"64","SPC25"
"65","DACH1"
"66","KDR"
"67","JAM3"
"68","LIMS2"
"69","PIK3R3"
"70","NRG3"
"71","AQP1"
"72","KIAA1217"
"73","TMEM204"
"74","PALD1"
"75","KCNMB4"
"76","SEMA6A"
"77","ADGRL3"
"78","SHROOM2"
"79","EFNB2"
"80","DIPK2B"
"81","TUSC3"
"82","CAVIN2"
"83","TSPAN7"
"84","CALCRL"
"85","TOX2"
"86","TSPAN18"
"87","SORBS1"
"88","ADCY4"
"89","PLEKHG1"
"90","PRICKLE2"
"91","ERG"
"92","HIF3A"
"93","ARHGAP29"
"94","ST6GALNAC3"
"95","PECAM1"
"96","CHRM3"
"97","SPNS2"
"98","PALMD"
"99","ARHGEF10"
"100","CCDC85A"
"101","SASH1"
"102","FGD5"
"103","SH2D3C"
"104","SERPINE1"
"105","ST8SIA6"
"106","GRASP"
"107","PREX2"
"108","AFF3"
"109","NPDC1"
"110","CD93"
"111","SHROOM4"
"112","SPARCL1"
"113","PITPNM2"
"114","CYP3A5"
"115","NCALD"
"116","PHLDB1"
"117","DOCK9"
"118","AKAP12"
"119","ADGRF5"
"120","ZNF423"
"121","PXDN"
"122","KALRN"
"123","ZDHHC14"
"124","ACE"
"125","BMP6"
"126","GNA14-AS1"
"127","PDLIM1"
"128","GNA14"
"129","TMEM44"
"130","SH3RF3"
"131","LHFPL6"
"132","LIFR"
"133","SEMA6A-AS1"
"134","RASGRF2"
"135","DOCK6"
"136","SYN3"
"137","SEC14L1"
"138","CMTM8"
"139","PLXNA2"
"140","ITGA1"
"141","BMPR2"
"142","CD109"
"143","LAMA5"
"144","FKBP1A"
"145","TIMP3"
"146","PLA2G4C"
"147","PDE10A"
"148","RGCC"
"149","TSPAN9"
"150","STARD13-AS"
"151","NEDD4"
"152","PAK4"
"153","RHOJ"
"154","ADAMTS6"
"155","TMEM255B"
"156","MPP3"
"157","COL4A2"
"158","TCF4"
"159","ENG"
"160","GIMAP8"
"161","EDA"
"162","SGK1"
"163","SOX13"
"164","CCDC68"
"165","MBOAT2"
"166","KIAA1671"
"167","TMTC1"
"168","SPTBN1"
"169","PTCHD4"
"170","EPB41L4A"
"171","PRSS23"
"172","SDCBP2-AS1"
"173","ITPRIP"
"174","ARHGAP31"
"175","RAPGEF5"
"176","KLHL5"
"177","DYSF"
"178","WNT2B"
"179","WARS"
"180","COL4A1"
"181","TSPAN15"
"182","NRXN3"
"183","PRKCE"
"184","ZBTB46"
"185","IFT140"
"186","CPAMD8"
"187","WWTR1"
"188","LRRC8A"
"189","APP"
"190","RALGAPA2"
"191","SH3BP4"
"192","ST5"
"193","CRPPA"
"194","ZEB1"
"195","ADIPOR2"
"196","BCAR3"
"197","RPGR"
"198","TNFSF10"
"199","OBSCN"
"200","SERPINB6"
"201","PTPRM"
"202","EMP1"
"203","CD59"
"204","KLF7"
"205","RBMS2"
"206","THSD4"
"207","SNRK"
"208","FNBP1L"
"209","ECE1"
"210","ADAMTS9"
"211","PLCB4"
"212","NAV1"
"213","DGKE"
"214","MCC"
"215","CADPS2"
"216","IPO9-AS1"
"217","PPFIBP1"
"218","EPB41L2"
"219","DISP1"
"220","APOL3"
"221","GRB10"
"222","ITGA5"
"223","TGFBR3"
"224","PXN"
"225","RIN2"
"226","PML"
"227","PIK3C2B"
"228","KCTD3"
"229","KLF2"
"230","CARHSP1"
"231","GRK5"
"232","PON2"
"233","MSRB3"
"234","MEIS1"
"235","KITLG"
"236","HLA-E"
"237","CDH13"
"238","STARD13"
"239","AMOTL1"
"240","OPHN1"
"241","SMURF2"
"242","PTK2"
"243","EXOC6"
"244","TTC28"
"245","PLCB1"
"246","LUZP1"
"247","TBX2"
"248","SPATA13"
"249","FBXL7"
"250","XAF1"
"251","FAT4"
"252","IL4R"
"253","STOM"
"254","TCIM"
"255","PKIG"
"256","SLC12A2"
"257","ARHGEF12"
"258","SH3D19"
"259","RASAL2"
"260","PREX1"
"261","PAPSS2"
"262","FAXDC2"
"263","GFOD1"
"264","Z82215.1"
"265","YES1"
"266","MAOA"
"267","CAVIN1"
"268","ITGA6"
"269","ZBTB16"
"270","UACA"
"271","STARD9"
"272","ELMSAN1"
"273","ITGA3"
"274","ZNRF1"
"275","PARVB"
"276","CREB5"
"277","CASZ1"
"278","FAM219A"
"279","CNN3"
"280","MRTFB"
"281","NMD3"
"282","GBE1"
"283","HEG1"
"284","NFIB"
"285","IL18R1"
"286","USP31"
"287","TMEM184B"
"288","HRH1"
"289","TGM2"
"290","MYH9"
"291","C22orf34"
"292","SIPA1L2"
"293","ETS1"
"294","AFDN"
"295","CD99"
"296","CTTNBP2NL"
"297","RNF144A"
"298","PTPRG"
"299","CDC42BPA"
"300","MEIS2"
"301","MEF2A"
"302","ARHGEF3"
"303","SORBS2"
"304","TJP1"
"305","PHLPP1"
"306","MYO15B"
"307","TNXB"
"308","DGKH"
"309","MYO6"
"310","KHDRBS2"
"311","FLI1"
"312","DNM3"
"313","RAI14"
"314","MFSD6"
"315","TJP2"
"316","TANC1"
"317","SIN3B"
"318","CDK17"
"319","ASAP2"
"320","TECPR1"
"321","DLGAP4"
"322","IFI44"
"323","IL15RA"
"324","OSMR"
"325","KIAA0355"
"326","MPDZ"
"327","ICA1"
"328","CSPP1"
"329","CD36"
"330","CTNND1"
"331","SH3BP5"
"332","HERC3"
"333","LRCH1"
"334","PKP4"
"335","MSN"
"336","NXN"
"337","NCKAP1"
"338","RALA"
"339","VCL"
"340","PTPRK"
"341","LEPR"
"342","GHR"
"343","PIK3C2A"
"344","SAMD12"
"345","PALM2-AKAP2"
"346","NEDD9"
"347","TPST2"
"348","PRKCH"
"349","DAAM1"
"350","RPS6KA2"
"351","ABLIM1"
"352","INPP5A"
"353","ARGLU1"
"354","CLIC4"
"355","TFPI"
"356","IFI44L"
"357","WWC3"
"358","CAV1"
"359","CEMIP2"
"360","EEPD1"
"361","ITPKB"
"362","RGS12"
"363","RBFOX2"
"364","FMNL3"
"365","HACE1"
"366","MYO1C"
"367","CPNE8"
"368","EPN2"
"369","COBLL1"
"370","PLPP1"
"371","SYNE1"
"372","ARHGAP26"
"373","HDAC7"
"374","ZNF608"
"375","BMERB1"
"376","MAGI1"
"377","CRIM1"
"378","TSPAN14"
"379","AGAP1"
"380","PITPNC1"
"381","PIEZO1"
"382","PLXND1"
"383","UPF3A"
"384","KAT6A"
"385","AKT3"
"386","ITM2B"
"387","HMBOX1"
"388","CFLAR-AS1"
"389","MIRLET7BHG"
"390","GNAI2"
"391","SYNE2"
"392","PSMA1"
"393","ATP2B4"
"394","ZNF532"
"395","ARHGAP18"
"396","ANKS1A"
"397","ITGAV"
"398","IRF1"
"399","SIK2"
"400","LMCD1-AS1"
"401","MEF2C"
"402","KLF9"
"403","IFNGR1"
"404","SWAP70"
"405","HDGFL3"
"406","RBM17"
"407","NFATC1"
"408","SSH1"
"409","MYO10"
"410","ELK3"
"411","ADAMTS9-AS2"
"412","CCDC50"
"413","VPS37A"
"414","DPYSL3"
"415","IGF1R"
"416","PLSCR4"
"417","CALD1"
"418","CRYBG3"
"419","NR4A1"
"420","REEP3"
"421","PPP1R13B"
"422","ATXN3"
"423","ARRB1"
"424","FGFR1"
"425","MGAT4A"
"426","ASAP1"
"427","XKR6"
"428","DCBLD1"
"429","IL3RA"
"430","CSNK1E"
"431","PLEKHA1"
"432","RDX"
"433","PTPN14"
"434","NR3C2"
"435","BCR"
"436","TTC7B"
"437","EGFR"
"438","GNG7"
"439","CDC42BPB"
"440","ABCC4"
"441","LRP6"
"442","DDX60"
"443","WDR60"
"444","DOCK1"
"445","ACTN4"
"446","YBX3"
"447","CAV2"
"448","NBDY"
"449","TMEM135"
"450","EVA1C"
"451","LTBP1"
"452","UNC13B"
"453","MKLN1"
"454","RTN4"
"455","CCNY"
"456","SLK"
"457","TBC1D8"
"458","HIP1"
"459","COL18A1"
"460","GRAMD1A"
"461","FRYL"
"462","DOCK4"
"463","RNF115"
"464","CFLAR"
"465","NRP1"
"466","TPM1"
"467","KIF13A"
"468","LMBR1"
"469","FRY"
"470","ESR2"
"471","ZNF331"
"472","MYO1E"
"473","CAMTA1"
"474","WDR27"
"475","FCHSD2"
"476","CDC14A"
"477","MIR181A1HG"
"478","CDC37"
"479","ABCG1"
"480","TBCD"
"481","LMCD1"
"482","SPRED2"
"483","PDK4"
"484","FERMT2"
"485","TBC1D9"
"486","DPYSL2"
"487","ANO10"
"488","LIMA1"
"489","DNAJC1"
"490","BCAS3"
"491","ZFPM2"
"492","CTBP2"
"493","LIMK2"
"494","GSE1"
