"","x"
"1","RBFOX1"
"2","BNC1"
"3","DSC3"
"4","C2orf83"
"5","KCTD8"
"6","CDH2"
"7","PRG4"
"8","CADM3"
"9","CFB"
"10","CA12"
"11","ZFHX4"
"12","CDON"
"13","TWIST1"
"14","HILPDA"
"15","SERPINE2"
"16","GRIK2"
"17","KIRREL3"
"18","FNDC1"
"19","BX322234.1"
"20","LOX"
"21","GABRB2"
"22","CEMIP"
"23","WT1"
"24","DPYS"
"25","GAS1"
"26","CCDC80"
"27","PTGER3"
"28","NDRG1"
"29","ETV7"
"30","ALPK2"
"31","PLOD2"
"32","SLC39A14"
"33","CDH6"
"34","FAM110C"
"35","COL12A1"
"36","SLC2A1"
"37","SLC16A1"
"38","CLDN1"
"39","SCN8A"
"40","COL11A1"
"41","VCAM1"
"42","TWIST2"
"43","EFEMP1"
"44","THBS2"
"45","FAM155A"
"46","TMEM178B"
"47","DLGAP2"
"48","COL5A2"
"49","DPP4"
"50","VEGFC"
"51","HTRA1"
"52","DUXAP8"
"53","IGFBP3"
"54","LOXL2"
"55","GPC6"
"56","KIF26B-AS1"
"57","PTGIS"
"58","ENOX1"
"59","GRIP1"
"60","ARNT2"
"61","ALDH1A3"
"62","DPP10"
"63","PDPN"
"64","MXRA5"
"65","PDGFD"
"66","GATA6"
"67","PTPRQ"
"68","FAM110B"
"69","FRAS1"
"70","TENM3"
"71","SEMA3D"
"72","PPP4R4"
"73","SMOC2"
"74","FKBP10"
"75","RUNX2"
"76","STEAP1"
"77","FLRT2"
"78","FBXO32"
"79","ADM"
"80","AK4"
"81","KCNE4"
"82","MEG8"
"83","MIR31HG"
"84","C1orf198"
"85","NID2"
"86","IGF2BP2-AS1"
"87","GXYLT2"
"88","C3"
"89","SULF1"
"90","GFPT2"
"91","PKHD1L1"
"92","TRPM3"
"93","MEG3"
"94","SERPINE1"
"95","MEIS1-AS2"
"96","CSMD2"
"97","COL5A1"
"98","PAWR"
"99","FAM162A"
"100","CFAP69"
"101","VGLL3"
"102","RFLNA"
"103","ROR2"
"104","RARRES1"
"105","COL1A2"
"106","RARRES2"
"107","ZFPM2-AS1"
"108","ADAMTS9-AS1"
"109","CPE"
"110","ADGRA2"
"111","SOX6"
"112","KIF26B"
"113","MEIS2"
"114","DDR2"
"115","COL3A1"
"116","BICC1"
"117","PRKD1"
"118","ADAMTS9"
"119","PDGFRA"
"120","LDHA"
"121","IL1R1"
"122","BNIP3"
"123","GAPDH"
"124","CFH"
"125","IER3"
"126","EIF4A3"
"127","COL1A1"
"128","HK2"
"129","MIR924HG"
"130","NALCN"
"131","DPYSL3"
"132","SOD2"
"133","GREM1"
"134","ERO1A"
"135","ADAMTS6"
"136","WTAP"
"137","C1R"
"138","SRFBP1"
"139","KCNT2"
"140","THY1"
"141","CD200"
"142","STEAP2"
"143","GPR176"
"144","PCBP3"
"145","ARHGAP28"
"146","GRID1"
"147","MYH10"
"148","IQCA1"
"149","FAP"
"150","ITGA11"
"151","RGS16"
"152","ITGB8"
"153","MSANTD3"
"154","IGF1"
"155","ROR1"
"156","SNAP25-AS1"
"157","CAP2"
"158","NPAS2"
"159","ZFPM2"
"160","VCAN-AS1"
"161","BNC2"
"162","CNN3"
"163","CCN4"
"164","ZNF208"
"165","ENTPD7"
"166","GHR"
"167","LXN"
"168","P4HA1"
"169","HIF1A-AS3"
"170","PLK3"
"171","GBE1"
"172","AFAP1"
"173","PDLIM5"
"174","MXI1"
"175","TEX41"
"176","CRIM1"
"177","PAPPA"
"178","TPM2"
"179","DIAPH3"
"180","NPAS3"
"181","SLIT3"
"182","KIZ-AS1"
"183","CALD1"
"184","POT1-AS1"
"185","SVEP1"
"186","FN1"
"187","ADAM12"
"188","CACNA2D1"
