"","x"
"1","KLRF1"
"2","NCR1"
"3","LINGO2"
"4","GNLY"
"5","PRF1"
"6","KLRC3"
"7","NKG7"
"8","NCAM1"
"9","PTGDR"
"10","TBX21"
"11","CD247"
"12","ADGRG5"
"13","MYBL1"
"14","KLRD1"
"15","KLRK1"
"16","IL2RB"
"17","CCL4"
"18","ADGRG1"
"19","SLA2"
"20","TXK"
"21","PYHIN1"
"22","SAMD3"
"23","CCL5"
"24","ZAP70"
"25","ABCB1"
"26","PPP2R2B"
"27","NCALD"
"28","RUNX3"
"29","APBA2"
"30","AOAH"
"31","GNG2"
"32","CEP78"
"33","TRG-AS1"
"34","RNF125"
"35","CARD11"
"36","RAP1GAP2"
"37","TAFA1"
"38","YPEL1"
"39","SYTL3"
"40","SPON2"
"41","ITGAL"
"42","PDGFD"
"43","SLFN12L"
"44","OSBPL5"
"45","IL12RB2"
"46","TMEM71"
"47","STAT4"
"48","PLAC8"
"49","CD300A"
"50","KCNQ5"
"51","GFOD1"
"52","ST8SIA6"
"53","CD226"
"54","BIN2"
"55","SCML4"
"56","SKAP1"
"57","AKNA"
"58","PZP"
"59","PRKCH"
"60","DTHD1"
"61","NOL4L"
"62","GPR174"
"63","HSH2D"
"64","JAKMIP2"
"65","FYN"
"66","NLRC3"
"67","PTPN22"
"68","USP28"
"69","ARL4C"
"70","SLAMF6"
"71","ITGA4"
"72","SPN"
"73","LCK"
"74","CD96"
"75","PRKCQ"
"76","PRR5L"
"77","C12orf75"
"78","CYFIP2"
"79","RIPOR2"
"80","ABHD17A"
"81","IKZF3"
"82","ETS1"
"83","PITPNC1"
"84","TMC8"
"85","CNOT6L"
"86","MCTP2"
"87","SIDT1"
"88","TRAF3IP3"
"89","SORL1"
"90","ZNF831"
"91","YES1"
"92","P2RY8"
"93","DENND2D"
"94","APMAP"
"95","TSPOAP1-AS1"
"96","IKZF2"
"97","RASAL3"
"98","RASSF1"
"99","EFHD2"
"100","PARP8"
"101","GK5"
"102","DIP2A"
"103","MYO1F"
"104","PIP4K2A"
"105","PARP15"
"106","OPRM1"
"107","PPP1R16B"
"108","PTPRC"
"109","NFATC2"
"110","SLC38A1"
"111","STK10"
"112","GRAP2"
"113","ITK"
"114","SYTL2"
"115","RASA3"
"116","RASGRP1"
"117","IKZF1"
"118","BTN3A1"
"119","CRACR2A"
"120","TGFBR3"
"121","TRERF1"
"122","PLEK"
"123","KLF12"
"124","PRKACB"
"125","ZFPM1"
"126","CD2"
"127","AXIN1"
"128","CLEC2D"
"129","BTN3A2"
"130","TFDP2"
"131","CCDC88C"
"132","PPP2R5C"
"133","ACAP1"
"134","VAV3"
"135","KLHDC4"
"136","CLEC2B"
"137","MBP"
"138","MAPRE2"
"139","MIR646HG"
"140","PLCL2"
"141","IPCEF1"
"142","SLFN5"
"143","IQGAP2"
"144","SUN2"
"145","KAT2B"
"146","EMB"
"147","PLCB1"
"148","TOX"
"149","INPP5D"
"150","RASA2"
"151","FGD3"
"152","GBP5"
"153","BCL11B"
"154","SEMA4D"
"155","STK39"
"156","AF165147.1"
"157","RIN3"
"158","EIF4E3"
"159","CCND3"
"160","ITGB2"
"161","NFATC3"
"162","TTC13"
"163","CASP8"
"164","ATP8A1"
"165","HLA-F"
"166","PRKX"
"167","JAK3"
"168","PIK3CD"
"169","ADCY7"
"170","NLRC5"
