"","x"
"1","CDH18"
"2","IQCM"
"3","RALYL"
"4","SGCZ"
"5","NRXN1"
"6","CTNNA2"
"7","CNTNAP2"
"8","SNTG1"
"9","CALN1"
"10","CDH12"
"11","MAPT-AS1"
"12","DGKB"
"13","NPSR1"
"14","FSTL5"
"15","SYT14"
"16","TRPM1"
"17","NOL4"
"18","GPR158"
"19","RIT2"
"20","CNTNAP5"
"21","ATRNL1"
"22","MDGA2"
"23","GRM1"
"24","CNBD1"
"25","ZNF804B"
"26","CSMD3"
"27","CNTN5"
"28","NXPH1"
"29","TPTE"
"30","KCNH7"
"31","CTNNA3"
"32","C10orf90"
"33","KCTD8"
"34","SORCS3"
"35","GNG4"
"36","MYT1L"
"37","FAM135B"
"38","OPCML"
"39","CARD18"
"40","ASIC2"
"41","NELL1"
"42","STXBP5L"
"43","SORCS1"
"44","RIMS2"
"45","GABRA3"
"46","SAMMSON"
"47","NKAIN3"
"48","SV2C"
"49","THSD7B"
"50","UNC13A"
"51","NPSR1-AS1"
"52","ATP8A2"
"53","FAM9B"
"54","CA10"
"55","GABRG3"
"56","PPP2R2C"
"57","Z96074.1"
"58","ATP6V0A4"
"59","MIR3681HG"
"60","KCNB2"
"61","ZNF536"
"62","IL1RAPL1"
"63","CHRNA7"
"64","GABRB3"
"65","SPOCK3"
"66","OBI1-AS1"
"67","CADM2"
"68","RBFOX3"
"69","DPP10"
"70","NDST3"
"71","GRM8"
"72","FRMPD4"
"73","LRRTM4"
"74","MEI4"
"75","DACH2"
"76","HAS2-AS1"
"77","GRIN2B"
"78","TRPM3"
"79","DGKI"
"80","NKAIN2"
"81","MTUS2"
"82","CCDC178"
"83","CCDC192"
"84","RGS7"
"85","EBF2"
"86","NOS1"
"87","SLC24A2"
"88","XKR4"
"89","CATSPERD"
"90","KCNH1"
"91","BRINP1"
"92","CSMD1"
"93","PKD1L1"
"94","ZPLD1"
"95","KCNN2"
"96","NTRK2"
"97","EYS"
"98","KIRREL3"
"99","KCNIP4"
"100","MIR4300HG"
"101","Z93403.1"
"102","OCA2"
"103","GRM5"
"104","RIMBP2"
"105","CPNE4"
"106","WNK3"
"107","UNC79"
"108","ALK"
"109","GALNT14"
"110","PCDH11X"
"111","RBM20"
"112","NLGN4X"
"113","LRRC7"
"114","FGF12"
"115","CCDC26"
"116","FMN2"
"117","CLVS1"
"118","CLNK"
"119","FBN2"
"120","RGS20"
"121","GREB1L"
"122","DLGAP2"
"123","GABRB2"
"124","KSR2"
"125","SLC14A2"
"126","TMEM178B"
"127","CELF4"
"128","HS6ST3"
"129","TENM3-AS1"
"130","RYR1"
"131","LRRC4C"
"132","ERC2"
"133","MYO3B"
"134","TMEM132D"
"135","RFLNA"
"136","ERVMER61-1"
"137","CTNND2"
"138","GRIK2"
"139","PWRN1"
"140","SPATA21"
"141","NUP210L"
"142","PDE1C"
"143","SEMA6D"
"144","SNRPN"
"145","ADCY2"
"146","PPP1R42"
"147","LINGO2"
"148","WNK2"
"149","HECW1"
"150","RBMS3-AS3"
"151","STPG2"
"152","PCDH15"
"153","SLC25A21"
"154","ADGRL3"
"155","CLSTN2"
"156","TMEM132C"
"157","FSTL4"
"158","PAK5"
"159","LY86-AS1"
"160","FBXO36"
"161","TMEM150C"
"162","PKN2-AS1"
"163","DNAH2"
"164","NRG1"
"165","ADARB2"
"166","DOCK3"
"167","SOX2-OT"
"168","CUBN"
"169","ASTN2"
"170","EPHB1"
"171","SHISA6"
"172","MED12L"
"173","STEAP2-AS1"
"174","RYR3"
"175","FBXO16"
"176","AFF2"
"177","PTCHD1-AS"
"178","DMGDH"
"179","TP63"
"180","DAB1"
"181","CFAP61"
"182","GALNT13"
"183","IL1RAPL2"
"184","EPB41L4B"
"185","MATN2"
"186","PTPRO"
"187","GUCY1A2"
"188","KIAA1324"
"189","GRIK4"
"190","PLD5"
"191","VLDLR-AS1"
"192","CSMD2"
"193","LNX1"
"194","DSCAML1"
"195","STXBP5-AS1"
"196","COL23A1"
"197","TP53"
"198","ESRRG"
"199","FHOD3"
"200","GALNTL6"
"201","APOO"
"202","ANKS1B"
"203","FAT3"
"204","ZNF709"
"205","GNAL"
"206","TENM1"
"207","MIR924HG"
"208","RIMS1"
"209","POT1-AS1"
"210","CADPS"
"211","SPOCK1"
"212","PRUNE2"
"213","TAFA5"
"214","SOX6"
"215","RGS22"
