"","x"
"1","SEMA3E"
"2","NCKAP5-AS2"
"3","CTNND2"
"4","RTKN2"
"5","NCKAP5-AS1"
"6","NCKAP5"
"7","GPM6A"
"8","SH3GL3"
"9","AGER"
"10","MS4A15"
"11","GALNT13"
"12","NTM-AS1"
"13","NTM"
"14","SCEL"
"15","OVCH2"
"16","CNTN6"
"17","ROR1-AS1"
"18","ANKRD29"
"19","EMP2"
"20","LAMA3"
"21","MYO16-AS1"
"22","KHDRBS2-OT"
"23","HS3ST5"
"24","ANKRD1"
"25","CLIC5"
"26","KHDRBS2"
"27","CACNG4"
"28","FAM189A2"
"29","COL4A3"
"30","HULC"
"31","NRG1"
"32","GPRC5D"
"33","CAV1"
"34","GPRC5D-AS1"
"35","C10orf67"
"36","MYRF"
"37","HDAC2-AS2"
"38","ANXA3"
"39","SOGA3"
"40","GPC5-AS2"
"41","TMEM132D"
"42","MAP2"
"43","ATF7IP2"
"44","ARHGEF26-AS1"
"45","CAV2"
"46","TTLL7"
"47","ANOS1"
"48","ARHGEF26"
"49","DAPK2"
"50","SEMA5A"
"51","IQCJ-SCHIP1"
"52","EFR3B"
"53","LMO7"
"54","PTPRQ"
"55","GPC5"
"56","CCDC85A"
"57","CGN"
"58","MYO16"
"59","CYP4B1"
"60","EPB41L5"
"61","SCD5"
"62","SLC19A1"
"63","SYT1"
"64","EYA4"
"65","SEMA3B"
"66","COL4A4"
"67","WASF3"
"68","ST6GALNAC5"
"69","CLDN18"
"70","JPH1"
"71","ZSCAN31"
"72","PTPN21"
"73","ATP13A4"
"74","GRAMD2A"
"75","ALS2CL"
"76","EPS8L2"
"77","GPRC5A"
"78","AQP4"
"79","RANBP17"
"80","PLLP"
"81","RAB11FIP1"
"82","HOMER1"
"83","REEP1"
"84","NRG3"
"85","KIAA0408"
"86","KCNT2"
"87","SFTA1P"
"88","LAMC2"
"89","ROR1"
"90","IRX2"
"91","FYB2"
"92","SHANK2-AS1"
"93","VEGFA"
"94","SH3RF2"
"95","KRT7"
"96","PPARGC1A"
"97","MYO5B"
"98","CADM1"
"99","SLC39A8"
"100","TMEM258"
"101","PARD6B"
"102","SHROOM3"
"103","TSPAN13"
"104","LIMCH1"
"105","GPR39"
"106","PKDCC"
"107","CDH1"
"108","WFS1"
"109","SLC9C1"
"110","TMEFF2"
"111","SLC1A1"
"112","ARHGAP44"
"113","C3orf52"
"114","MPP3"
"115","C1orf116"
"116","MAGI3"
"117","COBL"
"118","WWC2"
"119","CGNL1"
"120","CD55"
"121","LIN7A"
"122","SHANK2"
"123","DCDC2"
"124","PDZD2"
"125","SYDE2"
"126","SEMA6D"
"127","PRKCZ"
"128","AKAP7"
"129","NEDD4L"
"130","PCYOX1"
"131","CYP4X1"
"132","PDGFA"
"133","PGGHG"
"134","LAMB3"
"135","SCAI"
"136","FLRT3"
"137","KRT18"
"138","CEACAM6"
"139","EVA1A"
"140","CERNA1"
"141","NEBL"
"142","SCNN1B"
"143","ARSJ"
"144","EXPH5"
"145","LAMA5"
"146","COL8A1"
"147","MAGI1-AS1"
"148","KCNIP1"
"149","PATJ"
"150","ATOH8"
"151","PLCE1"
"152","SPRYD7"
"153","MAL2-AS1"
"154","BMPR1A"
"155","GALNT5"
"156","NDNF"
"157","MYH14"
"158","C12orf49"
"159","PHLDB2"
"160","LRRC1"
"161","DSTN"
"162","COL12A1"
"163","SLC44A3"
"164","PHACTR1"
"165","EFNA1"
"166","WTIP"
"167","NXN"
"168","C14orf132"
"169","SH3RF1"
"170","HOPX"
"171","ITGA3"
"172","FZD6"
"173","LLGL2"
"174","HACD1"
"175","CXADR"
"176","PLD5"
"177","SLC12A8"
"178","MYO5C"
"179","LNX2"
"180","ZFYVE9"
"181","SYT17"
"182","CELF2-AS2"
"183","TMEM125"
"184","MAGI1"
"185","FAM174B"
"186","DENND2C"
"187","GCNT2"
"188","MMP28"
"189","MYO1B"
"190","OTULINL"
"191","IFT57"
"192","LIPH"
"193","NPNT"
"194","PTPRF"
"195","CAPN13"
"196","CNTN4"
"197","STK32A"
"198","SCNN1A"
"199","SH2D4A"
"200","ESYT3"
"201","DENND3"
"202","FAM160A1"
"203","TES"
"204","MAL2"
"205","ANKS1B"
"206","FARP1"
"207","MGLL"
"208","COL4A5"
"209","DMKN"
"210","ABCC6"
"211","PRDM16"
"212","TMPRSS2"
"213","NOS1AP"
"214","DUBR"
"215","PFDN1"
"216","OCLN"
"217","ITGB6"
"218","RASSF8"
"219","CTNNBIP1"
"220","CYSTM1"
"221","AATK"
"222","AMOTL2"
"223","NKX2-1"
"224","OSGIN2"
"225","RBMS3-AS2"
"226","RFX2"
"227","ESRP1"
"228","OTUD7B"
"229","ACSF2"
"230","MIR181A2HG"
"231","UNC13B"
"232","SFTA3"
"233","FOSB"
"234","TJP1"
"235","ELOVL7"
"236","PPL"
"237","DANT2"
"238","C1orf198"
"239","PPP1R13L"
"240","AP1S3"
"241","COL4A2"
"242","NR6A1"
"243","PARVA"
"244","ALDH3A2"
"245","MYO1C"
"246","REPS2"
"247","ARHGAP8"
"248","MYL9"
"249","FILIP1"
"250","KRT19"
"251","USP54"
"252","CACNA2D3"
"253","COL28A1"
"254","ABO"
"255","ERC2"
"256","ZC3H12C"
"257","ERBB2"
"258","TMEM63B"
"259","SPOCK2"
"260","LRIG2"
"261","VEPH1"
"262","KHDRBS3"
"263","FSTL3"
"264","ACADL"
"265","WWC1"
"266","STOX2"
"267","ALDH3B1"
"268","DUOXA1"
"269","TACC2"
"270","LMTK2"
"271","GRIP1"
"272","RGL3"
"273","DIAPH3"
"274","STS"
"275","CD151"
"276","EGFR"
"277","KCNS3"
"278","PTPN14"
"279","GOLGA8B"
"280","PLAC8"
"281","APBB2"
"282","TM4SF1"
"283","PLXNA1"
"284","CASZ1"
"285","PPP3CB-AS1"
"286","CMTM4"
"287","ADGRV1"
"288","ALCAM"
"289","IL18"
"290","RILPL1"
"291","MIR3936HG"
"292","RGCC"
"293","CCDC84"
"294","PCLO"
"295","BAIAP2"
"296","SLC16A5"
"297","KLF5"
"298","ERBB3"
"299","NBEAL2"
"300","HBEGF"
"301","AGR3"
"302","C4BPA"
"303","CNNM4"
"304","NINJ2"
"305","BMPR1B"
"306","FNBP1L"
"307","LIMS2"
"308","LMO3"
"309","ENO4"
"310","CAPN2"
"311","KIAA1211L"
"312","PEBP4"
"313","FLNB"
"314","RHOBTB2"
"315","DNAH14"
"316","ICAM1"
"317","ARHGAP42"
"318","THSD7A"
"319","PLEKHA1"
"320","KRT8"
"321","P3H2"
"322","NEDD9"
"323","MECOM"
"324","PAWR"
"325","PAPSS2"
"326","RASEF"
"327","SPTBN1"
"328","LDLR"
"329","AFDN"
"330","HPCAL1"
"331","MYEF2"
"332","SPAG1"
"333","SAMD4A"
"334","GTF2IRD1"
"335","SRPX2"
"336","RP1"
"337","CELSR1"
"338","ARAP2"
"339","ADGRD1"
"340","SHTN1"
"341","DPY19L1"
"342","ZNF431"
"343","NAV2"
"344","TEAD1"
"345","APTR"
"346","SYTL4"
"347","GRHL2"
"348","CAT"
"349","GIPC1"
"350","FERMT2"
"351","CDKL5"
"352","SLC22A23"
"353","PPP4R1"
"354","DUOX1"
"355","PIP5K1B"
"356","PLXNB1"
"357","NEXN"
"358","OTUD7A"
"359","MARC2"
"360","RBMS3"
"361","PRAG1"
"362","MICAL2"
"363","DLC1"
"364","GPC4"
"365","ADCY9"
"366","GJA1"
"367","PLS3"
"368","ATP11A"
"369","EZR"
"370","TMOD3"
"371","FBXL2"
"372","RAB3IP"
"373","ABLIM1"
"374","TDRP"
"375","TBC1D2"
"376","UBL3"
"377","SPATA6L"
"378","DST"
"379","MACC1"
"380","PPP1R9A"
"381","DDAH1"
"382","PGM1"
"383","ARL13B"
"384","SHROOM4"
"385","GALNT18"
"386","PARD3B"
"387","RALGPS1"
"388","RASAL2"
"389","NDST1"
"390","SLC35A3"
"391","CHSY3"
"392","PARD3"
"393","CHKA"
"394","SMYD2"
"395","SMARCA1"
"396","SAMD12"
"397","HSPG2"
"398","ANXA2"
"399","BCL2L14"
"400","UNC13D"
"401","GATA6"
"402","ABCA8"
"403","DMD"
"404","RBMS2"
"405","GOLGA8A"
"406","GAS6"
"407","KIFC3"
"408","SGCE"
"409","UBTD1"
"410","ZNF704"
"411","TMTC2"
"412","TNS1"
"413","GAS6-AS1"
"414","MAP3K9"
"415","BEND7"
"416","TOM1L1"
"417","HEG1"
"418","MYO6"
"419","MCU"
"420","ZNF69"
"421","PPM1L"
"422","F11R"
"423","SNX24"
"424","ITPRID2"
"425","PLAAT3"
"426","SLC26A5"
"427","MAP7"
"428","TACC1"
"429","TMC4"
"430","MTURN"
"431","ATP2C2"
"432","MBIP"
"433","PRDM5"
"434","ARRB1"
"435","MPP5"
"436","EPB41L3"
"437","CD9"
"438","CHCHD6"
"439","CTNND1"
"440","CFLAR-AS1"
"441","S100A10"
"442","LIMD1"
"443","ZC2HC1A"
"444","LURAP1L-AS1"
"445","GRK5"
"446","SMURF1"
"447","JADE1"
"448","MYO1D"
"449","CPLANE1"
"450","RDX"
"451","CCDC6"
"452","ELF3"
"453","PTPRE"
"454","PON2"
"455","VCL"
"456","TMC5"
"457","AMOTL1"
"458","AKAP6"
"459","FGD4"
"460","ERRFI1"
"461","COL4A1"
"462","SMC5-AS1"
"463","PPP1R13B"
"464","GLCCI1"
"465","ZNF714"
"466","TSPAN15"
"467","FRAS1"
"468","FRMD3"
"469","THSD4"
"470","COBLL1"
"471","SDC4"
"472","DAB2IP"
"473","ASAP3"
"474","SCN9A"
"475","STK33"
"476","ZNF493"
"477","NDFIP2"
"478","B4GALNT3"
"479","MVB12B"
"480","MEGF9"
"481","DOCK5"
"482","RETREG1"
"483","KPNA3"
"484","CRY2"
"485","MFHAS1"
"486","CCDC85C"
"487","BAIAP2L1"
"488","TOR1AIP2"
"489","CPM"
"490","ZC3H14"
"491","GAB1"
"492","PACSIN2"
"493","NECTIN3"
"494","STX3"
"495","CACNA2D2"
"496","KIAA1328"
"497","MID1"
"498","ITPKC"
"499","CLIC2"
"500","FRMD5"
"501","SESTD1"
"502","TIMP3"
"503","ATP10A"
"504","ZNF254"
"505","KCNN3"
"506","CALM2"
"507","FMO2"
"508","MYO9A"
"509","PLCL1"
"510","EPN2"
"511","NCOA7"
"512","NINL"
"513","MIR646HG"
"514","VGLL4"
"515","AF117829.1"
"516","TMCC1"
"517","FAM107B"
"518","AGTPBP1"
"519","NMD3"
"520","PAX8-AS1"
"521","CHP1"
"522","SIK2"
"523","PEAK1"
"524","SLC7A6"
"525","LRP5"
"526","INF2"
"527","PTPN3"
"528","PTPN1"
"529","ARHGEF2"
"530","PLEKHA7"
"531","SYN3"
"532","TJP2"
"533","DESI2"
"534","KANK1"
"535","HIP1"
"536","NLGN1"
"537","LPCAT3"
"538","N4BP1"
"539","CTDSPL"
"540","TOM1L2"
"541","PAM"
"542","CDKL1"
"543","MGST1"
"544","TP53BP2"
"545","C9orf147"
"546","SLC15A2"
"547","PROS1"
"548","NEO1"
"549","MALRD1"
"550","MPRIP"
"551","KLHL29"
"552","PRKCI"
"553","RNF180"
"554","SEPTIN10"
"555","ANKRD50"
"556","FAM184A"
"557","FHL1"
"558","KANSL1L"
"559","PMEPA1"
"560","TANC1"
"561","ABHD2"
"562","SLC7A6OS"
"563","PLXNA2"
"564","ZC4H2"
"565","LURAP1L"
"566","LRP6"
"567","LMNA"
"568","RGS6"
"569","CRLS1"
"570","ULK2"
"571","ADK"
"572","NIBAN2"
"573","L3MBTL4"
"574","PXDN"
"575","ATP1A1-AS1"
"576","CTIF"
"577","PDXK"
"578","TSPAN3"
"579","EPB41L4A"
"580","STARD7"
"581","ATF3"
"582","DNAAF4"
"583","CUX1"
"584","ELOVL5"
"585","DAPK1"
"586","FANCC"
"587","NBEAL1"
"588","ACTN4"
"589","KIAA1958"
"590","PSMG4"
"591","GLS"
"592","VKORC1L1"
"593","RPA3"
"594","EXT1"
"595","UTRN"
"596","SELENOW"
"597","C11orf80"
"598","VEZT"
"599","ANKRD13A"
"600","UMAD1"
"601","CYBRD1"
"602","DNM3"
"603","KLF6"
"604","CTNNA1"
"605","CFLAR"
"606","MAGI2"
"607","MED4"
"608","ADGRF5"
"609","GRAMD1A"
"610","PALLD"
"611","PLA2R1"
"612","RBFOX2"
"613","OSBPL10"
"614","RAI14"
"615","ZNF462"
"616","FLCN"
"617","CCDC12"
"618","SPRED2"
"619","PRR5L"
"620","NCOR2"
