"","x"
"1","FHL5"
"2","LDB3"
"3","MYOCD"
"4","ACTG2"
"5","LAMC3"
"6","ADARB2"
"7","SPEG"
"8","NTRK3"
"9","GJC1"
"10","CDH6"
"11","CARMN"
"12","ITGA7"
"13","MYH11"
"14","ADCY5"
"15","HEYL"
"16","DGKG"
"17","GUCY1A2"
"18","LMOD1"
"19","PCA3"
"20","ADGRL3"
"21","SYNPO2"
"22","AFF2"
"23","RNF152"
"24","MRVI1"
"25","MCAM"
"26","CACNA1H"
"27","FAM13C"
"28","TRPC6"
"29","NOTCH3"
"30","PDE3A"
"31","GRID1"
"32","TRPC4"
"33","PRUNE2"
"34","PDGFRB"
"35","PI15"
"36","MAP1B"
"37","RCAN2"
"38","ADAMTS4"
"39","PDZRN4"
"40","CNTN4"
"41","ACTA2"
"42","TBX2-AS1"
"43","ADAMTSL3"
"44","SORBS1"
"45","ADAMTS1"
"46","COL5A3"
"47","EBF1"
"48","EDNRA"
"49","TBX2"
"50","CCDC3"
"51","PDE8B"
"52","GUCY1B1"
"53","NID1"
"54","NR2F2"
"55","PPFIA2"
"56","TPM2"
"57","HPSE2"
"58","DMD"
"59","MARK1"
"60","NR2F2-AS1"
"61","TBX5"
"62","ZNF385D"
"63","COL4A1"
"64","SMTN"
"65","ADAMTSL1"
"66","NFASC"
"67","KLHL23"
"68","SPARCL1"
"69","ABLIM2"
"70","CHN1"
"71","CDH13"
"72","ARHGEF17"
"73","CALD1"
"74","TMOD1"
"75","SMOC2"
"76","ARHGAP42"
"77","INPP4B"
"78","COL4A2"
"79","RERG"
"80","DAAM2"
"81","COL18A1"
"82","DENND2A"
"83","CRISPLD2"
"84","JAG1"
"85","MSRB3"
"86","CACNA1C"
"87","ENOX1"
"88","AKAP6"
"89","FBLIM1"
"90","LHFPL6"
"91","ITGA1"
"92","ADCY3"
"93","TAGLN"
"94","PLCE1"
"95","PRR16"
"96","PCDH7"
"97","LTBP1"
"98","BMPER"
"99","SGIP1"
"100","TTLL7"
"101","PLCB1"
"102","NKD1"
"103","DOK6"
"104","ADAMTS9-AS2"
"105","ADAMTS9"
"106","PKNOX2"
"107","PRKG1"
"108","IGFBP7"
"109","EDIL3"
