"","x"
"1","MS4A1"
"2","NIBAN3"
"3","BLK"
"4","PAX5"
"5","FCRL1"
"6","BANK1"
"7","CNR2"
"8","FCRL2"
"9","COL19A1"
"10","STEAP1B"
"11","TNFRSF13B"
"12","CD22"
"13","C12orf42"
"14","STAP1"
"15","LY86-AS1"
"16","AIM2"
"17","BCL11A"
"18","FCMR"
"19","CLNK"
"20","P2RX5"
"21","KCNH8"
"22","TSBP1-AS1"
"23","RASSF6"
"24","HVCN1"
"25","RHEX"
"26","BCAS4"
"27","ADAM28"
"28","JADE3"
"29","SELL"
"30","GNG7"
"31","TMEM154"
"32","SHISAL2A"
"33","AFF3"
"34","OSBPL10"
"35","RALGPS2"
"36","ANGPTL1"
"37","BACH2"
"38","MARCH1"
"39","RUBCNL"
"40","TMEM156"
"41","RABEP2"
"42","ZNF804A"
"43","EBF1"
"44","SSPN"
"45","CD37"
"46","POU2F2"
"47","LY86"
"48","PARP15"
"49","MEF2C-AS2"
"50","WDFY4"
"51","RCSD1"
"52","MEF2C-AS1"
"53","SLC9A7"
"54","ZNF107"
"55","CYSLTR1"
"56","ARHGAP24"
"57","RASGRP2"
"58","SP140"
"59","MEF2C"
"60","BLNK"
"61","LRMP"
"62","IFNG-AS1"
"63","DAPP1"
"64","MICAL3"
"65","FCRL5"
"66","HDAC9"
"67","IRF8"
"68","PLEKHG1"
"69","STRBP"
"70","PRKCB"
"71","TRAF5"
"72","SP110"
"73","TFEB"
"74","IKZF3"
"75","MGAT5"
"76","DENND5B"
"77","KCNQ5"
"78","BCL2"
"79","CR1"
"80","INPP5D"
"81","RIPOR2"
"82","LHPP"
"83","TMEM131L"
"84","RHOH"
"85","AMN1"
"86","CYFIP2"
"87","PPM1K"
"88","PPP1R16B"
"89","CARD11"
"90","USP6NL"
"91","RAB30"
"92","TPD52"
"93","AP1S3"
"94","ADAM19"
"95","ATP2A3"
"96","ARHGEF18"
"97","ANKRD44"
"98","HLA-DQA1"
"99","CASTOR3"
"100","CD83"
"101","SESN3"
"102","HSH2D"
"103","INPP5F"
"104","TMED8"
"105","FAM117B"
"106","SIDT1"
"107","CXCR4"
"108","SEL1L3"
"109","SMAP2"
"110","ARHGAP15"
"111","ITPR1"
"112","SWAP70"
"113","SGO1-AS1"
"114","DRAM2"
"115","STX7"
"116","ADAMTS6"
"117","TRAF3IP3"
"118","PDE7A"
"119","L3MBTL3"
"120","VOPP1"
"121","CHD7"
"122","CD53"
"123","CPED1"
"124","CCSER1"
"125","PRDM2"
"126","SYK"
"127","POU2AF1"
"128","TMC8"
"129","RASGRP3"
"130","CCDC50"
"131","MCOLN2"
"132","TNFAIP8"
"133","P2RY8"
"134","CDK14"
"135","LMBRD1"
"136","CCND3"
"137","PIK3AP1"
"138","NUP88"
"139","STK17A"
"140","MTFR1"
"141","SGPP1"
"142","BIRC3"
"143","ZCCHC7"
"144","ST6GAL1"
"145","SLC39A10"
"146","PRAG1"
"147","RRAS2"
"148","DNAJC10"
"149","NUP210"
"150","ATP2B1"
"151","PLCG2"
"152","XKR6"
"153","TBC1D9"
"154","SP100"
"155","CERS4"
"156","SETBP1"
"157","FCHSD2"
"158","SMC6"
"159","ARHGAP25"
"160","RNASET2"
"161","SEPTIN6"
"162","NIN"
"163","TLE1"
"164","SFMBT1"
"165","ERAP2"
"166","LYN"
"167","SMIM14"
"168","FAM3C"
"169","MARF1"
"170","UVRAG"
"171","RHBDD1"
"172","BASP1"
"173","CLEC2D"
"174","TMEM243"
"175","ANKRD13A"
"176","SLC38A1"
"177","MARCH3"
"178","PIK3CD"
"179","CHPT1"
"180","STK17B"
"181","PXK"
"182","EAF2"
"183","MAP3K1"
"184","CARMIL1"
"185","DGKA"
"186","BICD1"
"187","ZNF506"
"188","RESF1"
"189","CDC42SE2"
"190","SIPA1L3"
"191","IKZF1"
"192","ENTPD1"
"193","SNX2"
"194","DMXL1"
"195","ITGA4"
"196","JAZF1"
