"","x"
"1","SLC4A1"
"2","SPTA1"
"3","HBD"
"4","HEMGN"
"5","GYPA"
"6","HBM"
"7","CR1L"
"8","EPB42"
"9","ANK1"
"10","ALAS2"
"11","AHSP"
"12","TRIM10"
"13","HBB"
"14","HBA1"
"15","SLC22A16"
"16","BEST3"
"17","HBA2"
"18","RHAG"
"19","SLC25A37"
"20","SPTB"
"21","CPB1"
"22","GYPB"
"23","TRIM58"
"24","RHCE"
"25","KEL"
"26","CA1"
"27","TMCC2"
"28","CA2"
"29","DMTN"
"30","TFR2"
"31","ACSL6"
"32","GMPR"
"33","SMOX"
"34","SLC2A1"
"35","GATA1"
"36","MFSD2B"
"37","SOX6"
"38","GYPE"
"39","TLCD4"
"40","GLRX5"
"41","HMBS"
"42","ART4"
"43","FECH"
"44","SLC25A21"
"45","TAL1"
"46","BSG"
"47","FHDC1"
"48","TTK"
"49","MARCH8"
"50","CDC25C"
"51","ADD2"
"52","SNCA"
"53","TESC"
"54","E2F2"
"55","SLC25A39"
"56","HJURP"
"57","RGS6"
"58","SLC14A1"
"59","UBAC1"
"60","RBM38"
"61","CAT"
"62","TSPAN5"
"63","RAP1GAP"
"64","FBXO30"
"65","PRC1"
"66","TPX2"
"67","CDK1"
"68","SPECC1"
"69","STRADB"
"70","KIF23"
"71","GCLC"
"72","TRAK2"
"73","NCAPG"
"74","ERMAP"
"75","DNAJC6"
"76","CENPF"
"77","CLK3"
"78","TOP2A"
"79","RANBP10"
"80","DEPDC1B"
"81","FAM117A"
"82","PNP"
"83","XPO7"
"84","BLVRB"
"85","DLGAP5"
"86","MINPP1"
"87","CDCA2"
"88","ATG4A"
"89","EIF2AK1"
"90","KIF14"
"91","CENPE"
"92","CPOX"
"93","ALAD"
"94","SUCO"
"95","MACO1"
"96","YOD1"
"97","TAB3"
"98","KIF18A"
"99","SSX2IP"
"100","KIF15"
"101","PPME1"
"102","KIF18B"
"103","PIGQ"
"104","MBOAT2"
"105","RPIA"
"106","CIT"
"107","MOSPD1"
"108","NUSAP1"
"109","MKI67"
"110","TMOD1"
"111","PHLPP2"
"112","NCOA4"
"113","MELK"
"114","KNL1"
"115","BUB1B"
"116","KIF11"
"117","FBXO7"
"118","C21orf58"
"119","STIL"
"120","MOB1B"
"121","SLC22A4"
"122","RHD"
"123","KIF4A"
"124","MARCH3"
"125","NARF"
"126","CCS"
"127","DIPK2A"
"128","DIAPH3"
"129","ANLN"
"130","CENPI"
"131","DPF3"
"132","CA3"
"133","HECTD4"
"134","QSOX2"
"135","P4HA3"
"136","ABCB10"
"137","TCP11L2"
"138","PPOX"
"139","SGO2"
"140","ANP32B"
"141","GDPD5"
"142","MXI1"
"143","STAM"
"144","POLQ"
"145","CKAP2"
"146","ATG14"
"147","RACGAP1"
"148","NUF2"
"149","EZH2"
"150","CCNF"
"151","RIPOR3"
"152","NCAPG2"
"153","ARL4A"
"154","PIM1"
"155","ZNF451-AS1"
"156","RAPGEF2"
"157","TFDP1"
"158","RCL1"
"159","DCAF11"
"160","EPB41"
"161","STAG2"
"162","ABCC4"
"163","FKBP8"
"164","PLEKHH3"
"165","DYRK3"
"166","MAP2K3"
"167","H1F0"
"168","SLC22A23"
"169","CD36"
"170","UBE2O"
"171","TMEM131L"
"172","NPRL3"
"173","PSMF1"
"174","OSBP2"
"175","ADIPOR1"
"176","SLC7A5"
"177","USP15"
"178","GYPC"
"179","PCNT"
"180","SLC66A2"
"181","GUK1"
"182","MICAL3"
"183","TOP1"
"184","UIMC1"
"185","MED25"
"186","CCNDBP1"
"187","ECT2"
"188","TBCEL"
"189","BSDC1"
"190","SLF1"
"191","ELOVL6"
"192","MPP1"
"193","ZNF451"
"194","HMGB2"
"195","SEC62"
"196","DENND4A"
"197","CDC27"
"198","TBC1D22B"
"199","ATAD2"
"200","DBF4"
"201","TXNDC16"
"202","USP7"
"203","EIF5"
"204","RB1CC1"
"205","DDI2"
"206","ARHGAP11B"
"207","MKRN1"
"208","ARHGEF12"
"209","BMP2K"
"210","TALDO1"
"211","FGFR1OP2"
"212","UBB"
"213","WNK1"
"214","NCAPD3"
"215","MBNL3"
"216","FNBP1L"
"217","PARPBP"
"218","CAPRIN2"
"219","USP12"
"220","VPS50"
"221","RRM2"
"222","ARRDC2"
"223","ASPM"
"224","TANGO2"
"225","ATG2B"
"226","CARM1"
"227","NUDT4"
"228","CENPK"
"229","BRIP1"
"230","MARK3"
"231","REXO2"
"232","VRK1"
"233","JAZF1"
"234","PLCG1-AS1"
"235","CLCN3"
"236","TLN2"
"237","RAB11A"
"238","SIAH2"
"239","SELENBP1"
"240","FANCI"
"241","SMC4"
"242","SLC36A1"
"243","EP300"
"244","RIOK3"
"245","MAP4K5"
"246","CPEB4"
"247","AKAP8L"
"248","ABHD5"
"249","LBR"
"250","STMP1"
"251","ETFDH"
"252","GCLM"
"253","WRN"
"254","ULK1"
"255","KIF20B"
"256","STK11"
"257","LNX2"
"258","HERC1"
"259","TTTY10"
"260","YPEL3"
"261","BNIP3L"
"262","DCAF12"
"263","DNAJA4"
"264","UBR4"
"265","DCAF8"
"266","UBE2H"
"267","MAN1A1"
"268","LPIN2"
